"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.314083715E0,-3.841857910E-1,1.687622070E-1,-5.781097412E-1
4.364083715E0,-3.903045654E-1,3.923339844E-1,6.484985352E-3
4.414083715E0,-4.318389893E-1,-1.122283936E-1,-3.199768066E-2
4.464083715E0,4.928588867E-3,1.150054932E-1,1.683654785E-1
4.514083715E0,-2.326965332E-1,9.301757812E-2,-4.421997070E-2
4.564083715E0,7.980346680E-3,-3.687896729E-1,-5.737304688E-3
4.614083715E0,-5.798339844E-4,-9.451293945E-2,1.164245605E-1
4.664083715E0,-1.496276855E-1,1.351623535E-1,-3.871154785E-2
4.714083715E0,4.453582764E-1,1.254272461E0,2.050170898E-1
4.764083715E0,-4.220733643E-1,-9.878540039E-2,1.809692383E-2
4.814083715E0,3.836517334E-1,-7.915191650E-1,1.414794922E-1
4.864083715E0,-1.447296143E-1,2.921600342E-1,8.161926270E-2
4.914083715E0,-4.648284912E-1,3.312530518E-1,3.335571289E-2
4.964083715E0,1.075439453E-1,-2.221832275E-1,-1.095733643E-1
5.014083715E0,-1.172332764E-1,2.891082764E-1,3.579711914E-2
5.064083715E0,3.546142578E-2,-6.290283203E-1,-9.613037109E-2
5.114083715E0,4.050445557E-1,-4.457550049E-1,2.114868164E-2
5.164083715E0,-3.860321045E-1,3.312530518E-1,-2.775726318E-1
5.214083715E0,4.649047852E-1,2.829895020E-1,2.080688477E-1
5.264083715E0,-4.917144775E-1,-1.018524170E-1,-6.037750244E-1
5.314083715E0,-3.059997559E-1,-7.252502441E-2,-1.486663818E-1
5.364083715E0,-4.709472656E-1,-3.254241943E-1,8.406066895E-2
5.414083715E0,1.130523682E-1,3.856201172E-1,3.913269043E-1
5.464083715E0,6.234741211E-2,4.638214111E-1,6.083679199E-2
5.514083715E0,2.028503418E-1,-3.907775879E-1,-4.421997070E-2
5.564083715E0,1.436004639E-1,-2.563934326E-1,-4.910278320E-2
5.614083715E0,1.319885254E-1,2.158050537E-1,1.258850098E-2
5.664083715E0,1.179351807E-1,9.545898438E-2,5.900573730E-2
5.714083715E0,3.916015625E-1,1.490066528E0,4.994506836E-1
5.764083715E0,-2.607879639E-1,-3.193054199E-1,-2.940673828E-1
5.814083715E0,-6.593322754E-2,-8.324432373E-1,-2.433624268E-1
5.864083715E0,-5.674438477E-1,4.882507324E-1,1.139831543E-1
5.914083715E0,-3.072204590E-1,-1.696472168E-1,-9.187316895E-2
5.964083715E0,2.572021484E-1,-1.647644043E-1,2.037963867E-1
6.014083715E0,1.545867920E-1,1.571655273E-1,8.345031738E-2
6.064083715E0,2.816467285E-1,-2.832794189E-1,-9.490966797E-2
6.114083715E0,1.680297852E-1,-6.945800781E-2,-1.184082031E-2
6.164083715E0,2.487182617E-3,9.973144531E-2,-2.091522217E-1
6.214083715E0,-1.117401123E-1,2.921600342E-1,1.353759766E-1
6.264083715E0,-1.764984131E-1,-6.216888428E-1,-8.249053955E-1
6.314083715E0,-1.245727539E-1,6.751708984E-1,-6.315612793E-2
6.364083715E0,-4.935302734E-1,5.200195312E-1,-3.032226562E-1
6.414083715E0,1.955108643E-1,-9.878540039E-2,9.504699707E-2
6.464083715E0,-5.432128906E-2,1.076660156E-1,1.194915771E-1
6.514083715E0,2.504882812E-1,-5.838165283E-1,1.695861816E-1
6.564083715E0,2.388763428E-1,-1.238403320E-1,2.306671143E-1
6.614083715E0,2.847137451E-1,2.078552246E-1,1.604156494E-1
6.664083715E0,4.765167236E-1,1.742706299E-1,2.147827148E-1
6.714083715E0,-4.272460938E-2,-4.763031006E-1,-5.127563477E-1
6.764083715E0,2.712707520E-1,5.389556885E-1,-2.238159180E-1
6.814083715E0,-4.758300781E-1,-2.765502930E-1,-3.331604004E-1
6.864083715E0,-2.467498779E-1,1.956481934E-1,-1.547851562E-1
6.914083715E0,-1.630554199E-1,2.335205078E-1,2.355499268E-1
6.964083715E0,3.525085449E-1,-5.441131592E-1,9.565734863E-2
7.014083715E0,7.089233398E-2,-2.093505859E-1,1.687622070E-2
7.064083715E0,9.811401367E-3,8.728027344E-3,-1.871643066E-1
7.114083715E0,1.469421387E-2,-8.963012695E-2,-2.955627441E-2
7.164083715E0,3.974914551E-2,3.375244141E-2,-1.718902588E-1
7.214083715E0,-4.061889648E-1,1.822052002E-1,-1.107940674E-1
7.264083715E0,-3.066101074E-1,-9.512329102E-2,-5.891113281E-1
7.314083715E0,-2.137603760E-1,8.996582031E-2,1.747131348E-2
7.364083715E0,-2.339172363E-1,2.194671631E-1,1.152038574E-1
7.414083715E0,1.478576660E-1,2.341308594E-1,9.504699707E-2
7.464083715E0,1.264953613E-1,-3.016052246E-1,7.489013672E-2
7.514083715E0,5.003356934E-1,-9.179687500E-1,1.756896973E-1
7.564083715E0,6.356811523E-2,3.672943115E-1,2.908325195E-2
7.614083715E0,3.598327637E-1,1.382141113E-1,2.166137695E-1
7.664083715E0,4.746856689E-1,1.125640869E-1,1.628570557E-1
7.714083715E0,1.258697510E-1,5.707244873E-1,2.471618652E-1
7.764083715E0,2.718658447E-1,-5.392303467E-1,-4.333343506E-1
7.814083715E0,-4.159545898E-1,5.084075928E-1,1.565551758E-2
7.864083715E0,-3.829650879E-1,-4.262084961E-1,1.714019775E-1
7.914083715E0,-8.792114258E-2,-2.792358398E-2,2.532653809E-1
7.964083715E0,-2.012634277E-2,-2.044677734E-1,3.009185791E-1
8.014083715E0,3.118896484E-2,-4.506530762E-1,2.715911865E-1
8.064083715E0,4.890441895E-2,-1.525421143E-1,3.461303711E-1
8.114083715E0,2.785949707E-1,-4.396514893E-1,2.795257568E-1
8.164083715E0,1.869659424E-1,-3.394775391E-1,2.312774658E-1
8.214083715E0,-5.493164062E-2,6.476898193E-1,4.194183350E-1
8.264083715E0,-2.944030762E-1,-5.526580811E-1,-1.779937744E-1
8.314083715E0,-4.593200684E-1,4.870300293E-1,8.665771484E-1
8.364083715E0,-1.325225830E-1,-6.764221191E-2,9.734802246E-1
8.414083715E0,-1.410675049E-1,-2.753295898E-1,1.240432739E0
8.464083715E0,-3.200531006E-1,-2.484436035E-1,1.111541748E0
8.514083715E0,-1.655120850E-1,-4.585876465E-1,1.401092529E0
8.564083715E0,-3.660583496E-2,-3.296966553E-1,1.827484131E0
8.614083715E0,1.387023926E-1,-1.348266602E-1,1.940490723E0
8.664083715E0,2.999725342E-1,-3.675689697E-1,2.247756958E0
8.714083715E0,2.761535645E-1,1.022750854E0,2.355880737E0
8.764083715E0,2.132263184E-1,3.926086426E-2,2.523269653E0
8.814083715E0,1.148681641E-1,-3.648376465E-2,2.570297241E0
8.864083715E0,-4.910888672E-1,-2.661743164E-1,1.718750000E0
8.914083715E0,9.811401367E-3,9.170837402E-1,2.393753052E0
8.964083715E0,-3.660583496E-2,2.506256104E-1,2.074890137E0
9.014083715E0,4.219055176E-2,-5.648803711E-1,1.911163330E0
9.064083715E0,2.325439453E-2,-2.466278076E-1,1.542205811E0
9.114083715E0,-2.743530273E-2,-4.164428711E-1,7.871704102E-1
9.164083715E0,1.347351074E-2,-3.828430176E-1,4.353027344E-1
