"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.555894300E-2,-7.615661621E-2,-2.222747803E-1,4.754638672E-2
1.255589430E-1,-3.950500488E-2,-2.008972168E-1,2.250671387E-2
1.755589430E-1,-4.562377930E-2,-2.271575928E-1,1.074066162E-1
2.255589430E-1,1.431427002E-1,9.780883789E-2,-8.805847168E-2
2.755589430E-1,1.700134277E-1,-1.642456055E-1,1.516723633E-2
3.255589430E-1,1.229705811E-1,2.694702148E-2,-2.255096436E-1
3.755589430E-1,-2.331542969E-1,-5.973510742E-1,2.616882324E-2
4.255589430E-1,9.426879883E-2,7.178344727E-1,-3.061370850E-1
4.755589430E-1,-5.446929932E-1,-9.718170166E-1,1.489562988E-1
5.255589430E-1,-3.858795166E-1,2.120361328E-1,-2.590942383E-1
5.755589430E-1,-4.432983398E-1,-3.236846924E-1,1.880493164E-1
6.255589430E-1,-2.233886719E-1,3.959197998E-1,8.786010742E-2
6.755589430E-1,-3.864898682E-1,-1.178131104E-1,2.729492188E-1
7.255589430E-1,1.362609863E-2,1.619567871E-1,3.236541748E-1
7.755589430E-1,9.915161133E-2,2.041015625E-1,9.063720703E-3
8.255589430E-1,-4.074096680E-2,3.916931152E-2,-8.378601074E-2
8.755589430E-1,3.561401367E-2,-7.247924805E-3,1.605529785E-1
9.255589430E-1,-1.317596436E-1,1.130828857E-1,-2.468872070E-1
9.755589430E-1,1.700134277E-1,-1.226959229E-1,-7.278442383E-2
1.025558943E0,-1.873779297E-2,2.761840820E-1,-2.102355957E-1
1.075558943E0,-4.318237305E-2,-3.065795898E-1,8.724975586E-2
1.125558943E0,-2.960815430E-1,2.023315430E-2,1.165618896E-1
1.175558943E0,-4.867553711E-2,1.698913574E-1,6.526184082E-2
1.225558943E0,-2.050628662E-1,-3.676605225E-1,7.232666016E-3
1.275558943E0,-2.484283447E-1,2.841339111E-1,1.397857666E-1
1.325558943E0,-2.099456787E-1,-4.727325439E-1,-9.872436523E-3
1.375558943E0,-1.561889648E-1,-7.627868652E-2,1.300048828E-1
1.425558943E0,-8.776855469E-2,-5.184936523E-2,1.245117188E-1
1.475558943E0,-1.323547363E-1,-2.557373047E-2,1.629943848E-1
1.525558943E0,-1.855163574E-1,3.531494141E-1,1.642150879E-1
1.575558943E0,3.250122070E-3,6.311035156E-1,-1.405944824E-1
1.625558943E0,2.280426025E-1,5.632934570E-1,-1.296081543E-1
1.675558943E0,2.689666748E-1,3.849182129E-1,2.676391602E-2
