"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.186961563E0,-3.779573362E1,1.449610689E2,7.897850652E1,2.300000042E-1,2.013999939E2,1.072000027E1,1.600000000E1
2.113243958E0,-3.779574573E1,1.449610609E2,7.157481190E1,6.499999762E-1,1.019000015E2,4.288000107E0,8.000000000E0
3.129003020E0,-3.779574476E1,1.449610525E2,6.471599684E1,1.389999986E0,1.010000000E2,4.288000107E0,8.000000000E0
4.118838541E0,-3.779574489E1,1.449610565E2,6.568577827E1,1.539999962E0,9.980000305E1,3.216000080E0,6.000000000E0
5.120206040E0,-3.779574467E1,1.449610663E2,6.629171847E1,1.649999976E0,9.969999695E1,3.216000080E0,6.000000000E0
6.141085415E0,-3.779574570E1,1.449610774E2,6.637355172E1,1.629999995E0,9.980000305E1,3.216000080E0,6.000000000E0
7.139986300E0,-3.779574669E1,1.449610870E2,6.548108317E1,1.529999971E0,9.980000305E1,3.216000080E0,6.000000000E0
8.117402185E0,-3.779574884E1,1.449610973E2,6.510552395E1,1.639999986E0,9.980000305E1,3.216000080E0,6.000000000E0
9.111216872E0,-3.779575068E1,1.449611087E2,6.413639511E1,1.629999995E0,9.559999847E1,3.216000080E0,4.000000000E0
1.011350682E1,-3.779575246E1,1.449611193E2,6.186660811E1,1.659999967E0,9.580000305E1,3.216000080E0,4.000000000E0
1.111194750E1,-3.779575550E1,1.449611260E2,6.041799876E1,1.629999995E0,9.959999847E1,3.216000080E0,4.000000000E0
1.212502698E1,-3.779575906E1,1.449611355E2,5.932949380E1,1.610000014E0,9.959999847E1,3.216000080E0,4.000000000E0
1.310974078E1,-3.779576262E1,1.449611457E2,5.765804095E1,1.600000024E0,9.640000153E1,3.216000080E0,4.000000000E0
1.414110552E1,-3.779576609E1,1.449611582E2,5.697510944E1,1.639999986E0,9.650000000E1,3.216000080E0,4.000000000E0
1.511094239E1,-3.779576883E1,1.449611727E2,5.715154721E1,1.659999967E0,9.759999847E1,3.216000080E0,4.000000000E0
1.611654932E1,-3.779577240E1,1.449611855E2,5.571892071E1,1.529999971E0,9.780000305E1,3.216000080E0,3.000000000E0
1.710891734E1,-3.779577573E1,1.449611982E2,5.511856899E1,1.590000033E0,9.790000153E1,3.216000080E0,3.000000000E0
1.811176333E1,-3.779577835E1,1.449612124E2,5.438613239E1,1.659999967E0,9.780000305E1,3.216000080E0,3.000000000E0
1.914191906E1,-3.779578104E1,1.449612280E2,5.414832263E1,1.740000010E0,9.850000000E1,3.216000080E0,3.000000000E0
2.012272702E1,-3.779578251E1,1.449612436E2,5.429875355E1,1.669999957E0,9.840000153E1,3.216000080E0,3.000000000E0
2.111430702E1,-3.779578452E1,1.449612585E2,5.409414571E1,1.600000024E0,9.959999847E1,3.216000080E0,3.000000000E0
2.211347416E1,-3.779578644E1,1.449612726E2,5.370179489E1,1.620000005E0,9.940000153E1,3.216000080E0,3.000000000E0
2.310818312E1,-3.779578849E1,1.449612880E2,5.350267956E1,1.679999948E0,9.830000305E1,3.216000080E0,3.000000000E0
2.410950911E1,-3.779579046E1,1.449613048E2,5.364651841E1,1.690000057E0,9.850000000E1,3.216000080E0,3.000000000E0
2.512811994E1,-3.779579162E1,1.449613211E2,5.350385614E1,1.690000057E0,9.830000305E1,3.216000080E0,3.000000000E0
2.611504629E1,-3.779579320E1,1.449613364E2,5.297936118E1,1.580000043E0,9.850000000E1,3.216000080E0,3.000000000E0
2.712300759E1,-3.779579491E1,1.449613516E2,5.298013523E1,1.659999967E0,9.709999847E1,3.216000080E0,3.000000000E0
2.812885285E1,-3.779579633E1,1.449613674E2,5.256702797E1,1.639999986E0,9.700000000E1,3.216000080E0,3.000000000E0
2.912984650E1,-3.779579789E1,1.449613847E2,5.249754665E1,1.649999976E0,9.859999847E1,3.216000080E0,3.000000000E0
3.012879796E1,-3.779579993E1,1.449614017E2,5.221535995E1,1.659999967E0,9.869999695E1,3.216000080E0,3.000000000E0
3.112643640E1,-3.779580315E1,1.449614174E2,5.140186804E1,1.559999943E0,1.001999969E2,3.216000080E0,3.000000000E0
3.211501561E1,-3.779580604E1,1.449614338E2,5.177898679E1,1.769999981E0,9.950000000E1,3.216000080E0,3.000000000E0
3.312615968E1,-3.779580840E1,1.449614512E2,5.148111452E1,1.659999967E0,9.609999847E1,3.216000080E0,3.000000000E0
3.411504249E1,-3.779581131E1,1.449614677E2,5.150831854E1,1.629999995E0,9.650000000E1,3.216000080E0,3.000000000E0
3.514097806E1,-3.779581504E1,1.449614838E2,5.077661492E1,1.620000005E0,1.014000015E2,3.216000080E0,3.000000000E0
3.612510894E1,-3.779581836E1,1.449615001E2,5.073729239E1,1.669999957E0,1.010999985E2,3.216000080E0,3.000000000E0
3.712087983E1,-3.779582161E1,1.449615158E2,5.014340514E1,1.549999952E0,1.019000015E2,3.216000080E0,3.000000000E0
3.811933926E1,-3.779582433E1,1.449615329E2,4.983528053E1,1.730000019E0,9.630000305E1,3.216000080E0,3.000000000E0
3.911252519E1,-3.779582735E1,1.449615501E2,4.975951746E1,1.629999995E0,9.719999695E1,3.216000080E0,3.000000000E0
4.011536566E1,-3.779582970E1,1.449615672E2,4.956839611E1,1.669999957E0,9.800000000E1,3.216000080E0,3.000000000E0
4.111118717E1,-3.779583154E1,1.449615836E2,4.947572372E1,1.620000005E0,9.819999695E1,3.216000080E0,3.000000000E0
4.212030040E1,-3.779583326E1,1.449616002E2,4.930150779E1,1.639999986E0,9.800000000E1,3.216000080E0,3.000000000E0
4.311426941E1,-3.779583483E1,1.449616147E2,4.902011700E1,1.419999957E0,9.790000153E1,3.216000080E0,3.000000000E0
4.412098670E1,-3.779583668E1,1.449616302E2,4.929591561E1,1.690000057E0,9.900000000E1,3.216000080E0,3.000000000E0
4.510753009E1,-3.779583862E1,1.449616476E2,4.859105923E1,1.669999957E0,9.969999695E1,3.216000080E0,3.000000000E0
4.611172649E1,-3.779584084E1,1.449616659E2,4.915097305E1,1.700000048E0,9.680000305E1,3.216000080E0,3.000000000E0
4.711657238E1,-3.779584314E1,1.449616835E2,4.915766559E1,1.590000033E0,9.750000000E1,3.216000080E0,3.000000000E0
4.810727764E1,-3.779584571E1,1.449617020E2,4.844261670E1,1.649999976E0,9.750000000E1,3.216000080E0,3.000000000E0
4.911592821E1,-3.779584858E1,1.449617198E2,4.749252356E1,1.450000048E0,1.035999985E2,3.216000080E0,3.000000000E0
5.012707279E1,-3.779585173E1,1.449617376E2,4.759949934E1,1.649999976E0,1.030000000E2,3.216000080E0,3.000000000E0
5.117964998E1,-3.779585504E1,1.449617559E2,4.730425303E1,1.620000005E0,9.780000305E1,3.216000080E0,3.000000000E0
5.212469701E1,-3.779585870E1,1.449617746E2,4.686026457E1,1.639999986E0,9.809999847E1,3.216000080E0,3.000000000E0
5.313676415E1,-3.779586299E1,1.449617944E2,4.643263394E1,1.730000019E0,9.959999847E1,3.216000080E0,3.000000000E0
5.411937956E1,-3.779586799E1,1.449618119E2,4.583429389E1,1.620000005E0,1.001999969E2,3.216000080E0,3.000000000E0
5.511015534E1,-3.779587178E1,1.449618280E2,4.573906510E1,1.509999990E0,9.940000153E1,3.216000080E0,3.000000000E0
5.612847363E1,-3.779587519E1,1.449618453E2,4.564651845E1,1.649999976E0,9.559999847E1,3.216000080E0,3.000000000E0
5.714557180E1,-3.779587754E1,1.449618649E2,4.554230702E1,1.740000010E0,9.440000153E1,3.216000080E0,3.000000000E0
5.811143451E1,-3.779587945E1,1.449618847E2,4.535862593E1,1.669999957E0,9.480000305E1,3.216000080E0,3.000000000E0
5.912954222E1,-3.779588068E1,1.449619037E2,4.517244158E1,1.649999976E0,8.980000305E1,3.216000080E0,3.000000000E0
6.013651071E1,-3.779588124E1,1.449619231E2,4.488926939E1,1.700000048E0,8.969999695E1,3.216000080E0,3.000000000E0
6.111332612E1,-3.779588067E1,1.449619423E2,4.472230475E1,1.710000038E0,8.540000153E1,3.216000080E0,3.000000000E0
6.211813946E1,-3.779587972E1,1.449619571E2,4.370561482E1,1.139999986E0,8.700000000E1,3.216000080E0,3.000000000E0
6.312432128E1,-3.779587870E1,1.449619705E2,4.316414649E1,1.330000043E0,8.680000305E1,3.216000080E0,3.000000000E0
6.411223732E1,-3.779587639E1,1.449619840E2,4.294719776E1,1.340000033E0,8.690000153E1,3.216000080E0,3.000000000E0
6.510796570E1,-3.779587229E1,1.449619978E2,4.324928573E1,1.379999995E0,8.680000305E1,3.216000080E0,3.000000000E0
6.611819341E1,-3.779586762E1,1.449620118E2,4.325144456E1,1.340000033E0,7.190000153E1,3.216000080E0,4.000000000E0
6.714281753E1,-3.779586228E1,1.449620282E2,4.369720080E1,1.659999967E0,7.169999695E1,3.216000080E0,4.000000000E0
6.814859482E1,-3.779585712E1,1.449620439E2,4.363392569E1,1.379999995E0,6.840000153E1,3.216000080E0,4.000000000E0
6.913520185E1,-3.779585121E1,1.449620580E2,4.378634884E1,1.610000014E0,6.809999847E1,3.216000080E0,4.000000000E0
7.013697726E1,-3.779584429E1,1.449620732E2,4.413340813E1,1.649999976E0,6.250000000E1,3.216000080E0,6.000000000E0
7.112223737E1,-3.779583606E1,1.449620888E2,4.511187106E1,1.649999976E0,6.250000000E1,3.216000080E0,6.000000000E0
7.212127648E1,-3.779582846E1,1.449621006E2,4.540033989E1,1.149999976E0,6.240000153E1,3.216000080E0,6.000000000E0
7.311879216E1,-3.779582090E1,1.449621112E2,4.556979238E1,1.340000033E0,5.459999847E1,3.216000080E0,6.000000000E0
7.411118471E1,-3.779581371E1,1.449621197E2,4.581151503E1,8.700000048E-1,5.450000000E1,3.216000080E0,6.000000000E0
7.511264461E1,-3.779580534E1,1.449621285E2,4.704139240E1,1.340000033E0,5.429999924E1,3.216000080E0,6.000000000E0
7.611548575E1,-3.779579605E1,1.449621397E2,4.654872878E1,1.289999962E0,5.429999924E1,3.216000080E0,6.000000000E0
7.712352096E1,-3.779578756E1,1.449621516E2,4.645578589E1,1.269999981E0,5.429999924E1,3.216000080E0,6.000000000E0
7.814024044E1,-3.779577914E1,1.449621637E2,4.662016695E1,1.259999990E0,5.420000076E1,4.288000107E0,6.000000000E0
7.910962252E1,-3.779576888E1,1.449621765E2,4.702349367E1,1.539999962E0,4.579999924E1,4.288000107E0,6.000000000E0
8.012294471E1,-3.779575803E1,1.449621888E2,4.721356230E1,1.159999967E0,5.409999847E1,4.288000107E0,6.000000000E0
8.111489507E1,-3.779574724E1,1.449622001E2,4.761487547E1,1.279999971E0,4.040000153E1,5.360000134E0,6.000000000E0
8.210831382E1,-3.779573312E1,1.449622121E2,4.842968970E1,1.690000057E0,3.659999847E1,5.360000134E0,6.000000000E0
8.311206278E1,-3.779571770E1,1.449622263E2,4.864586335E1,1.649999976E0,3.509999847E1,4.288000107E0,6.000000000E0
8.414237257E1,-3.779570297E1,1.449622394E2,4.915604723E1,1.570000052E0,3.120000076E1,4.288000107E0,6.000000000E0
8.512289528E1,-3.779568802E1,1.449622520E2,4.980850425E1,1.639999986E0,3.029999924E1,4.288000107E0,6.000000000E0
8.611359049E1,-3.779567124E1,1.449622636E2,5.101240961E1,1.649999976E0,2.750000000E1,4.288000107E0,6.000000000E0
8.712816669E1,-3.779565276E1,1.449622725E2,5.266052770E1,1.620000005E0,2.410000038E1,4.288000107E0,6.000000000E0
8.811971825E1,-3.779563292E1,1.449622798E2,5.400310186E1,1.649999976E0,1.750000000E1,4.288000107E0,6.000000000E0
8.912064236E1,-3.779561483E1,1.449622877E2,5.392954311E1,1.629999995E0,1.700000000E1,3.216000080E0,6.000000000E0
9.013399705E1,-3.779559690E1,1.449622938E2,5.479391522E1,1.639999986E0,1.310000038E1,3.216000080E0,6.000000000E0
9.112143179E1,-3.779557859E1,1.449622986E2,5.490114696E1,1.620000005E0,1.310000038E1,3.216000080E0,4.000000000E0
9.211137346E1,-3.779556085E1,1.449623017E2,5.528285851E1,1.559999943E0,8.600000381E0,3.216000080E0,4.000000000E0
9.313621762E1,-3.779554275E1,1.449623040E2,5.586842767E1,1.470000029E0,8.600000381E0,3.216000080E0,4.000000000E0
9.411960038E1,-3.779552488E1,1.449623059E2,5.702168612E1,1.419999957E0,1.150000000E1,3.216000080E0,4.000000000E0
9.512300220E1,-3.779550647E1,1.449623075E2,5.713649121E1,1.539999962E0,1.100000000E1,3.216000080E0,4.000000000E0
9.614433288E1,-3.779548716E1,1.449623083E2,5.793189762E1,1.600000024E0,6.000000238E-1,3.216000080E0,4.000000000E0
9.712771689E1,-3.779546813E1,1.449623074E2,5.808668280E1,1.629999995E0,3.000000119E-1,3.216000080E0,4.000000000E0
9.812729903E1,-3.779544971E1,1.449623054E2,5.827040248E1,1.649999976E0,3.000000119E-1,3.216000080E0,3.000000000E0
9.911413324E1,-3.779543285E1,1.449623031E2,5.791250179E1,1.620000005E0,3.000000119E-1,3.216000080E0,3.000000000E0
1.001334968E2,-3.779541620E1,1.449622999E2,5.792313347E1,1.649999976E0,3.482000122E2,3.216000080E0,3.000000000E0
1.011103788E2,-3.779540057E1,1.449622967E2,5.744731832E1,1.620000005E0,3.482000122E2,3.216000080E0,3.000000000E0
1.021207965E2,-3.779538638E1,1.449622925E2,5.722633142E1,1.669999957E0,3.443999939E2,3.216000080E0,3.000000000E0
1.031190343E2,-3.779537188E1,1.449622879E2,5.696377912E1,1.659999967E0,3.442000122E2,3.216000080E0,3.000000000E0
1.041157996E2,-3.779535809E1,1.449622826E2,5.699841056E1,1.580000043E0,3.386000061E2,3.216000080E0,3.000000000E0
1.051528755E2,-3.779534482E1,1.449622760E2,5.687691773E1,1.639999986E0,3.382000122E2,3.216000080E0,3.000000000E0
1.061393752E2,-3.779533192E1,1.449622691E2,5.649212118E1,1.659999967E0,3.363999939E2,3.216000080E0,3.000000000E0
1.071382610E2,-3.779531944E1,1.449622615E2,5.646340611E1,1.629999995E0,3.360000000E2,3.216000080E0,3.000000000E0
1.081258280E2,-3.779530781E1,1.449622533E2,5.624847669E1,1.590000033E0,3.358999939E2,3.216000080E0,3.000000000E0
1.091161988E2,-3.779529599E1,1.449622442E2,5.612638248E1,1.620000005E0,3.281000061E2,3.216000080E0,3.000000000E0
1.101303140E2,-3.779528427E1,1.449622341E2,5.590730535E1,1.690000057E0,3.272999878E2,3.216000080E0,3.000000000E0
1.111256177E2,-3.779527214E1,1.449622227E2,5.583294342E1,1.669999957E0,3.245000000E2,3.216000080E0,3.000000000E0
1.121198263E2,-3.779526026E1,1.449622114E2,5.569974431E1,1.679999948E0,3.222000122E2,3.216000080E0,3.000000000E0
1.131312353E2,-3.779524934E1,1.449622001E2,5.546992961E1,1.600000024E0,3.192000122E2,3.216000080E0,3.000000000E0
1.141224213E2,-3.779523847E1,1.449621886E2,5.561835034E1,1.679999948E0,3.177000122E2,3.216000080E0,3.000000000E0
1.151273640E2,-3.779522834E1,1.449621759E2,5.567027887E1,1.669999957E0,3.092000122E2,3.216000080E0,3.000000000E0
1.161290055E2,-3.779521904E1,1.449621626E2,5.565739187E1,1.679999948E0,3.097999878E2,3.216000080E0,3.000000000E0
1.171301378E2,-3.779520981E1,1.449621478E2,5.591684620E1,1.700000048E0,3.092000122E2,3.216000080E0,3.000000000E0
1.181157267E2,-3.779520199E1,1.449621325E2,5.599442146E1,1.659999967E0,3.083999939E2,3.216000080E0,3.000000000E0
1.191261474E2,-3.779519483E1,1.449621177E2,5.562479327E1,1.529999971E0,3.086000061E2,3.216000080E0,3.000000000E0
1.201257180E2,-3.779518836E1,1.449621030E2,5.506846068E1,1.610000014E0,3.011000061E2,3.216000080E0,3.000000000E0
1.211212705E2,-3.779518249E1,1.449620860E2,5.464427514E1,1.629999995E0,2.982999878E2,3.216000080E0,3.000000000E0
1.221229809E2,-3.779517766E1,1.449620683E2,5.450433478E1,1.669999957E0,2.960000000E2,3.216000080E0,3.000000000E0
1.231086908E2,-3.779517228E1,1.449620507E2,5.473115258E1,1.669999957E0,2.952999878E2,3.216000080E0,3.000000000E0
1.241244482E2,-3.779516684E1,1.449620329E2,5.505532173E1,1.659999967E0,2.941000061E2,3.216000080E0,3.000000000E0
1.251225204E2,-3.779516199E1,1.449620174E2,5.472189616E1,1.399999976E0,2.956000061E2,3.216000080E0,3.000000000E0
1.261266045E2,-3.779515700E1,1.449620030E2,5.445353192E1,1.289999962E0,2.956000061E2,3.216000080E0,3.000000000E0
1.271240915E2,-3.779515311E1,1.449619877E2,5.391661794E1,1.519999981E0,2.866000061E2,3.216000080E0,3.000000000E0
1.281144481E2,-3.779514816E1,1.449619680E2,5.439472246E1,1.940000057E0,2.890000000E2,3.216000080E0,3.000000000E0
1.291104948E2,-3.779514476E1,1.449619466E2,5.482974413E1,1.720000029E0,2.792000122E2,3.216000080E0,3.000000000E0
1.301369289E2,-3.779514211E1,1.449619258E2,5.507073638E1,1.720000029E0,2.790000000E2,3.216000080E0,3.000000000E0
1.311098478E2,-3.779513997E1,1.449619048E2,5.494576384E1,1.669999957E0,2.778999939E2,3.216000080E0,3.000000000E0
1.321170327E2,-3.779513780E1,1.449618849E2,5.501439290E1,1.679999948E0,2.781000061E2,3.216000080E0,3.000000000E0
1.331189375E2,-3.779513515E1,1.449618653E2,5.503333735E1,1.690000057E0,2.792000122E2,3.216000080E0,3.000000000E0
1.341225864E2,-3.779513253E1,1.449618458E2,5.468509416E1,1.720000029E0,2.792999878E2,3.216000080E0,3.000000000E0
1.351162429E2,-3.779513063E1,1.449618265E2,5.472967540E1,1.580000043E0,2.791000061E2,3.216000080E0,3.000000000E0
1.361222249E2,-3.779512886E1,1.449618081E2,5.467733164E1,1.639999986E0,2.800000000E2,3.216000080E0,3.000000000E0
1.371229982E2,-3.779512753E1,1.449617898E2,5.442271863E1,1.629999995E0,2.798999939E2,3.216000080E0,3.000000000E0
1.381157856E2,-3.779512724E1,1.449617704E2,5.436842833E1,2.019999981E0,2.747999878E2,3.216000080E0,3.000000000E0
1.391102492E2,-3.779512510E1,1.449617531E2,5.413273201E1,1.470000029E0,2.763999939E2,3.216000080E0,3.000000000E0
1.401225766E2,-3.779512337E1,1.449617372E2,5.394213959E1,1.580000043E0,2.796000061E2,3.216000080E0,3.000000000E0
1.411197692E2,-3.779512063E1,1.449617209E2,5.401777989E1,1.610000014E0,2.793999939E2,3.216000080E0,3.000000000E0
1.421258047E2,-3.779511807E1,1.449617048E2,5.390341806E1,1.600000024E0,2.808999939E2,3.216000080E0,3.000000000E0
1.431292834E2,-3.779511535E1,1.449616883E2,5.352807017E1,1.519999981E0,2.810000000E2,3.216000080E0,3.000000000E0
1.441318953E2,-3.779511335E1,1.449616694E2,5.352705697E1,1.720000029E0,2.782999878E2,3.216000080E0,3.000000000E0
1.451208783E2,-3.779511218E1,1.449616496E2,5.348106515E1,1.720000029E0,2.782000122E2,3.216000080E0,3.000000000E0
1.461216445E2,-3.779511125E1,1.449616294E2,5.366969405E1,1.669999957E0,2.772999878E2,3.216000080E0,3.000000000E0
1.471237500E2,-3.779511047E1,1.449616096E2,5.350541729E1,1.700000048E0,2.772999878E2,3.216000080E0,3.000000000E0
1.481186211E2,-3.779510979E1,1.449615896E2,5.373268177E1,1.610000014E0,2.772999878E2,3.216000080E0,3.000000000E0
1.491553772E2,-3.779510980E1,1.449615708E2,5.349900919E1,1.529999971E0,2.777999878E2,3.216000080E0,3.000000000E0
1.501377144E2,-3.779510852E1,1.449615524E2,5.296418409E1,1.590000033E0,2.778999939E2,3.216000080E0,3.000000000E0
1.511229863E2,-3.779510443E1,1.449615323E2,5.365237507E1,1.669999957E0,2.778999939E2,3.216000080E0,3.000000000E0
1.521101423E2,-3.779509995E1,1.449615116E2,5.414391054E1,1.710000038E0,2.865000000E2,3.216000080E0,4.000000000E0
1.531281359E2,-3.779509621E1,1.449614900E2,5.415522525E1,1.679999948E0,2.847999878E2,3.216000080E0,4.000000000E0
1.541113103E2,-3.779509360E1,1.449614696E2,5.417325553E1,1.610000014E0,2.810000000E2,3.216000080E0,4.000000000E0
1.551141852E2,-3.779509153E1,1.449614502E2,5.383679392E1,1.580000043E0,2.806000061E2,3.216000080E0,4.000000000E0
1.561152980E2,-3.779509010E1,1.449614311E2,5.374044604E1,1.620000005E0,2.767999878E2,3.216000080E0,3.000000000E0
1.571115994E2,-3.779508896E1,1.449614119E2,5.405565938E1,1.620000005E0,2.768999939E2,3.216000080E0,3.000000000E0
1.581219063E2,-3.779508795E1,1.449613934E2,5.379830132E1,1.620000005E0,2.768999939E2,3.216000080E0,3.000000000E0
1.591561907E2,-3.779508709E1,1.449613743E2,5.394420381E1,1.669999957E0,2.792999878E2,3.216000080E0,3.000000000E0
1.601232678E2,-3.779508598E1,1.449613544E2,5.419075397E1,1.730000019E0,2.797000122E2,3.216000080E0,3.000000000E0
1.611268527E2,-3.779508440E1,1.449613351E2,5.416221604E1,1.600000024E0,2.801000061E2,3.216000080E0,3.000000000E0
1.621361563E2,-3.779508275E1,1.449613189E2,5.375366793E1,1.370000005E0,2.807000122E2,3.216000080E0,3.000000000E0
1.631204669E2,-3.779508131E1,1.449613022E2,5.341451819E1,1.620000005E0,2.807000122E2,3.216000080E0,3.000000000E0
1.641161205E2,-3.779507950E1,1.449612850E2,5.304027295E1,1.590000033E0,2.808999939E2,3.216000080E0,3.000000000E0
1.651130759E2,-3.779507795E1,1.449612680E2,5.340278361E1,1.629999995E0,2.786000061E2,3.216000080E0,3.000000000E0
1.661202333E2,-3.779507659E1,1.449612516E2,5.331979822E1,1.549999952E0,2.788999939E2,3.216000080E0,3.000000000E0
1.671100263E2,-3.779507482E1,1.449612360E2,5.299041136E1,1.460000038E0,2.782999878E2,3.216000080E0,3.000000000E0
1.681120090E2,-3.779507257E1,1.449612188E2,5.315925544E1,1.570000052E0,2.782999878E2,3.216000080E0,3.000000000E0
1.691190872E2,-3.779507065E1,1.449612002E2,5.287094964E1,1.690000057E0,2.753999939E2,3.216000080E0,3.000000000E0
1.701219933E2,-3.779506953E1,1.449611813E2,5.321722957E1,1.590000033E0,2.751000061E2,3.216000080E0,3.000000000E0
1.711330073E2,-3.779506818E1,1.449611641E2,5.283553956E1,1.620000005E0,2.802000122E2,3.216000080E0,3.000000000E0
1.721313867E2,-3.779506658E1,1.449611477E2,5.195140587E1,1.610000014E0,2.801000061E2,3.216000080E0,3.000000000E0
1.731304457E2,-3.779506422E1,1.449611309E2,5.149769042E1,1.620000005E0,2.788999939E2,3.216000080E0,3.000000000E0
1.741367068E2,-3.779506190E1,1.449611138E2,5.167105085E1,1.590000033E0,2.787000122E2,3.216000080E0,3.000000000E0
1.751197423E2,-3.779505931E1,1.449610959E2,5.196721426E1,1.700000048E0,2.792000122E2,3.216000080E0,3.000000000E0
1.761198865E2,-3.779505595E1,1.449610774E2,5.249585914E1,1.720000029E0,2.792000122E2,3.216000080E0,3.000000000E0
1.771276987E2,-3.779505089E1,1.449610579E2,5.334408012E1,1.860000014E0,2.871000061E2,3.216000080E0,3.000000000E0
