"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.070664800E-2,-5.264282227E-2,1.284942627E0,1.000679016E1
1.207066480E-1,-3.278198242E-1,1.347152710E0,1.026281738E1
1.707066480E-1,-1.986083984E-1,1.304092407E0,1.023649597E1
2.207066480E-1,6.197357178E-1,1.184448242E0,9.985244751E0
2.707066480E-1,-4.355010986E-1,1.674972534E0,1.039920044E1
3.207066480E-1,1.045669556E0,1.148559570E0,9.020935059E0
3.707066480E-1,-5.742797852E-1,1.244262695E0,1.099023438E1
4.207066480E-1,7.441711426E-1,5.096740723E-1,8.377273560E0
4.707066480E-1,-1.340026855E-1,2.146362305E0,1.010728455E1
5.207066480E-1,8.925170898E-1,5.766754150E-1,9.887145996E0
5.707066480E-1,6.700134277E-2,9.379882812E-1,1.047578430E1
6.207066480E-1,1.088729858E0,1.196441650E-1,9.705291748E0
6.707066480E-1,4.737854004E-1,9.284210205E-1,1.048295593E1
7.207066480E-1,3.325958252E-1,0.000000000E0,1.008575439E1
7.707066480E-1,7.322082520E-1,9.571228027E-1,1.010968018E1
8.207066480E-1,-1.483612061E-1,5.790557861E-1,9.879959106E0
8.707066480E-1,1.842498779E-1,7.346038818E-1,1.013600159E1
9.207066480E-1,1.268157959E-1,7.776641846E-1,9.800994873E0
9.707066480E-1,1.411743164E-1,6.364898682E-1,9.934997559E0
1.020706648E0,2.608184814E-1,9.355926514E-1,9.492324829E0
1.070706648E0,7.656860352E-2,8.614196777E-1,1.023410034E1
1.120706648E0,2.943115234E-1,9.260253906E-1,9.789031982E0
1.170706648E0,-2.321014404E-1,1.344772339E0,9.312866211E0
1.220706648E0,-1.579284668E-1,1.270584106E0,1.001156616E1
1.270706648E0,-1.483612061E-1,1.265808105E0,1.002592468E1
1.320706648E0,1.746826172E-1,1.694122314E0,1.045184326E1
1.370706648E0,3.541412354E-1,1.000198364E0,9.891921997E0
1.420706648E0,3.111267090E-2,1.409378052E0,9.171691895E0
1.470706648E0,6.029968262E-1,1.883148193E0,9.351150513E0
1.520706648E0,1.794586182E-1,1.505081177E0,1.065763855E1
1.570706648E0,1.674957275E-1,2.110473633E0,1.055712891E1
1.620706648E0,-6.436767578E-1,1.550552368E0,1.025802612E1
1.670706648E0,-1.198806763E0,1.854431152E0,1.003549194E1
1.720706648E0,-2.632141113E-1,1.210769653E0,1.035134888E1
1.770706648E0,-5.024871826E-1,7.800598145E-1,1.127020264E1
1.820706648E0,-6.197357178E-1,1.055236816E0,1.096630859E1
1.870706648E0,-6.484527588E-1,-3.421783447E-1,1.240678406E1
1.920706648E0,-1.890258789E-1,-5.264282227E-2,1.036810303E1
1.970706648E0,-9.571838379E-2,-2.991027832E-1,9.396621704E0
2.020706648E0,-1.124572754E-1,1.698913574E-1,8.394027710E0
2.070706648E0,1.196441650E-1,2.488555908E-1,8.367706299E0
2.120706648E0,-9.523468018E-1,8.470611572E-1,8.092529297E0
2.170706648E0,-1.818542480E-1,8.805541992E-1,9.042480469E0
2.220706648E0,-5.335998535E-1,1.031311035E0,1.022453308E1
2.270706648E0,3.708801270E-1,1.658233643E0,1.062173462E1
2.320706648E0,-6.388854980E-1,1.416549683E0,1.159800720E1
2.370706648E0,-1.411743164E-1,4.642028809E-1,1.265084839E1
2.420706648E0,-4.546356201E-1,2.010040283E-1,1.115533447E1
2.470706648E0,-9.260253906E-1,-7.034912109E-1,1.176312256E1
2.520706648E0,-9.427795410E-1,-1.095916748E0,9.059234619E0
2.570706648E0,-8.111724854E-1,-4.307556152E-2,8.563919067E0
2.620706648E0,-4.929199219E-1,-5.359954834E-1,7.975280762E0
2.670706648E0,1.100769043E-1,1.387786865E-1,7.903488159E0
2.720706648E0,-4.881286621E-1,5.934143066E-1,8.717056274E0
2.770706648E0,-3.972015381E-1,8.877410889E-1,9.698104858E0
2.820706648E0,-2.225341797E-1,3.254241943E-1,1.069830322E1
2.870706648E0,3.111267090E-2,6.986999512E-1,1.217468262E1
2.920706648E0,-6.700134277E-2,1.459655762E-1,1.149272156E1
2.970706648E0,1.986083984E-1,1.986083984E-1,1.205982971E1
3.020706648E0,-4.091796875E-1,-1.239486694E0,1.072224426E1
3.070706648E0,4.139556885E-1,-9.260253906E-1,1.045663452E1
3.120706648E0,3.086700439E-1,-7.130584717E-1,8.451446533E0
3.170706648E0,-2.177429199E-1,6.532440186E-1,7.432113647E0
3.220706648E0,-1.746826172E-1,6.269226074E-1,7.941772461E0
3.270706648E0,1.770629883E-1,7.106628418E-1,9.075973511E0
3.320706648E0,7.489471436E-1,1.127014160E0,1.131565857E1
3.370706648E0,4.785614014E-1,7.441711426E-1,1.210289001E1
3.420706648E0,3.661041260E-1,5.024871826E-1,1.215075684E1
3.470706648E0,1.411743164E-1,-3.565368652E-1,1.201675415E1
3.520706648E0,-5.790557861E-1,-9.260253906E-1,1.083709717E1
3.570706648E0,-2.536315918E-1,-4.809570312E-1,8.599807739E0
3.620706648E0,-6.723785400E-1,-3.254241943E-1,8.341384888E0
3.670706648E0,7.896423340E-2,3.086700439E-1,8.106887817E0
3.720706648E0,-1.100769043E-1,6.676025391E-1,7.865203857E0
3.770706648E0,-2.871704102E-2,1.103088379E0,8.901306152E0
3.820706648E0,-1.579284668E-1,4.929199219E-1,1.086102295E1
3.870706648E0,-7.171630859E-3,-1.770629883E-1,1.180378723E1
3.920706648E0,-4.953155518E-1,-3.517456055E-1,1.299063110E1
3.970706648E0,5.264282227E-1,-1.100769043E-1,1.079881287E1
4.020706648E0,-3.613128662E-1,-1.385437012E0,1.310548401E1
4.070706648E0,1.818542480E-1,-1.395019531E0,9.372680664E0
4.120706648E0,5.264282227E-2,1.196289062E-2,8.946762085E0
4.170706648E0,-3.110656738E-1,7.106628418E-1,6.709472656E0
4.220706648E0,-2.440643311E-1,1.143768311E0,7.910675049E0
4.270706648E0,1.268157959E-1,7.202453613E-1,8.717056274E0
4.320706648E0,8.087768555E-1,1.021728516E0,1.066720581E1
4.370706648E0,-1.531372070E-1,5.742797852E-1,1.265563965E1
4.420706648E0,4.953155518E-1,2.297058105E-1,1.279920959E1
4.470706648E0,-4.043884277E-1,-9.547424316E-1,1.287817383E1
4.520706648E0,-6.006011963E-1,-8.805541992E-1,1.010488892E1
4.570706648E0,-3.828582764E-1,-9.044799805E-1,9.437286377E0
4.620706648E0,-1.842498779E-1,-3.661041260E-1,7.544570923E0
4.670706648E0,-2.225341797E-1,7.393798828E-1,6.568298340E0
4.720706648E0,-1.483612061E-1,6.149597168E-1,7.415359497E0
4.770706648E0,3.421783447E-1,9.331970215E-1,9.140579224E0
4.820706648E0,7.177734375E-2,1.411743164E-1,1.154058838E1
4.870706648E0,-4.187469482E-1,-4.791259766E-3,1.283032227E1
4.920706648E0,-1.340026855E-1,-5.216369629E-1,1.262452698E1
4.970706648E0,1.136596680E0,-7.992095947E-1,1.161476135E1
5.020706648E0,3.637084961E-1,-1.330413818E0,1.135154724E1
5.070706648E0,1.665405273E0,-7.585296631E-1,8.398803711E0
5.120706648E0,5.982055664E-1,-1.196441650E-1,8.310272217E0
5.170706648E0,1.890258789E-1,3.493499756E-1,7.099502563E0
5.220706648E0,-5.575256348E-1,3.278198242E-1,8.097305298E0
5.270706648E0,3.972015381E-1,6.819610596E-1,8.970687866E0
5.320706648E0,3.661041260E-1,4.211425781E-1,1.109552002E1
5.370706648E0,9.858398438E-1,-6.221008301E-2,1.245463562E1
5.420706648E0,-1.148529053E-1,-6.986999512E-1,1.292842102E1
5.470706648E0,-6.867370605E-1,-2.464614868E0,1.478047180E1
5.520706648E0,-1.177261353E0,-2.390426636E0,1.043750000E1
5.570706648E0,-4.067993164E-2,-9.331970215E-1,7.546966553E0
5.620706648E0,-3.972015381E-1,-5.001068115E-1,6.305084229E0
5.670706648E0,-5.647125244E-1,7.171630859E-3,7.800598145E0
5.720706648E0,4.211425781E-1,6.245269775E-1,7.680953979E0
5.770706648E0,1.009765625E0,3.445739746E-1,9.528213501E0
5.820706648E0,7.824554443E-1,-2.392883301E-1,1.173440552E1
5.870706648E0,2.823486328E-1,-5.144500732E-1,1.264846802E1
5.920706648E0,3.780670166E-1,-8.470611572E-1,1.295234680E1
5.970706648E0,2.943115234E-1,-1.808975220E0,1.593141174E1
6.020706648E0,1.842498779E-1,-1.277770996E0,9.198013306E0
6.070706648E0,7.489471436E-1,-4.187469482E-1,5.740386963E0
6.120706648E0,2.321014404E-1,-5.264282227E-1,7.010971069E0
