Acceleration_Timestamp,X,Y,Z
21-Mar-2023 11:32:12.032,-1.186844,1.596008,10.004395
21-Mar-2023 11:32:12.051,-1.399796,1.706085,9.695724
21-Mar-2023 11:32:12.070,-1.598404,1.7659,9.5354
21-Mar-2023 11:32:12.089,-1.404587,1.770691,9.655045
21-Mar-2023 11:32:12.108,-1.155731,1.797012,10.023529
21-Mar-2023 11:32:12.127,-1.112656,1.770691,10.365707
21-Mar-2023 11:32:12.146,-0.899704,1.514664,10.413559
21-Mar-2023 11:32:12.165,-0.646057,1.481155,10.39682
21-Mar-2023 11:32:12.184,-0.727417,1.617554,10.226929
21-Mar-2023 11:32:12.203,-0.588638,1.95015,10.114456
21-Mar-2023 11:32:12.222,-0.222534,2.170288,9.853638
21-Mar-2023 11:32:12.241,-0.08136,2.167892,9.655045
21-Mar-2023 11:32:12.260,-0.454636,2.067398,9.899109
21-Mar-2023 11:32:12.279,-0.67717,1.907074,10.035492
21-Mar-2023 11:32:12.298,-0.870987,1.756332,10.011566
21-Mar-2023 11:32:12.317,-0.926025,1.727615,10.035492
21-Mar-2023 11:32:12.336,-0.727417,1.926224,9.982849
21-Mar-2023 11:32:12.355,-0.497711,1.964508,9.540192
21-Mar-2023 11:32:12.374,-0.337387,2.069794,9.272186
21-Mar-2023 11:32:12.393,-0.437881,2.189438,9.475586
21-Mar-2023 11:32:12.412,-0.725021,2.120041,9.559326
21-Mar-2023 11:32:12.431,-0.689133,2.002792,9.772293
21-Mar-2023 11:32:12.450,-0.490524,1.993225,9.927826
21-Mar-2023 11:32:12.469,-0.394821,2.067398,9.777069
21-Mar-2023 11:32:12.488,-0.306274,2.11525,9.401398
21-Mar-2023 11:32:12.507,-0.263214,2.282745,9.164505
21-Mar-2023 11:32:12.526,-0.509674,2.220535,9.542572
21-Mar-2023 11:32:12.545,-0.775269,2.163116,9.872787
21-Mar-2023 11:32:12.564,-0.502487,2.129608,9.853638
21-Mar-2023 11:32:12.583,-0.442673,2.347366,9.609573
21-Mar-2023 11:32:12.602,-0.79921,2.189438,9.633499
21-Mar-2023 11:32:12.621,-0.562317,2.129608,10.040283
21-Mar-2023 11:32:12.640,-0.10289,2.158325,10.238892
21-Mar-2023 11:32:12.659,0.150742,2.151154,10.001999
21-Mar-2023 11:32:12.678,-0.363708,2.249252,9.611969
21-Mar-2023 11:32:12.697,-0.897308,2.478958,9.755539
21-Mar-2023 11:32:12.716,-0.92363,2.50528,9.39183
21-Mar-2023 11:32:12.735,-0.918839,2.562714,8.831909
21-Mar-2023 11:32:12.754,-0.914063,2.60817,8.889343
21-Mar-2023 11:32:12.773,-1.160522,2.471786,9.707687
21-Mar-2023 11:32:12.792,-1.110275,2.112869,10.411179
21-Mar-2023 11:32:12.811,-0.96431,2.043472,10.353745
21-Mar-2023 11:32:12.830,-1.10788,2.076965,9.600006
21-Mar-2023 11:32:12.849,-1.213165,2.545959,9.444473
21-Mar-2023 11:32:12.868,-0.983444,2.806778,9.808182
21-Mar-2023 11:32:12.887,-0.607773,2.641678,9.970886
21-Mar-2023 11:32:12.906,-0.629318,2.617752,9.537796
21-Mar-2023 11:32:12.924,-0.806381,2.773285,9.293716
