Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.16009","1.57424","3.24000"
"0.16107","1.58643","3.26000"
"0.16234","1.60140","3.28000"
"0.16366","1.62063","3.30000"
"0.16456","1.64145","3.32000"
"0.16528","1.65730","3.34000"
"0.16622","1.66957","3.36000"
"0.16730","1.68314","3.38000"
"0.16841","1.69936","3.40000"
"0.16938","1.71712","3.42000"
"0.17015","1.73304","3.44000"
"0.17109","1.74632","3.46000"
"0.17232","1.76091","3.48000"
"0.17364","1.78013","3.50000"
"0.17461","1.80141","3.52000"
"0.17533","1.81838","3.54000"
"0.17623","1.83105","3.56000"
"0.17730","1.84482","3.58000"
"0.17841","1.86123","3.60000"
"0.17939","1.87943","3.62000"
"0.18016","1.89594","3.64000"
"0.18103","1.90908","3.66000"
"0.18220","1.92303","3.68000"
"0.18353","1.94159","3.70000"
"0.18463","1.96308","3.72000"
"0.18539","1.98246","3.74000"
"0.18625","1.99672","3.76000"
"0.18732","2.01056","3.78000"
"0.18843","2.02706","3.80000"
"0.18949","2.04554","3.82000"
"0.19026","2.06349","3.84000"
"0.19105","2.07767","3.86000"
"0.19214","2.09103","3.88000"
"0.19345","2.10826","3.90000"
"0.19465","2.13015","3.92000"
"0.19543","2.15113","3.94000"
"0.19624","2.16656","3.96000"
"0.19730","2.18010","3.98000"
"0.19842","2.19670","4.00000"
"0.19950","2.21585","4.02000"
"0.20029","2.23462","4.04000"
"0.20105","2.24920","4.06000"
"0.20209","2.26258","4.08000"
"0.20339","2.27945","4.10000"
"0.20465","2.30163","4.12000"
"0.20552","2.32449","4.14000"
"0.20631","2.34176","4.16000"
"0.20733","2.35630","4.18000"
"0.20841","2.37256","4.20000"
"0.20949","2.39140","4.22000"
"0.21034","2.41068","4.24000"
"0.21107","2.42679","4.26000"
"0.21205","2.44048","4.28000"
"0.21330","2.45713","4.30000"
"0.21462","2.47878","4.32000"
"0.21557","2.50223","4.34000"
"0.21632","2.52096","4.36000"
"0.21728","2.53557","4.38000"
"0.21835","2.55160","4.40000"
"0.21941","2.57058","4.42000"
"0.22031","2.58989","4.44000"
"0.22105","2.60657","4.46000"
"0.22196","2.62066","4.48000"
"0.22317","2.63662","4.50000"
"0.22458","2.65828","4.52000"
"0.22568","2.68379","4.54000"
"0.22644","2.70544","4.56000"
"0.22732","2.72146","4.58000"
"0.22836","2.73685","4.60000"
"0.22942","2.75447","4.62000"
"0.23037","2.77375","4.64000"
"0.23113","2.79177","4.66000"
"0.23198","2.80658","4.68000"
"0.23316","2.82165","4.70000"
"0.23454","2.84238","4.72000"
"0.23571","2.86768","4.74000"
"0.23646","2.89063","4.76000"
"0.23730","2.90698","4.78000"
"0.23833","2.92206","4.80000"
"0.23939","2.93979","4.82000"
"0.24041","2.95984","4.84000"
"0.24120","2.97910","4.86000"
"0.24201","2.99483","4.88000"
"0.24312","3.00983","4.90000"
"0.24445","3.02927","4.92000"
"0.24569","3.05388","4.94000"
"0.24648","3.07801","4.96000"
"0.24726","3.09569","4.98000"
"0.24827","3.11060","5.00000"
"0.24937","3.12807","5.02000"
"0.25045","3.14856","5.04000"
