"event","experiment time","system time","system time text"
"START",0.000000000E0,1682830435.275,"2023-04-30 14:53:55.275 UTC+10:00"
"PAUSE",2.699198431E2,1682830705.195,"2023-04-30 14:58:25.195 UTC+10:00"
