"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.997973900E-2,-2.313232422E-1,4.974365234E-3,1.593322754E-1
1.099797390E-1,-6.822204590E-2,-1.239166260E-1,5.303955078E-2
1.599797390E-1,-1.696319580E-1,3.953094482E-1,-1.161651611E-1
2.099797390E-1,6.860351562E-2,3.305053711E-2,-3.002929688E-2
2.599797390E-1,5.149841309E-2,4.521179199E-1,2.799987793E-2
3.099797390E-1,4.470825195E-3,8.865356445E-2,1.823425293E-2
3.599797390E-1,-3.096008301E-2,-4.452362061E-1,1.538391113E-1
4.099797390E-1,1.046447754E-1,-5.350341797E-1,-1.231384277E-2
4.599797390E-1,1.057434082E-2,-2.076110840E-1,-1.536560059E-2
5.099797390E-1,-8.361816406E-3,-2.057800293E-1,7.319641113E-2
5.599797390E-1,-1.720733643E-1,3.366699219E-1,9.886169434E-2
6.099797390E-1,-1.814270020E-2,3.806457520E-1,5.609130859E-2
6.599797390E-1,-1.952819824E-1,1.277313232E-1,-1.167602539E-1
7.099797390E-1,-1.800079346E-1,4.118041992E-1,9.335327148E-2
7.599797390E-1,-7.554626465E-2,-4.831237793E-1,-2.206268311E-1
8.099797390E-1,-2.759094238E-1,-4.617462158E-1,1.342926025E-1
8.599797390E-1,6.912231445E-3,-2.131195068E-1,2.155303955E-1
9.099797390E-1,5.821228027E-2,-2.679443359E-2,2.925109863E-1
9.599797390E-1,6.372070312E-2,1.582794189E-1,3.755798340E-1
1.009979739E0,-9.143066406E-2,3.855895996E-2,8.236694336E-2
1.059979739E0,4.094696045E-1,-2.424316406E-1,1.617736816E-1
1.109979739E0,3.178405762E-1,1.594543457E-2,1.373291016E-1
1.159979739E0,3.990783691E-1,-1.422424316E-1,8.236694336E-2
1.209979739E0,3.465576172E-1,-2.283782959E-1,2.432250977E-2
1.259979739E0,2.584838867E-2,-7.858276367E-3,-1.902770996E-2
1.309979739E0,-8.410644531E-2,1.521759033E-1,-2.817077637E-1
1.359979739E0,-3.950347900E-1,3.323822021E-1,-3.458404541E-1
1.409979739E0,8.937072754E-2,2.346496582E-1,-3.552246094E-2
1.459979739E0,-1.977233887E-1,1.466827393E-1,-2.371063232E-1
1.509979739E0,2.292633057E-1,-2.705383301E-1,-1.693115234E-1
1.559979739E0,4.539489746E-2,2.084350586E-2,-2.456665039E-1
1.609979739E0,3.134155273E-2,4.026336670E-1,-9.843444824E-2
1.659979739E0,1.199188232E-1,2.260894775E-1,-4.774475098E-2
1.709979739E0,1.412963867E-1,-6.027221680E-3,4.180908203E-3
1.759979739E0,1.423645020E-2,2.523651123E-1,1.538391113E-1
1.809979739E0,1.938323975E-1,-4.512023926E-2,8.480834961E-2
1.859979739E0,-1.958923340E-1,4.563903809E-1,7.685852051E-2
1.909979739E0,-3.027954102E-1,-4.593048096E-1,-1.283874512E-1
1.959979739E0,1.761169434E-1,3.085632324E-1,3.004455566E-1
2.009979739E0,-9.209899902E-1,1.234741211E-1,2.861022949E-2
2.059979739E0,-6.150817871E-2,-1.288146973E-1,1.654357910E-1
2.109979739E0,-4.854431152E-1,1.869964600E-1,1.335144043E-2
2.159979739E0,1.131896973E-1,-1.947021484E-2,1.074066162E-1
2.209979739E0,1.522979736E-1,2.083740234E-1,1.394653320E-2
2.259979739E0,1.425170898E-1,4.918212891E-1,2.310180664E-2
2.309979739E0,2.793579102E-1,-1.519775391E-2,-4.379272461E-3
2.359979739E0,1.785583496E-1,-1.288146973E-1,-1.760253906E-1
2.409979739E0,-1.354217529E-1,1.118621826E-1,-1.564788818E-1
2.459979739E0,1.162567139E-1,-4.573059082E-2,-1.906890869E-1
2.509979739E0,-4.762878418E-1,6.420898438E-2,-2.884216309E-1
2.559979739E0,3.378295898E-2,2.254791260E-1,-1.289825439E-1
2.609979739E0,1.425170898E-1,-3.169708252E-1,-8.317565918E-2
2.659979739E0,7.775878906E-2,-1.935577393E-1,-4.652404785E-2
2.709979739E0,1.602325439E-1,1.833343506E-1,-3.613281250E-2
2.759979739E0,7.472229004E-2,4.956054688E-2,-9.843444824E-2
2.809979739E0,1.290740967E-1,-2.503662109E-1,6.159973145E-2
2.859979739E0,-1.692199707E-2,1.185760498E-1,-9.843444824E-2
2.909979739E0,3.386077881E-1,4.161071777E-2,1.519927979E-1
2.959979739E0,7.522583008E-3,2.303771973E-1,7.441711426E-2
3.009979739E0,-3.144073486E-1,-2.589263916E-1,-1.357116699E-1
3.059979739E0,2.217102051E-2,3.372650146E-1,-3.735351562E-2
3.109979739E0,-5.715789795E-1,6.481933594E-2,1.025238037E-1
3.159979739E0,-4.272460938E-4,-3.597259521E-1,1.440582275E-1
3.209979739E0,-3.498382568E-1,-4.206848145E-2,2.338562012E-1
3.259979739E0,1.974945068E-1,-1.801300049E-1,2.662353516E-1
3.309979739E0,2.584838867E-2,1.907348633E-3,1.587219238E-1
3.359979739E0,2.176513672E-1,1.088104248E-1,2.668457031E-1
3.409979739E0,2.549285889E-1,7.948303223E-2,1.074066162E-1
3.459979739E0,2.653045654E-1,1.405792236E-1,-8.439636230E-2
3.509979739E0,8.570861816E-2,2.248687744E-1,-1.454925537E-1
3.559979739E0,-4.274139404E-1,1.033020020E-1,-5.492706299E-1
3.609979739E0,-1.977233887E-1,6.873016357E-1,-9.355163574E-2
3.659979739E0,3.257904053E-1,-1.153564453E-2,-8.988952637E-2
3.709979739E0,-4.196166992E-2,-2.662506104E-1,-2.780456543E-1
3.759979739E0,1.034240723E-1,-2.033386230E-1,-1.283874512E-1
3.809979739E0,-2.178955078E-2,1.350402832E-2,-7.156372070E-2
3.859979739E0,2.872924805E-1,-5.062866211E-2,4.205322266E-2
3.909979739E0,1.309204102E-1,-1.641845703E-2,-6.668090820E-2
3.959979739E0,4.681243896E-1,-1.850128174E-1,1.214599609E-1
4.009979739E0,1.131896973E-1,1.149139404E-1,7.380676270E-2
4.059979739E0,-6.394958496E-2,2.236480713E-1,2.796630859E-1
4.109979739E0,-1.342010498E-1,-3.084106445E-1,-1.283874512E-1
4.159979739E0,-1.842956543E-1,4.386749268E-1,9.947204590E-2
4.209979739E0,-5.953979492E-1,-8.667449951E-1,-7.585144043E-2
4.259979739E0,-1.653442383E-1,-6.588745117E-2,1.752166748E-1
4.309979739E0,-1.342010498E-1,3.305053711E-2,1.581115723E-1
4.359979739E0,2.371978760E-1,-3.194122314E-1,1.416168213E-1
4.409979739E0,-4.255676270E-2,-7.139587402E-2,2.432250977E-2
4.459979739E0,1.296997070E-1,9.719848633E-2,1.410064697E-1
4.509979739E0,6.494140625E-2,-1.025543213E-1,-5.690002441E-2
4.559979739E0,4.051208496E-2,2.541961670E-1,7.380676270E-2
4.609979739E0,-7.084197998E-1,-3.774414062E-1,-2.505493164E-1
4.659979739E0,3.190612793E-1,3.836975098E-1,4.476623535E-1
4.709979739E0,-1.280822754E-1,-1.318664551E-1,6.526184082E-2
4.759979739E0,-1.806182861E-1,-2.393798828E-1,-2.194061279E-1
4.809979739E0,-8.410644531E-2,2.401428223E-1,-3.247070312E-2
4.859979739E0,6.250000000E-2,-3.658294678E-1,9.152221680E-2
4.909979739E0,1.999359131E-1,-7.858276367E-3,2.338562012E-1
4.959979739E0,-8.776855469E-2,1.088104248E-1,1.104583740E-1
