"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.116511702E1,-3.779952491E1,1.449611582E2,4.829061619E1,1.519999981E0,1.125000000E2,3.216000080E0,6.000000000E0
4.214639899E1,-3.779953295E1,1.449611769E2,4.833913487E1,1.480000019E0,1.118000031E2,3.216000080E0,6.000000000E0
4.314969196E1,-3.779953827E1,1.449611938E2,4.842237656E1,1.379999995E0,1.068000031E2,3.216000080E0,6.000000000E0
4.416159280E1,-3.779954256E1,1.449612120E2,4.845940910E1,1.460000038E0,1.011999969E2,3.216000080E0,6.000000000E0
4.514659509E1,-3.779954763E1,1.449612224E2,4.765740664E1,6.399999857E-1,1.943999939E2,3.216000080E0,8.000000000E0
4.615374691E1,-3.779955142E1,1.449612256E2,4.877698164E1,3.100000024E-1,1.943999939E2,3.216000080E0,8.000000000E0
4.716162717E1,-3.779955437E1,1.449612253E2,4.901521206E1,0.000000000E0,0.000000000E0,4.288000107E0,8.000000000E0
4.815723550E1,-3.779955703E1,1.449612238E2,4.980239377E1,2.199999988E-1,1.943999939E2,4.288000107E0,8.000000000E0
4.915049535E1,-3.779955627E1,1.449612198E2,4.955343530E1,4.499999881E-1,1.943999939E2,5.360000134E0,8.000000000E0
5.016601035E1,-3.779954976E1,1.449612092E2,5.003396126E1,1.330000043E0,2.972999878E2,4.288000107E0,8.000000000E0
5.117835576E1,-3.779953608E1,1.449611960E2,5.066772709E1,1.690000057E0,3.167999878E2,5.360000134E0,8.000000000E0
5.214324441E1,-3.779951875E1,1.449611883E2,5.090370577E1,1.649999976E0,3.310000000E2,5.360000134E0,8.000000000E0
5.315726482E1,-3.779949915E1,1.449611850E2,5.195839537E1,1.639999986E0,3.448999939E2,5.360000134E0,8.000000000E0
5.416497764E1,-3.779947865E1,1.449611862E2,5.305085538E1,1.600000024E0,3.532999878E2,5.360000134E0,8.000000000E0
5.515960404E1,-3.779945691E1,1.449611896E2,5.393847356E1,1.769999981E0,3.558999939E2,6.432000160E0,8.000000000E0
5.616376206E1,-3.779943716E1,1.449611973E2,5.326420175E1,1.460000038E0,1.500000000E0,6.432000160E0,8.000000000E0
5.715058951E1,-3.779942058E1,1.449612074E2,5.261215321E1,1.269999981E0,8.399999619E0,6.432000160E0,1.200000000E1
5.814876123E1,-3.779940633E1,1.449612208E2,5.280556571E1,1.169999957E0,2.270000076E1,7.504000187E0,1.200000000E1
5.915395586E1,-3.779939306E1,1.449612369E2,5.314436295E1,1.320000052E0,3.050000000E1,7.504000187E0,1.200000000E1
6.017093399E1,-3.779937841E1,1.449612530E2,5.344665655E1,1.370000005E0,3.309999847E1,7.504000187E0,1.200000000E1
6.115106534E1,-3.779936293E1,1.449612669E2,5.406474683E1,1.460000038E0,2.460000038E1,7.504000187E0,1.200000000E1
6.214421420E1,-3.779934444E1,1.449612766E2,5.459762919E1,1.570000052E0,1.739999962E1,1.179199982E1,1.200000000E1
6.314294654E1,-3.779932637E1,1.449612811E2,5.506332173E1,1.320000052E0,1.189999962E1,1.072000027E1,1.200000000E1
6.415760513E1,-3.779930894E1,1.449612858E2,5.539345695E1,1.629999995E0,1.030000019E1,1.072000027E1,1.200000000E1
6.515396602E1,-3.779928967E1,1.449612893E2,5.566841227E1,1.730000019E0,7.199999809E0,1.072000027E1,1.200000000E1
6.614680466E1,-3.779927232E1,1.449612932E2,5.606007254E1,1.529999971E0,7.300000191E0,9.648000717E0,1.200000000E1
6.715141388E1,-3.779925506E1,1.449612972E2,5.735291696E1,1.669999957E0,1.319999981E1,9.648000717E0,1.200000000E1
6.815249727E1,-3.779923760E1,1.449613029E2,5.748047484E1,1.730000019E0,1.319999981E1,9.648000717E0,1.200000000E1
6.915832076E1,-3.779922190E1,1.449613089E2,5.685272790E1,1.500000000E0,1.319999981E1,9.648000717E0,1.200000000E1
7.015659930E1,-3.779920654E1,1.449613135E2,5.659668843E1,1.559999943E0,7.300000191E0,9.648000717E0,1.200000000E1
7.117323544E1,-3.779919195E1,1.449613181E2,5.632685746E1,1.500000000E0,6.300000191E0,9.648000717E0,8.000000000E0
7.216266128E1,-3.779917835E1,1.449613232E2,5.551497584E1,1.500000000E0,6.199999809E0,9.648000717E0,8.000000000E0
7.316073857E1,-3.779916483E1,1.449613278E2,5.613864206E1,1.460000038E0,5.599999905E0,9.648000717E0,8.000000000E0
7.416205002E1,-3.779915280E1,1.449613310E2,5.640727417E1,1.159999967E0,5.199999809E0,9.648000717E0,8.000000000E0
7.515633877E1,-3.779914641E1,1.449613311E2,5.557943322E1,4.600000083E-1,5.300000191E0,9.648000717E0,8.000000000E0
