"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.392273200E-2,1.948852539E1,1.002960205E1,5.071411133E1
9.720642300E-2,1.915740967E1,8.976745605E0,4.922637939E1
1.940692160E-1,2.120971680E1,6.968688965E0,5.293273926E1
2.938616970E-1,2.233734131E1,4.486083984E0,5.574951172E1
3.438494900E-1,2.235107422E1,4.933166504E0,5.649261475E1
4.441912870E-1,2.280426025E1,4.647827148E0,5.426177979E1
5.439532490E-1,2.488708496E1,3.076171875E0,5.247039795E1
5.937884550E-1,2.416992188E1,4.541015625E0,5.381317139E1
6.937640400E-1,2.292327881E1,3.614807129E0,5.515136719E1
7.941058370E-1,2.273864746E1,2.717590332E0,5.529937744E1
8.437274190E-1,2.335510254E1,2.883911133E0,5.455474854E1
9.437335230E-1,2.548217773E1,2.650451660E0,5.261688232E1
1.043678591E0,2.619476318E1,1.338195801E0,5.409851074E1
1.093666384E0,2.620239258E1,1.638793945E0,5.513916016E1
1.193641970E0,2.640075684E1,3.128051758E0,5.529022217E1
1.293617556E0,2.627410889E1,3.715515137E0,5.335845947E1
1.343605349E0,2.555694580E1,5.027770996E0,5.306549072E1
1.443580935E0,2.284240723E1,5.683898926E0,5.173645020E1
1.543587039E0,2.344665527E1,5.554199219E0,5.203399658E1
1.593757937E0,2.284240723E1,5.683898926E0,5.173645020E1
1.693550417E0,2.226867676E1,7.005310059E0,5.471343994E1
1.793526003E0,2.178039551E1,5.952453613E0,5.471343994E1
1.843483279E0,2.088012695E1,6.219482422E0,5.382385254E1
1.943703005E0,2.057800293E1,6.210327148E0,5.337829590E1
2.043464968E0,2.001190186E1,2.928161621E0,5.500946045E1
2.093422244E0,1.974029541E1,3.808593750E0,5.337524414E1
2.193397830E0,1.909790039E1,2.749633789E0,5.337524414E1
2.293617556E0,1.355438232E1,5.094909668E0,5.101623535E1
2.343361208E0,1.610107422E1,4.139709473E0,5.294036865E1
2.443336794E0,1.636047363E1,7.409667969E0,5.235137939E1
2.543312380E0,1.710052490E1,6.689453125E0,5.130920410E1
2.593330691E0,1.515045166E1,7.521057129E0,5.176086426E1
2.693275759E0,1.576232910E1,7.536315918E0,5.042266846E1
2.793251345E0,1.655273438E1,8.604431152E0,5.220642090E1
2.843239138E0,1.625671387E1,8.891296387E0,5.175933838E1
2.943275759E0,1.458129883E1,8.688354492E0,5.131835938E1
3.043190310E0,1.518249512E1,8.563232422E0,5.250701904E1
3.093208621E0,1.667633057E1,7.717895508E0,5.205535889E1
3.193184206E0,1.735229492E1,5.371093750E0,5.516815186E1
3.293129275E0,1.822204590E1,3.907775879E0,5.323181152E1
3.343422244E0,1.832275391E1,2.430725098E0,5.516052246E1
3.443092654E0,1.664276123E1,6.677246094E0,5.205383301E1
3.543108940E0,1.501007080E1,7.963562012E0,5.205993652E1
3.593066216E0,1.516876221E1,8.116149902E0,5.220794678E1
3.693377495E0,1.135406494E1,7.852172852E0,5.385131836E1
3.793078423E0,1.503448486E1,8.705139160E0,5.206146240E1
3.843005181E0,1.339874268E1,9.840393066E0,5.221557617E1
3.942980766E0,1.309509277E1,9.832763672E0,5.251312256E1
4.043261528E0,1.439666748E1,1.239318848E1,5.087890625E1
4.092944145E0,1.508789062E1,1.034088135E1,5.161743164E1
4.192919731E0,1.372375488E1,1.044464111E1,5.147094727E1
4.292895317E0,1.622772217E1,7.849121094E0,4.997406006E1
4.342883110E0,1.773834229E1,7.447814941E0,4.937591553E1
4.442889214E0,1.731567383E1,8.625793457E0,5.071716309E1
4.542834282E0,1.775360107E1,8.047485352E0,5.086364746E1
4.592822075E0,1.667938232E1,7.716369629E0,5.086517334E1
4.692797661E0,1.748046875E1,4.479980469E0,5.368194580E1
4.792803764E0,1.767425537E1,5.671691895E0,5.204925537E1
4.842791557E0,1.755218506E1,6.556701660E0,5.145416260E1
4.942767143E0,1.841888428E1,5.097961426E0,5.085601807E1
5.042712212E0,1.816711426E1,6.721496582E0,5.056457520E1
5.093096733E0,1.739807129E1,6.401062012E0,5.011749268E1
5.192675591E0,1.783752441E1,5.819702148E0,4.967041016E1
5.292681694E0,1.856689453E1,4.953002930E0,5.070800781E1
5.342638970E0,1.819610596E1,2.862548828E0,4.996032715E1
5.442980766E0,1.932830811E1,4.975891113E0,5.040893555E1
5.542620659E0,1.757965088E1,7.296752930E0,5.041656494E1
5.592577934E0,1.605987549E1,7.398986816E0,5.131072998E1
5.692553520E0,1.556243896E1,6.047058105E0,5.056915283E1
5.792925835E0,1.645660400E1,5.480957031E0,5.041656494E1
5.842547417E0,1.672668457E1,4.450988770E0,5.071105957E1
5.942492485E0,1.826171875E1,4.943847656E0,5.100555420E1
6.042468071E0,1.635437012E1,6.961059570E0,4.937896729E1
6.092455864E0,1.771392822E1,6.706237793E0,4.937591553E1
6.192431450E0,1.627960205E1,4.733276367E0,5.056457520E1
6.292407036E0,1.655120850E1,3.703308105E0,5.056152344E1
6.342394829E0,1.638031006E1,3.106689453E0,5.100708008E1
6.442370415E0,1.859588623E1,5.845642090E0,5.100555420E1
6.542346001E0,1.820983887E1,8.059692383E0,5.056610107E1
6.592364311E0,1.665954590E1,6.971740723E0,4.982299805E1
6.692309380E0,1.604919434E1,6.953430176E0,5.012207031E1
6.792284966E0,1.771392822E1,6.707763672E0,4.982147217E1
6.842608452E0,1.816864014E1,6.721496582E0,5.011749268E1
6.942339897E0,1.922149658E1,6.460571289E0,5.159912109E1
7.042254448E0,1.747283936E1,8.779907227E0,5.086517334E1
7.092211723E0,1.671447754E1,8.753967285E0,5.012359619E1
7.192492485E0,1.627502441E1,4.737854004E0,5.264434814E1
7.292254448E0,1.608581543E1,3.544616699E0,5.219726562E1
7.342150688E0,1.652221680E1,2.964782715E0,5.263977051E1
7.442126274E0,1.718292236E1,4.464721680E0,5.100555420E1
7.542437554E0,1.811981201E1,5.387878418E0,5.234375000E1
7.592089653E0,1.811981201E1,5.387878418E0,5.234375000E1
7.692095757E0,1.837158203E1,3.762817383E0,5.233917236E1
7.792040825E0,1.958465576E1,3.654479980E0,5.248565674E1
7.842059136E0,1.716918945E1,4.170227051E0,5.219573975E1
7.942004204E0,2.038574219E1,5.014038086E0,5.322875977E1
8.041979790E0,2.049865723E1,3.833007812E0,5.411834717E1
8.091998100E0,2.034606934E1,3.979492188E0,5.530700684E1
8.191943169E0,1.871795654E1,5.111694336E0,5.308532715E1
8.291918755E0,1.891632080E1,1.853942871E0,5.367279053E1
8.342028618E0,1.935424805E1,1.121520996E0,5.203704834E1
8.441912651E0,2.182922363E1,2.536010742E0,5.262756348E1
8.541857720E0,1.938476562E1,2.012634277E0,5.159149170E1
8.592181206E0,2.229461670E1,2.845764160E0,5.232849121E1
8.692004204E0,2.043151855E1,1.754760742E0,5.456085205E1
8.791857720E0,2.009887695E1,7.019042969E-1,5.262756348E1
8.841814995E0,2.025756836E1,1.004028320E0,5.322113037E1
8.942095757E0,2.149200439E1,1.486206055E0,5.232849121E1
9.041949272E0,2.240295410E1,1.666259766E0,5.470428467E1
9.091723442E0,2.081146240E1,4.138183594E0,5.411834717E1
9.191699028E0,2.049102783E1,3.535461426E0,5.382080078E1
9.291674614E0,1.831054688E1,1.983642578E0,5.456542969E1
9.341692925E0,2.058868408E1,1.905822754E0,5.396728516E1
9.441637993E0,2.136230469E1,2.377319336E0,5.470733643E1
9.541644097E0,2.111358643E1,3.999328613E0,5.396881104E1
9.591601372E0,2.046203613E1,7.391357422E0,5.293426514E1
9.691576958E0,1.980133057E1,5.740356445E0,5.337829590E1
9.791552544E0,2.027893066E1,6.497192383E0,5.412292480E1
9.841631889E0,2.066345215E1,4.284667969E0,5.426788330E1
9.941546440E0,1.923522949E1,7.058715820E0,5.382995605E1
1.004149151E1,1.944732666E1,4.396057129E0,5.575714111E1
1.009172344E1,1.750793457E1,5.523681641E0,5.561523438E1
1.019151592E1,1.835174561E1,3.472900391E0,5.650024414E1
1.029143047E1,1.801605225E1,2.423095703E0,5.620269775E1
1.034141827E1,1.754913330E1,1.960754395E0,5.486450195E1
1.044163799E1,2.047271729E1,3.092956543E0,5.515594482E1
1.054136944E1,2.190093994E1,4.914855957E0,5.411682129E1
1.059135723E1,2.054138184E1,5.169677734E0,5.412139893E1
1.069133282E1,1.831207275E1,6.881713867E0,5.502166748E1
1.079155254E1,1.868133545E1,4.074096680E0,5.457000732E1
1.084129620E1,1.765747070E1,5.378723145E0,5.487060547E1
1.094127178E1,2.045745850E1,7.394409180E0,5.501556396E1
1.104124737E1,2.026519775E1,6.204223633E0,5.575714111E1
1.109123516E1,1.876525879E1,6.750488281E0,5.516815186E1
1.119121075E1,2.008666992E1,5.307006836E0,5.531158447E1
1.129118633E1,2.038574219E1,5.014038086E0,5.322875977E1
1.134117413E1,2.053375244E1,4.872131348E0,5.382232666E1
1.144114971E1,2.224273682E1,5.963134766E0,5.248413086E1
1.154115582E1,2.162322998E1,5.497741699E0,5.159149170E1
1.159111309E1,2.162170410E1,5.497741699E0,5.203857422E1
1.169108868E1,2.160491943E1,4.902648926E0,5.158996582E1
1.179106426E1,2.040557861E1,5.609130859E0,5.248718262E1
1.184135723E1,2.065582275E1,3.985595703E0,5.367279053E1
1.194102764E1,2.074584961E1,6.657409668E0,5.174407959E1
1.204100323E1,2.256774902E1,6.716918945E0,5.367279053E1
1.209102154E1,2.147979736E1,5.941772461E0,5.397186279E1
1.219127178E1,2.052154541E1,4.425048828E0,5.263366699E1
1.229097271E1,1.975097656E1,4.103088379E0,5.263519287E1
1.234092998E1,2.053680420E1,4.870605469E0,5.263366699E1
1.244093609E1,2.265319824E1,4.490661621E0,5.203399658E1
1.254121685E1,2.282867432E1,5.085754395E0,5.039978027E1
1.259086895E1,2.357482910E1,4.664611816E0,5.099029541E1
1.269084454E1,2.119598389E1,6.372070312E0,5.144500732E1
1.279082012E1,2.131195068E1,5.187988281E0,5.010681152E1
1.284080792E1,2.158508301E1,4.156494141E0,4.980621338E1
1.294078350E1,2.215118408E1,2.987670898E0,5.099029541E1
1.304075909E1,2.152709961E1,2.525329590E0,5.203399658E1
1.309074688E1,1.954956055E1,2.612304688E0,5.322570801E1
1.319072247E1,1.996917725E1,1.289367676E0,5.143890381E1
1.329069805E1,2.092590332E1,-2.096557617E0,5.098571777E1
1.334068585E1,2.043304443E1,-3.147888184E0,5.172729492E1
1.344066143E1,2.206115723E1,-4.585266113E0,5.053405762E1
1.354067340E1,2.251739502E1,-4.721069336E0,4.889678955E1
1.359102740E1,2.183074951E1,-7.118225098E0,4.963684082E1
1.369060626E1,2.041168213E1,-8.642578125E0,5.082550049E1
1.379058184E1,2.017059326E1,-1.147155762E1,4.992980957E1
1.384060015E1,1.918945312E1,-1.373138428E1,4.903869629E1
1.394091143E1,1.881866455E1,-1.581726074E1,4.977722168E1
1.404055133E1,1.705169678E1,-1.869354248E1,4.992370605E1
1.409050860E1,1.599884033E1,-1.843109131E1,4.918518066E1
1.419048419E1,1.313934326E1,-1.732940674E1,5.127563477E1
1.429085650E1,1.250762939E1,-2.268829346E1,5.305175781E1
1.434047808E1,1.006164551E1,-2.306060791E1,5.379943848E1
1.444042315E1,8.015441895E0,-2.565612793E1,4.919433594E1
1.454039874E1,7.087707520E0,-2.582702637E1,5.261230469E1
1.459038653E1,5.445861816E0,-2.514343262E1,4.920043945E1
1.469036212E1,7.875061035E0,-2.966003418E1,5.394287109E1
1.479033770E1,7.858276367E0,-3.010406494E1,5.468444824E1
1.484032550E1,6.906127930E0,-3.132019043E1,5.483093262E1
1.494030108E1,5.296325684E0,-2.944488525E1,5.290679932E1
1.504027667E1,6.552124023E0,-2.806549072E1,5.528564453E1
1.509029498E1,5.194091797E0,-2.796173096E1,5.335540771E1
1.519024005E1,2.474975586E0,-2.730560303E1,5.410919189E1
1.529021563E1,2.688598633E0,-3.011779785E1,5.454864502E1
1.534050860E1,-2.090454102E-1,-3.050689697E1,5.306854248E1
1.544024005E1,2.369689941E0,-3.072357178E1,5.306243896E1
1.554018512E1,8.636474609E-1,-3.017578125E1,5.410766602E1
1.559014239E1,9.201049805E-1,-2.839050293E1,5.455627441E1
1.569045367E1,1.271057129E0,-3.179779053E1,5.306396484E1
1.579015460E1,1.869201660E0,-3.207397461E1,5.335845947E1
1.584011187E1,9.918212891E-1,-3.091430664E1,5.395812988E1
1.594005694E1,-1.998901367E-1,-3.021087646E1,5.307006836E1
1.604033770E1,-2.270507812E0,-2.819213867E1,5.575408936E1
1.609002032E1,-2.172851562E0,-2.997131348E1,5.470886230E1
1.618999591E1,-4.534912109E0,-2.781829834E1,5.471954346E1
1.628997149E1,-3.665161133E0,-2.927856445E1,5.337677002E1
1.633995929E1,-6.384277344E0,-2.877197266E1,5.249481201E1
1.643993487E1,-5.412292480E0,-2.665863037E1,5.546875000E1
1.653991046E1,-5.091857910E0,-2.620544434E1,5.457458496E1
1.658989825E1,-5.418395996E0,-2.695770264E1,5.457611084E1
1.668987384E1,-2.685546875E0,-2.702026367E1,5.471496582E1
1.678984942E1,-2.601623535E0,-2.924499512E1,5.382080078E1
1.683998980E1,-8.850097656E-2,-3.093872070E1,5.960693359E1
1.693984332E1,-3.300476074E0,-2.718505859E1,5.516204834E1
1.703978839E1,-4.051208496E0,-2.691345215E1,5.546569824E1
1.709008136E1,-5.534362793E0,-2.577056885E1,5.532073975E1
1.718987384E1,-7.322692871E0,-2.479248047E1,5.324554443E1
1.728972735E1,-6.170654297E0,-2.668457031E1,5.457763672E1
1.733971514E1,-6.713867188E0,-2.462463379E1,5.413665771E1
1.743999591E1,-5.041503906E0,-2.457122803E1,5.487365723E1
1.753981890E1,-5.056762695E0,-2.041473389E1,5.428924561E1
1.758965411E1,-4.345703125E0,-2.202911377E1,5.324249268E1
1.768966021E1,-4.698181152E0,-2.337188721E1,5.472869873E1
1.778994097E1,-2.838134766E0,-2.242584229E1,5.309143066E1
1.783962359E1,-3.479003906E0,-2.348632812E1,5.264434814E1
1.793956866E1,-2.360534668E0,-2.181854248E1,5.264434814E1
1.803957476E1,-4.052734375E0,-2.231597900E1,5.294494629E1
1.808953204E1,-7.508850098E0,-2.108764648E1,5.325317383E1
1.818950762E1,-6.072998047E0,-1.911621094E1,5.221252441E1
1.828948321E1,-4.096984863E0,-2.365112305E1,5.398406982E1
1.833950152E1,-3.691101074E0,-2.542419434E1,5.219573975E1
1.843944659E1,-2.900695801E0,-2.451019287E1,5.130310059E1
1.853942218E1,-2.984619141E0,-2.228393555E1,5.175323486E1
1.858962359E1,-3.347778320E0,-2.407379150E1,5.368499756E1
1.868938555E1,-1.210021973E0,-2.401275635E1,5.100250244E1
1.878936114E1,6.729125977E-1,-2.677154541E1,5.233154297E1
1.883934893E1,-7.781982422E-1,-2.473907471E1,5.085144043E1
1.893953814E1,-1.788330078E0,-2.283630371E1,5.382995605E1
1.903930011E1,-2.182006836E0,-2.092132568E1,5.294189453E1
1.908934893E1,-3.080749512E0,-2.050323486E1,5.309448242E1
1.918926348E1,-6.600952148E0,-2.120666504E1,5.339813232E1
1.928945269E1,-2.804565430E0,-2.153778076E1,5.160675049E1
1.933922686E1,-3.901672363E0,-2.245941162E1,5.264892578E1
1.943920245E1,-3.538513184E0,-2.067108154E1,5.146026611E1
1.953920855E1,-3.532409668E0,-2.037048340E1,5.294647217E1
1.958916583E1,-2.951049805E0,-2.124328613E1,5.175476074E1
1.968914141E1,-1.319885254E0,-2.237701416E1,5.412750244E1
1.978911700E1,-2.366638184E0,-2.212066650E1,5.056457520E1
1.983913531E1,-2.900695801E0,-2.451019287E1,5.130310059E1
1.993908038E1,-1.954650879E0,-2.328796387E1,5.293731689E1
2.003905596E1,-2.076721191E0,-2.240295410E1,5.264434814E1
2.008907428E1,-3.549194336E0,-2.096557617E1,5.175628662E1
2.018901934E1,-2.819824219E0,-2.183074951E1,5.383453369E1
2.028899493E1,-7.461547852E-1,-2.369995117E1,5.129852295E1
2.033922686E1,-1.663208008E-1,-2.457275391E1,5.144348145E1
2.043895831E1,-2.746582031E-1,-2.308807373E1,5.308380127E1
2.053893389E1,5.706787109E-1,-2.038879395E1,5.338134766E1
2.058892169E1,1.586914062E-1,-1.907043457E1,5.234527588E1
2.068917193E1,7.019042969E-1,-2.112731934E1,5.249023438E1
2.078890338E1,3.668212891E0,-2.325897217E1,5.455780029E1
2.083886065E1,1.840209961E0,-2.331695557E1,5.485839844E1
2.093883624E1,8.621215820E-1,-2.067413330E1,5.457000732E1
2.103911700E1,-1.602172852E-1,-1.937103271E1,5.457611084E1
2.108879962E1,-1.655578613E0,-1.867675781E1,5.383758545E1
2.118877520E1,-2.967834473E0,-2.168884277E1,5.323944092E1
2.128875079E1,-2.526855469E0,-2.227020264E1,5.175170898E1
2.133873858E1,-3.141784668E0,-2.243499756E1,5.264587402E1
2.143871417E1,-2.044677734E-1,-2.100982666E1,5.160064697E1
2.153872027E1,-1.686096191E0,-1.972045898E1,5.234985352E1
2.158867755E1,-1.083374023E0,-1.984863281E1,5.294036865E1
2.168865313E1,-2.360534668E0,-2.181854248E1,5.264434814E1
2.178862872E1,-4.104614258E-1,-2.264709473E1,5.249023438E1
2.183867755E1,-1.150512695E0,-2.192993164E1,5.293731689E1
2.193859210E1,-1.136779785E0,-2.163391113E1,5.219573975E1
2.203856768E1,-3.079223633E0,-2.050476074E1,5.235137939E1
2.208889117E1,-2.204895020E0,-2.166595459E1,5.294036865E1
2.218859210E1,-3.869628906E0,-2.157135010E1,5.160980225E1
2.228850665E1,-3.309631348E0,-2.303619385E1,5.175323486E1
2.233849444E1,-1.315307617E0,-2.238006592E1,5.234375000E1
2.243883624E1,-2.488708496E0,-2.092895508E1,5.368652344E1
2.253850665E1,-3.060913086E0,-1.976013184E1,5.413665771E1
2.258843341E1,-8.377075195E-1,-2.162170410E1,5.368194580E1
2.268840899E1,-8.377075195E-1,-2.162170410E1,5.368194580E1
2.278875079E1,1.722717285E0,-2.258453369E1,5.144195557E1
2.283837237E1,-7.461547852E-1,-2.369995117E1,5.129852295E1
2.293834796E1,8.377075195E-1,-2.171936035E1,5.159606934E1
