"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.408371500E-2,-4.689941406E-1,5.623168945E-1,1.078684998E1
1.140837150E-1,-7.010955811E-1,1.136596680E0,1.057627869E1
1.640837150E-1,-4.546356201E-1,4.953155518E-1,1.018385315E1
2.140837150E-1,-5.144500732E-1,3.732757568E-1,1.005943298E1
2.640837150E-1,-9.786682129E-1,3.900299072E-1,9.085556030E0
3.140837150E-1,-1.533798218E0,5.216369629E-1,9.623931885E0
3.640837150E-1,-1.024124146E0,7.561340332E-1,9.638290405E0
4.140837150E-1,-1.050445557E0,1.045669556E0,9.975677490E0
4.640837150E-1,-1.107879639E0,3.828582764E-1,9.186050415E0
5.140837150E-1,-9.667053223E-1,1.380661011E0,1.018385315E1
5.640837150E-1,-5.838470459E-1,1.675415039E-2,1.049971008E1
6.140837150E-1,-3.972015381E-1,4.211425781E-1,1.096630859E1
6.640837150E-1,-8.518524170E-1,5.670928955E-1,1.081794739E1
7.140837150E-1,-7.537384033E-1,7.441711426E-1,9.846466064E0
7.640837150E-1,-8.757781982E-1,1.174880981E0,1.016709900E1
8.140837150E-1,-8.470611572E-1,1.071990967E0,9.439682007E0
8.640837150E-1,-9.547424316E-1,1.445266724E0,9.681365967E0
9.140837150E-1,-7.968139648E-1,1.832901001E0,9.777069092E0
9.640837150E-1,-5.623168945E-1,1.529006958E0,1.035134888E1
1.014083715E0,-5.479583740E-1,1.536193848E0,1.099980164E1
1.064083715E0,1.076812744E-1,1.521835327E0,1.072462463E1
1.114083715E0,1.004943848E-1,9.714813232E-1,1.163868713E1
1.164083715E0,5.264282227E-2,-1.220336914E0,1.122473145E1
1.214083715E0,6.006011963E-1,-1.249053955E0,1.208615112E1
1.264083715E0,-2.799530029E-1,-4.331054688E-1,1.152383423E1
1.314083715E0,-5.407714844E-1,-1.483612061E-1,1.038723755E1
1.364083715E0,2.895355225E-1,4.019927979E-1,7.874786377E0
1.414083715E0,1.555328369E-1,1.256225586E0,7.635498047E0
1.464083715E0,-6.006011963E-1,1.057632446E0,7.369888306E0
1.514083715E0,-8.877410889E-1,1.280166626E0,8.595016479E0
1.564083715E0,5.264282227E-1,1.861618042E0,1.002832031E1
1.614083715E0,7.171630859E-3,1.706085205E0,1.156929016E1
1.664083715E0,2.033843994E-1,1.378265381E0,1.313180542E1
1.714083715E0,-7.992095947E-1,2.423934937E0,1.025085449E1
1.764083715E0,2.033843994E-1,3.349914551E-1,1.343809509E1
1.814083715E0,-5.886383057E-1,-7.992095947E-1,1.043750000E1
1.864083715E0,-8.398742676E-1,5.718841553E-1,8.116455078E0
1.914083715E0,-4.689941406E-1,8.422698975E-1,8.310272217E0
1.964083715E0,-8.973083496E-1,1.196411133E0,6.771682739E0
