"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.367967941E0,-3.779744860E1,1.449633039E2,4.671654908E1,0.000000000E0,0.000000000E0,2.690800095E1,1.000000000E0
1.655036197E0,-3.779741273E1,1.449629149E2,3.984054480E1,6.999999881E-1,6.150000000E1,1.715200043E1,2.400000000E1
2.672671197E0,-3.779741497E1,1.449629130E2,3.760111433E1,4.799999893E-1,4.840000153E1,1.500800037E1,2.400000000E1
3.682835103E0,-3.779741374E1,1.449629148E2,3.272775536E1,9.300000072E-1,6.780000305E1,1.179199982E1,1.600000000E1
4.666570050E0,-3.779741170E1,1.449629214E2,3.399110446E1,6.899999976E-1,5.690000153E1,1.179199982E1,1.600000000E1
5.675234633E0,-3.779740710E1,1.449629329E2,3.493345334E1,9.200000167E-1,5.709999847E1,1.179199982E1,1.600000000E1
6.663887966E0,-3.779740189E1,1.449629604E2,4.048386712E1,1.250000000E0,5.629999924E1,1.286400032E1,1.600000000E1
7.658970622E0,-3.779738841E1,1.449629938E2,5.066730066E1,1.340000033E0,3.620000076E1,1.072000027E1,1.600000000E1
8.663157966E0,-3.779737159E1,1.449630253E2,5.966109001E1,1.379999995E0,1.799999952E0,8.576000214E0,1.200000000E1
9.658472236E0,-3.779735589E1,1.449630444E2,5.853844847E1,1.039999962E0,3.393999939E2,9.648000717E0,1.600000000E1
1.067093593E1,-3.779734460E1,1.449630617E2,5.916765553E1,6.499999762E-1,3.423999939E2,1.072000027E1,1.600000000E1
1.168694322E1,-3.779733548E1,1.449630774E2,6.055614952E1,6.200000048E-1,1.000000015E-1,1.179199982E1,1.600000000E1
1.266492614E1,-3.779731981E1,1.449630888E2,5.956657735E1,1.269999981E0,0.000000000E0,1.179199982E1,1.600000000E1
1.367301104E1,-3.779730604E1,1.449630963E2,6.205565561E1,6.800000072E-1,3.433999939E2,1.179199982E1,1.600000000E1
1.466981911E1,-3.779728862E1,1.449631025E2,6.204679904E1,1.379999995E0,3.480000000E2,1.072000027E1,1.200000000E1
1.567052286E1,-3.779726633E1,1.449631144E2,6.556385727E1,1.370000005E0,3.567999878E2,8.576000214E0,1.200000000E1
1.667314968E1,-3.779725021E1,1.449631282E2,6.515460186E1,6.499999762E-1,1.110000038E1,8.576000214E0,1.200000000E1
1.768337781E1,-3.779724210E1,1.449631377E2,6.550789207E1,5.600000024E-1,7.199999809E0,6.432000160E0,8.000000000E0
1.867153333E1,-3.779723845E1,1.449631396E2,6.668439072E1,6.899999976E-1,2.130000000E2,5.360000134E0,8.000000000E0
1.967668874E1,-3.779723987E1,1.449631389E2,6.767475301E1,4.799999893E-1,2.063999939E2,5.360000134E0,8.000000000E0
2.067539452E1,-3.779724375E1,1.449631386E2,6.635341617E1,7.099999785E-1,1.873999939E2,5.360000134E0,6.000000000E0
2.166561489E1,-3.779725465E1,1.449631402E2,6.544677199E1,1.490000010E0,1.723000031E2,5.360000134E0,6.000000000E0
2.266085536E1,-3.779727081E1,1.449631451E2,6.373502498E1,1.639999986E0,1.606000061E2,6.432000160E0,6.000000000E0
2.366820332E1,-3.779728162E1,1.449631442E2,6.474488869E1,1.059999943E0,1.716999969E2,5.360000134E0,6.000000000E0
2.467751405E1,-3.779729010E1,1.449631431E2,6.468351696E1,6.000000238E-1,1.756999969E2,5.360000134E0,6.000000000E0
2.565826489E1,-3.779729433E1,1.449631378E2,6.491284858E1,0.000000000E0,0.000000000E0,5.360000134E0,6.000000000E0
