"event","experiment time","system time","system time text"
"START",0.000000000E0,1682818089.741,"2023-04-30 11:28:09.741 UTC+10:00"
"PAUSE",9.186711101E1,1682818181.608,"2023-04-30 11:29:41.608 UTC+10:00"
