"event","experiment time","system time","system time text"
"START",0.000000000E0,1682830921.610,"2023-04-30 15:02:01.610 UTC+10:00"
"PAUSE",1.613424517E2,1682831082.952,"2023-04-30 15:04:42.952 UTC+10:00"
