x,y,z,intensity
-18.017555,-10.465678,1.6858848,44.0
-17.754158,-10.462161,1.6658249,49.0
-17.25323,-10.220427,0.2300787,97.0
-17.621418,-10.533571,1.659022,140.0
-17.303442,-10.397752,0.23253699,109.0
-17.65584,-10.371105,0.95304483,121.0
-17.680882,-10.720648,1.6719301,39.0
-17.34008,-10.268896,-0.43692544,99.0
-17.531256,-10.409251,0.9483624,148.0
-17.294928,-10.352552,-0.4369848,106.0
-17.52706,-10.556354,0.95219344,53.0
-17.773926,-10.448787,1.5614951,49.0
-17.329515,-10.256876,0.11843573,154.0
-17.610287,-10.50216,1.5521283,154.0
-17.32306,-10.400498,0.11930111,85.0
-17.658289,-10.681609,1.5631385,51.0
-17.251451,-10.174493,-0.55362886,161.0
-17.419115,-10.305475,0.8268,145.0
-17.304708,-10.315982,-0.5560778,82.0
-17.492851,-10.497847,0.8345138,71.0
-17.313171,-10.468923,-0.55786264,100.0
-17.798784,-10.47201,1.4486667,1.0
-17.358845,-10.264501,0.043154106,1.0
-17.616266,-10.514025,1.4382465,148.0
-17.29401,-10.373366,0.043154106,53.0
-17.650444,-10.685534,1.4472876,43.0
-17.36425,-10.231371,-0.6367933,1.0
-17.339478,-10.5495,0.044320878,32.0
-17.590727,-10.412951,0.74146414,1.0
-17.27979,-10.291563,-0.6357539,1.0
-17.456472,-10.482057,0.7380256,70.0
-17.262674,-10.428928,-0.63713974,17.0
-17.824804,-10.449213,1.3212024,99.0
-17.3213,-10.228257,-0.09168338,148.0
-17.602667,-10.468361,1.3083793,163.0
-17.285877,-10.35433,-0.09160535,125.0
-17.582695,-10.606532,1.312184,75.0
-17.419737,-10.247651,-0.7688519,45.0
-17.307703,-10.515611,-0.09137128,48.0
-17.398434,-10.271024,0.60163,170.0
-17.362658,-10.324526,-0.76853985,99.0
-17.41248,-10.427294,0.60499537,124.0
-17.282028,-10.424137,-0.7679782,89.0
-17.650791,-10.338878,1.1972835,149.0
-17.338339,-10.175214,-0.20469232,160.0
-17.619776,-10.47,1.1998893,127.0
-17.332458,-10.318796,-0.20491841,130.0
-17.575851,-10.593916,1.201583,73.0
-17.352144,-10.441675,-0.20518441,94.0
-17.400803,-10.251824,0.50369257,156.0
-17.399494,-10.398961,0.50604224,83.0
-17.271938,-10.106839,-0.29718015,93.0
-17.603846,-10.437434,1.0811858,49.0
-17.271765,-10.25287,-0.2977693,130.0
-17.898914,-10.356588,1.7841771,72.0
-17.508816,-10.530373,1.0791638,183.0
-17.309055,-10.385509,-0.29856548,69.0
-17.719196,-10.364533,1.7701058,149.0
-17.36508,-10.223757,0.36568105,161.0
-17.662292,-10.480734,1.7710315,68.0
-17.374355,-10.376671,0.3678295,124.0
-17.556826,-10.567921,1.7667731,110.0
-17.384104,-10.531138,0.3700279,50.0
