x,y,z,intensity
6.949189,5.2047377,1.9371918,35.0
6.915269,5.230346,1.9345344,85.0
6.8637257,5.2594137,1.9292198,64.0
6.8674517,5.331226,1.9398491,68.0
6.955834,5.223753,2.4362733,66.0
6.8720756,5.4045005,1.9509214,28.0
6.901478,5.250995,2.428622,112.0
6.99281,5.302883,1.4952925,1.0
6.871391,5.296611,2.429715,89.0
6.9609127,5.3479195,1.4956359,33.0
6.859994,5.3395996,2.4346337,60.0
6.986762,5.2125154,0.62480074,1.0
6.8491993,5.1329894,0.01917905,97.0
6.9476833,5.204472,1.8866844,148.0
6.8666105,5.1900306,0.61520684,156.0
6.94876,5.2766037,0.0222244,34.0
6.921079,5.2527304,1.888413,63.0
6.9813147,5.193559,0.32560152,1.0
7.002159,5.2469563,-0.2677088,1.0
6.875532,5.2866197,1.8849559,62.0
7.017928,5.270301,0.932281,1.0
6.9628735,5.2481737,0.32655928,1.0
6.954744,5.279932,-0.26744172,32.0
6.852983,5.33809,1.8879808,71.0
6.942485,5.264808,0.9245275,164.0
6.9649954,5.2389235,2.3715653,36.0
7.090933,5.331671,1.4655532,1.0
6.9257965,5.2779226,2.369436,54.0
7.019579,5.347525,1.4575534,97.0
7.032732,5.226808,-0.02633694,39.0
6.9062567,5.3319054,2.3742268,52.0
6.972738,5.219868,0.57978296,41.0
6.970946,5.2493057,-0.026795082,42.0
6.8969603,5.3941393,2.3827434,37.0
6.9557123,5.275584,0.58142626,44.0
7.021774,5.20196,-0.31927642,31.0
6.989954,5.224315,0.87703353,1.0
6.9461203,5.1791754,0.27502882,45.0
6.8271513,5.1251154,-0.31508413,49.0
6.9506445,5.2633486,0.8761085,73.0
6.948572,5.2491264,0.2771239,63.0
6.9643297,5.2077613,1.8256239,73.0
6.9127975,5.2372,1.8206043,96.0
6.9866824,5.2045355,0.53122896,1.0
6.9892473,5.2293563,-0.05950379,1.0
6.8751087,5.2769475,1.8193494,69.0
6.9162955,5.192309,1.1236699,1.0
6.9665546,5.2579713,0.5324549,1.0
6.9721622,5.285286,-0.059324287,21.0
6.8618517,5.3356943,1.8247873,82.0
6.9432836,5.2813296,1.1346521,74.0
6.968835,5.22498,2.2993486,53.0
6.97873,5.2047706,-0.35339457,1.0
6.8201513,5.1506433,1.3492361,44.0
6.9932394,5.2298517,0.8434039,1.0
7.020555,5.2767534,0.23986442,1.0
6.909763,5.2487364,2.290548,35.0
6.966591,5.2642345,-0.35403797,43.0
6.8925185,5.274024,1.3706446,131.0
6.9985976,5.2855763,0.8476508,1.0
6.8910723,5.285957,2.2926188,66.0
6.886654,5.3517404,2.3024547,61.0
7.0088587,5.1976852,-0.11782156,30.0
6.9933324,5.2214212,0.47825643,136.0
6.8879666,5.1757483,-0.118073985,1.0
6.884329,5.18102,1.075412,96.0
6.9715443,5.2736573,0.47924283,94.0
6.9257045,5.212471,1.7415448,1.0
6.9399905,5.2912083,1.0910462,55.0
6.987573,5.1992254,0.18087947,77.0
6.9815435,5.2280107,-0.4102011,143.0
6.9224725,5.278386,1.7491713,1.0
7.044107,5.28344,0.7913666,1.0
6.9355826,5.228634,0.18000154,131.0
6.8922777,5.3241653,1.749974,1.0
6.9476604,5.2627006,0.78191376,80.0
6.9277554,5.1739845,1.286563,1.0
6.8934226,5.37701,1.7567977,1.0
6.9695396,5.218013,2.2177746,139.0
6.923539,5.238817,1.2919979,19.0
6.936617,5.2617006,2.2177746,88.0
6.9302335,5.1522827,-0.16656043,47.0
6.996837,5.234485,1.0433307,49.0
6.8818874,5.288713,2.2107618,81.0
7.0237107,5.2795906,0.43548444,1.0
6.9662943,5.247629,-0.1668464,63.0
6.886552,5.219501,1.0301893,142.0
6.891379,5.365053,2.2247875,79.0
6.953946,5.295722,0.4324878,30.0
6.992833,5.2139616,0.7396472,1.0
6.970522,5.216033,0.13866378,49.0
7.0205526,5.286479,0.74625856,1.0
6.971337,5.268165,0.13967988,48.0
6.996674,5.33775,0.74746066,18.0
7.005888,5.215864,0.38227323,103.0
6.903207,5.237771,1.6582533,1.0
6.908885,5.1515527,-0.2064656,154.0
6.9122562,5.18914,0.96939313,131.0
6.941045,5.235809,0.37989438,150.0
6.939623,5.277962,0.9790598,45.0
6.9964347,5.192559,0.07983973,45.0
6.933121,5.1842895,0.66643625,1.0
6.9304123,5.209806,2.1231446,145.0
6.869224,5.1657395,0.076891884,98.0
6.962743,5.257578,0.6727313,53.0
6.905785,5.242407,2.1231446,70.0
6.8819237,5.292814,2.1260426,55.0
6.8790956,5.359878,2.1357024,29.0
6.967431,5.239786,1.5883353,1.0
6.9060116,5.2189713,2.5018954,58.0
6.9865837,5.3057556,1.5985813,1.0
6.9073253,5.27119,2.5114574,66.0
7.0103564,5.1990695,2.0425818,1.0
6.867985,5.3098044,2.5092075,31.0
6.949504,5.222041,2.0342474,1.0
6.9382677,5.2820516,2.0407298,1.0
6.874074,5.3018484,2.0314693,1.0
6.8652015,5.3640437,2.0388777,1.0
