x,y,z,intensity
12.025136,-17.579395,1.7263535,31.0
12.050393,-17.533215,0.25249687,1.0
12.008036,-17.32023,1.7068169,24.0
11.5657835,-17.061981,-0.4437511,1.0
12.117971,-17.396484,0.2511393,37.0
12.013393,-17.097824,1.6911179,41.0
11.636467,-16.936268,-0.44280145,49.0
11.979989,-17.45485,2.4449408,26.0
12.0161085,-17.440928,0.9905041,47.0
11.981828,-16.883526,1.6741977,42.0
11.834899,-17.051985,-0.4458878,61.0
11.992928,-17.240799,2.4243457,1.0
11.982836,-16.662436,1.6584986,42.0
11.978673,-17.029594,-0.44683746,35.0
11.983035,-16.99809,2.399389,1.0
11.980368,-16.440395,1.6426251,41.0
12.065676,-16.92633,-0.44633296,133.0
11.984438,-16.775568,2.37734,1.0
12.113159,-16.76919,-0.44484913,55.0
12.130056,-17.668133,0.13490337,1.0
11.977693,-16.545668,2.3540795,1.0
12.197964,-16.304493,1.6443695,42.0
12.049286,-17.420757,1.6080008,1.0
12.103559,-16.536333,-0.4419705,77.0
12.132463,-17.43552,0.1324854,37.0
12.342345,-16.28306,1.6504747,63.0
12.046534,-17.184647,1.5918963,1.0
12.211991,-16.46638,-0.4420892,91.0
12.021218,-17.46747,2.3295012,1.0
12.086674,-17.606575,0.8800344,1.0
12.481994,-16.306925,1.6595452,73.0
12.013506,-16.966532,1.5756276,1.0
12.344669,-16.482224,-0.44345433,75.0
11.765188,-17.01949,-0.5673679,1.0
12.2128525,-16.2712,2.3441453,52.0
12.005889,-17.212244,2.304064,1.0
12.34046,-16.380207,0.9547475,55.0
12.641663,-16.302118,1.6677437,72.0
12.008469,-16.735136,1.5598518,1.0
12.496403,-16.468008,-0.44464138,91.0
12.3617735,-16.255726,2.353595,88.0
12.005009,-16.982254,2.2820954,1.0
12.799296,-16.292816,1.6755931,71.0
11.991636,-16.491573,1.5427614,1.0
12.654544,-16.460457,-0.44597685,71.0
12.111068,-17.05793,-0.5721413,1.0
12.530392,-16.264164,2.3669212,53.0
12.008648,-16.76266,2.2615144,1.0
12.9511,-16.274385,1.6825706,67.0
12.03948,-17.627787,1.5021468,13.0
12.818004,-16.45787,-0.447431,80.0
12.10838,-16.82882,-0.56823957,1.0
12.124994,-17.673037,0.054516662,1.0
12.671472,-16.235155,2.3746748,88.0
11.985532,-16.509909,2.236077,1.0
12.013754,-17.449701,2.9545262,1.0
12.172916,-16.306017,1.5393105,61.0
12.032935,-17.383026,1.4863633,1.0
12.976967,-16.447603,-0.44876644,75.0
12.148,-16.661863,-0.5659151,58.0
12.127183,-17.44062,0.05281138,1.0
12.83487,-16.233023,2.3867896,45.0
12.0063505,-17.206821,2.9247584,1.0
12.330367,-16.302393,1.5468696,79.0
12.053613,-17.181463,1.474564,1.0
12.132607,-16.42265,-0.5617229,132.0
11.696417,-17.105635,-0.6508494,1.0
12.965791,-16.240572,2.3974507,50.0
12.096538,-16.282969,2.2224336,41.0
12.011148,-17.575077,2.2554126,32.0
11.977703,-16.994867,2.897014,1.0
12.461427,-16.315443,1.5542645,81.0
12.066662,-17.565592,0.7788585,1.0
12.009757,-16.948872,1.4580142,27.0
12.318527,-16.511246,-0.5655001,59.0
11.784861,-17.061834,-0.6511959,1.0
12.245137,-16.26859,2.2314522,1.0
11.991014,-17.3115,2.229707,42.0
11.97598,-16.768,2.8698473,1.0
12.62095,-16.310972,1.5619881,73.0
12.000708,-16.712833,1.4428437,58.0
12.467786,-16.49418,-0.56707734,92.0
11.938907,-17.05456,-0.65322506,1.0
12.402453,-16.264053,2.2420895,50.0
11.986341,-17.074886,2.2075782,44.0
11.980016,-16.553043,2.8447037,1.0
12.780907,-16.30514,1.5697117,82.0
12.017366,-16.516254,1.4313508,40.0
12.620956,-16.480656,-0.5687792,80.0
12.560194,-16.258177,2.252727,86.0
11.989557,-16.853586,2.187461,46.0
