x,y,z,intensity
-19.477964,7.960258,1.7038516,12.0
-19.000425,7.626721,1.6541377,1.0
-18.204247,7.1756277,1.5747701,1.0
-17.505905,6.8061,1.506043,1.0
-19.191458,7.6292105,0.9624096,1.0
-17.062279,6.5111146,1.4605156,87.0
-16.690323,6.2498426,1.4219656,146.0
-16.562744,6.083903,1.406441,75.0
-17.912392,6.7342,0.881638,1.0
-16.454374,5.9272194,1.3928351,103.0
-19.066685,7.676266,1.5562365,23.0
-16.814478,6.238722,2.0499969,1.0
-16.451822,5.8098307,1.389172,142.0
-18.186224,7.1882734,1.4739068,14.0
-18.452915,6.7062144,0.9081362,8.0
-16.509138,5.742677,1.391963,72.0
-17.551603,6.8411784,1.4147477,1.0
-16.505276,5.6253834,1.3882998,115.0
-17.138323,6.5557857,1.3744867,57.0
-16.566763,5.530369,1.390742,85.0
-16.858335,6.327145,1.3462218,108.0
-16.589817,5.4224677,1.3896953,104.0
-16.679,6.1402783,1.3269951,97.0
-16.66798,6.2727127,1.9342986,1.0
-18.45189,6.968392,0.8022303,1.0
-16.65773,5.329012,1.3928351,94.0
-16.584196,5.9871516,1.3153276,78.0
-18.926193,7.6121345,1.4293587,1.0
-16.61392,6.1333547,1.9227363,1.0
-18.01593,6.6741505,0.77785105,1.0
-16.72322,5.2343235,1.3958005,86.0
-16.615852,5.8808312,1.3148346,85.0
-18.190645,7.184747,1.3646921,1.0
-16.452297,5.985497,1.899149,1.0
-16.77818,5.164803,1.3985914,92.0
-16.641499,5.8018074,1.3146703,100.0
-17.620167,6.86434,1.3148897,178.0
-16.364267,5.8371425,1.8836554,146.0
-16.844652,5.0695767,1.4017313,88.0
-16.670082,5.6945457,1.3140129,72.0
-17.238098,6.591575,1.2799513,57.0
-16.389374,5.7302613,1.882268,75.0
-18.413914,5.694219,0.88898087,1.0
-16.923973,4.9776387,1.4060922,89.0
-16.720648,5.5947704,1.3153276,86.0
-17.01021,6.3825583,1.257885,67.0
-16.396875,5.6174803,1.8787992,115.0
-17.025791,4.891479,1.4125462,81.0
-16.778193,5.4970746,1.3172996,83.0
-16.842167,6.199331,1.2408756,81.0
-16.443142,5.518151,1.8801867,105.0
-17.01704,6.4735374,1.9089484,54.0
-17.150217,4.8106666,1.4210935,83.0
-16.84086,5.4007096,1.3197645,77.0
-16.858269,6.0852876,1.2390367,67.0
