x,y,z,intensity
-6.539874,6.532964,2.064744,144.0
-6.6183624,6.528643,2.076702,84.0
-6.657852,6.4855723,2.0762591,116.0
-6.7916117,6.7033024,1.6288545,13.0
-6.710586,6.541114,1.5989833,100.0
-6.6889625,6.438835,1.583876,105.0
-6.746459,6.412933,1.5879962,70.0
-6.8182883,6.4000144,1.5955498,66.0
-6.7290654,6.853013,1.0333189,100.0
-6.598,6.512651,0.6732935,175.0
-6.8525743,6.3517027,1.5941765,85.0
-6.657235,6.549537,2.032314,164.0
-6.7248697,6.7846446,1.0270191,191.0
-6.6828656,6.5342984,0.679922,149.0
-6.9333277,6.36587,1.6061937,46.0
-6.699189,6.529021,2.0357711,122.0
-6.7124,6.687728,1.0175695,123.0
-6.7482066,6.5156536,0.6828874,102.0
-6.783605,6.5288725,2.0491674,77.0
-6.701816,6.594017,1.0086045,155.0
-6.708871,6.5186496,1.0027894,158.0
-6.8099914,6.675744,1.5778835,153.0
-6.729599,6.4571686,0.9993973,170.0
-6.582319,6.561552,0.6279319,109.0
-6.706163,6.4912376,1.5435511,84.0
-6.7787023,6.422932,1.000851,121.0
-6.7523513,6.8276334,0.9790138,145.0
-6.6262507,6.5228677,0.62826055,86.0
-6.73259,6.4353166,1.5402179,137.0
-6.7900376,6.3732953,0.99770117,178.0
-6.696214,6.7069793,0.96444523,51.0
-6.674003,6.5083065,0.6302325,82.0
-6.851439,6.4877763,1.560884,61.0
-6.8591275,6.3574343,1.0025471,173.0
-6.680437,6.6073723,0.95496404,89.0
-6.7663426,6.516131,0.6361484,33.0
-6.828817,6.3852,1.5462177,141.0
-6.686366,6.5304885,0.94918287,114.0
-6.577301,6.785284,1.2407175,173.0
-6.922302,6.3917823,1.5585507,67.0
-6.6973014,6.459322,0.94432664,79.0
-6.6684318,6.79315,1.2508328,60.0
-7.013228,6.394776,1.570217,55.0
-6.6626906,6.5616727,1.9657532,155.0
-6.7190924,6.3992624,0.9413204,103.0
-6.708002,6.5237617,1.9670081,97.0
-6.767832,6.365104,0.9427079,103.0
-6.6983967,6.65454,1.2395616,83.0
-6.5631576,6.487821,0.5709177,177.0
-6.7686486,6.5004086,1.9728642,135.0
-6.841268,6.3738613,0.94964534,83.0
-6.6802087,6.5744224,1.2294463,168.0
-6.6707606,6.531992,0.5791926,215.0
-6.7681894,6.7059884,1.508042,187.0
-7.071825,6.726674,2.053177,37.0
-6.719106,6.7210803,0.9301317,133.0
-6.7213845,6.53232,1.2294463,89.0
-6.7404017,6.517611,0.58225733,184.0
-6.776252,6.6302648,1.5003732,192.0
-7.076814,6.6473713,2.0423014,150.0
-6.7229457,6.6411014,0.92409647,117.0
-6.745126,6.4735527,1.2259783,120.0
-6.61827,6.8171697,1.2002068,176.0
-6.6854606,6.4602575,1.4706571,194.0
-7.139991,6.6226807,2.0485759,56.0
-6.7317495,6.56688,0.9189554,108.0
-6.8015,6.445985,1.2291573,91.0
-6.6803675,6.7952647,1.2041153,92.0
-6.7302136,6.422204,1.4716157,198.0
-7.182906,6.5790067,2.048994,37.0
-6.7398877,6.492811,0.9138143,102.0
-6.8548975,6.415265,1.2317584,99.0
-6.809308,6.4162626,1.480243,174.0
-6.7545767,6.4257345,0.9097909,164.0
-6.8863325,6.364028,1.2300243,135.0
-6.68666,6.632511,1.188481,118.0
-6.676072,6.58884,0.5243352,142.0
-6.811832,6.338466,1.4719353,192.0
-6.797827,6.406072,0.9118026,145.0
-6.949886,6.3621683,1.2366714,73.0
-6.674143,6.5578046,1.1798264,119.0
-6.719858,6.5698867,0.5256034,43.0
-6.9129014,6.3717074,1.4875921,173.0
-6.6737213,6.5568237,1.8824332,151.0
-6.8714743,6.394302,0.91694367,104.0
-6.6965685,6.6842866,0.86068726,130.0
-6.7152147,6.5157404,1.1798264,99.0
-6.9996142,6.370571,1.497817,76.0
-6.700754,6.5010886,1.8784193,129.0
-6.700271,6.6042986,0.8550156,110.0
-6.7545943,6.472046,1.1795472,136.0
-6.8995934,6.611016,1.9233751,53.0
-6.7174563,6.5384336,0.8514445,112.0
-6.800868,6.434935,1.180664,92.0
-6.6720715,6.819917,1.1519487,176.0
-6.7387877,6.649412,1.4118651,164.0
-7.0247946,6.6471634,1.9470572,153.0
-6.7355103,6.473995,0.8480835,101.0
-6.8628273,6.4124055,1.1848516,130.0
-6.727371,6.790506,1.1543624,88.0
-6.740869,6.5682216,1.403411,97.0
-7.100712,6.635071,1.9566905,104.0
-6.753021,6.4095893,0.8447225,92.0
-6.87393,6.3422365,1.179268,92.0
-6.720872,6.46666,1.390428,159.0
-7.152321,6.599647,1.9595003,81.0
-6.7889347,6.3831577,0.84556276,138.0
-6.6758504,6.592456,1.1304933,143.0
-6.7612677,6.4444876,1.3925414,148.0
-7.275721,6.6506634,1.9851893,51.0
-6.7426414,6.763776,0.8229909,115.0
-6.7029204,6.5365744,1.1278113,100.0
-6.827487,6.426326,1.3979763,89.0
-6.7198377,6.6569953,0.813775,160.0
-6.7510114,6.5011883,1.1291523,105.0
-6.843161,6.3603654,1.3928434,99.0
-6.74015,6.593815,0.81076986,112.0
-6.793165,6.460005,1.1294205,99.0
-6.679919,6.810965,1.0843759,141.0
-7.006551,6.4311457,1.4185077,123.0
-6.7656713,6.5361605,0.80856603,172.0
-6.845202,6.428024,1.131566,105.0
-6.7337403,6.7801437,1.086411,67.0
-6.630328,6.520525,1.7820828,164.0
-6.787849,6.4757056,0.80596155,130.0
-6.8505063,6.35262,1.1251295,112.0
-6.6765428,6.638179,1.0683495,91.0
-6.6863437,6.513808,1.7889835,152.0
-6.819739,6.4450107,0.8061619,89.0
-6.925704,6.361733,1.1334435,70.0
-6.661209,6.560605,1.0599548,114.0
-6.735644,6.4798145,1.7912837,142.0
-6.575471,6.5827756,0.72660947,34.0
-6.6696606,6.4867396,1.0541039,101.0
-7.0172276,6.6653214,1.8560739,138.0
-6.608223,6.5329123,0.72549856,135.0
-6.7188525,6.4529686,1.0556302,99.0
-7.0589685,6.6210995,1.8560739,154.0
-6.6946406,6.535878,0.7314233,45.0
-6.7822466,6.432518,1.0597004,117.0
-6.7756324,6.5324736,0.7366075,51.0
-6.787851,6.3571563,1.0535951,92.0
-6.8494616,6.3346334,1.0574108,108.0
-6.649732,6.537887,1.7014076,123.0
-6.680825,6.4863677,1.698846,132.0
-6.7540236,6.4756317,1.7072624,58.0
-6.8586965,6.4940395,1.7237293,69.0
-6.867754,6.441424,1.7182403,78.0
-7.0160666,6.4985847,1.745685,40.0
