x,y,z,intensity
-5.194033,-11.883375,2.2259347,34.0
-5.101443,-11.874111,2.2180378,54.0
-5.0084114,-11.862337,2.2097974,61.0
-4.928515,-11.880823,2.2073941,77.0
-4.839697,-11.876865,2.2008705,50.0
-5.2774644,-12.072789,1.0151848,55.0
-4.772269,-11.9253435,2.204304,67.0
-5.2599087,-12.109325,0.10437547,142.0
-5.165453,-11.969387,1.0029744,184.0
-5.4005284,-12.166653,-0.33540142,34.0
-4.7253857,-11.9715395,2.2087674,65.0
-5.175305,-12.069611,0.10309128,122.0
-5.096346,-12.01629,1.0043699,164.0
-5.225943,-11.974752,-0.33175117,182.0
-5.072291,-12.037352,0.101807095,149.0
-5.234124,-12.02021,1.4612153,169.0
-5.1941853,-11.990342,0.5582323,186.0
-5.01311,-12.029671,1.0026255,158.0
-5.1788783,-12.073557,-0.33281952,151.0
-4.9988446,-12.074531,0.10191717,147.0
-5.1452646,-12.0218115,1.4570962,125.0
-5.110951,-12.004354,0.5571681,170.0
-4.941939,-12.072001,1.0036721,143.0
-5.091307,-12.078199,-0.3323744,151.0
-5.1662707,-11.8941,2.157868,135.0
-4.9258814,-12.113114,0.10206393,103.0
-5.06196,-12.035591,1.4546733,133.0
-5.0354247,-12.036229,0.5571681,192.0
-4.8800573,-12.1379595,1.0069864,127.0
-5.021416,-12.124741,-0.3326118,140.0
-5.0867734,-11.915451,2.155868,92.0
-4.8821797,-12.225586,0.10367834,49.0
-4.9801965,-12.05247,1.4527348,158.0
-4.9649944,-12.080568,0.557913,160.0
-4.9646535,-12.204244,-0.33338338,73.0
-4.9880695,-11.890841,2.145535,114.0
-5.241103,-12.088735,0.029836282,112.0
-4.9270787,-12.085003,1.4539464,156.0
-4.9274487,-12.151982,0.5606799,133.0
-5.178907,-12.003757,0.9395031,168.0
-5.38476,-12.106225,-0.41291776,54.0
-4.9259233,-11.899647,2.1428683,90.0
-5.1548605,-12.045317,0.028894547,124.0
-4.876042,-12.178424,1.4621844,101.0
-4.8782287,-12.251397,0.5646174,50.0
-5.0877643,-11.999382,0.9362165,87.0
-5.2322135,-11.96589,-0.40897453,181.0
-4.848076,-11.923059,2.141535,135.0
-5.0674047,-12.049834,0.028512763,95.0
-5.1430545,-11.891462,1.3693602,98.0
-5.1919866,-11.969931,0.48396668,161.0
-5.0076537,-12.020081,0.9352305,141.0
-5.1854544,-12.064619,-0.41046882,130.0
-4.784079,-11.98074,2.146535,68.0
-4.9923606,-12.083282,0.028538216,125.0
-5.0924172,-11.980181,1.3765289,98.0
-5.1245384,-12.020681,0.48491898,105.0
-4.9388514,-12.067899,0.93670946,76.0
-5.0986156,-12.071191,-0.4098877,129.0
-4.7274976,-12.058268,2.1552014,83.0
-4.9276643,-12.14219,0.02892,48.0
-5.0047474,-11.982631,1.372829,103.0
-5.046585,-12.047118,0.4846333,94.0
-4.874123,-12.126416,0.9391744,119.0
-5.029594,-12.119599,-0.41026127,115.0
-4.93693,-12.032207,1.3751414,107.0
-4.97766,-12.095204,0.48549038,114.0
-4.9768333,-12.208325,-0.41154802,66.0
-5.2768726,-12.122085,-0.019187367,67.0
-4.8839164,-12.064539,1.3762976,104.0
-5.2327857,-12.015103,1.7745125,138.0
-4.9364514,-12.157372,0.48749024,84.0
-5.197717,-12.021638,0.8682,200.0
-5.3953786,-12.08257,-0.46544743,1.0
-5.1779923,-12.049367,-0.020138733,72.0
-4.844117,-12.185389,1.3876288,67.0
-5.1230474,-11.967641,1.7617962,93.0
-4.8867083,-12.254911,0.49091858,75.0
-5.1073174,-12.019165,0.8652885,187.0
-5.2384624,-11.931204,-0.46044862,1.0
-5.1550145,-11.937022,2.0704129,159.0
-5.093655,-12.061384,-0.020336187,91.0
-5.2721295,-12.0432415,1.3398533,150.0
-5.033226,-11.964911,1.7563052,127.0
-5.2083597,-11.979264,0.42399925,148.0
-5.0263405,-12.038129,0.8642158,206.0
-5.1831284,-12.009807,-0.46168596,71.0
-5.0576243,-11.916437,2.0611465,175.0
-5.0002084,-12.050636,-0.020749044,77.0
-5.1619153,-11.9957485,1.3300182,153.0
-4.953431,-11.985318,1.7545711,105.0
-5.141595,-12.031978,0.42494485,112.0
-4.9536195,-12.076857,0.86482877,192.0
-5.1044555,-12.034768,-0.46148798,81.0
-4.9728103,-11.924275,2.0569925,177.0
-4.937929,-12.115172,-0.020425938,56.0
-5.0741024,-11.998637,1.3264418,137.0
-4.8847017,-12.032719,1.7571722,104.0
-5.0643535,-12.060359,0.42477292,107.0
-4.8954554,-12.152163,0.8685065,154.0
-5.0287385,-12.066603,-0.46148798,75.0
-4.882133,-11.916895,2.0502825,169.0
-4.9061284,-12.257431,-0.01934892,42.0
-4.9970937,-12.026608,1.3259947,153.0
-4.834551,-12.127554,1.7672874,68.0
-4.9915133,-12.099334,0.42511678,103.0
-4.9701796,-12.140545,-0.4626263,40.0
-4.810097,-11.954665,2.0515606,182.0
-5.2573276,-12.092393,-0.10758659,118.0
-4.9418664,-12.053703,1.3264418,159.0
-4.8148546,-12.246031,1.7823157,39.0
-5.242008,-12.02248,1.7097154,141.0
-4.947949,-12.156055,0.4266641,93.0
-5.20295,-12.018795,0.7868575,107.0
