x,y,z,intensity
-15.214848,-13.249059,0.9369756,1.0
-15.017564,-13.243884,0.92888784,158.0
-15.478948,-14.04075,1.6912923,12.0
-14.941495,-13.34464,0.92941993,254.0
-15.450526,-14.1930485,1.6984441,1.0
-14.799642,-13.385948,0.9252696,254.0
-14.531323,-13.309863,0.9119673,206.0
-14.324831,-13.493046,1.5845385,1.0
-14.526402,-13.474326,0.9177139,254.0
-14.939564,-13.227612,1.506773,48.0
-14.420509,-13.503,0.91462773,254.0
-14.827978,-13.25408,1.50135,63.0
-14.294845,-13.55482,0.91164804,254.0
-15.167493,-13.334108,0.8247049,1.0
-13.991233,-13.642458,1.5725025,19.0
-14.69264,-13.30022,1.4955984,107.0
-14.1029,-13.541897,0.90377307,231.0
-13.871249,-13.6964655,1.5683161,1.0
-14.548486,-13.3371105,1.488861,92.0
-15.313564,-13.80694,0.844894,7.0
-15.24077,-15.313148,0.25855088,15.0
-13.874753,-13.661936,0.89951634,155.0
-15.371218,-14.034752,0.85422665,1.0
-14.356484,-13.497053,1.4862316,149.0
-15.113766,-13.221343,1.4048406,1.0
-15.1526575,-15.41717,0.25877103,1.0
-13.780163,-13.740373,0.8988778,85.0
-13.980262,-14.335276,1.6147156,34.0
-14.193365,-13.512855,1.4773577,114.0
-14.926006,-13.223372,1.3941139,155.0
-13.757443,-13.847706,0.90207034,61.0
-13.890429,-14.378047,1.6119246,1.0
-14.09932,-13.550615,1.4739068,94.0
-14.798187,-13.235004,1.3873714,40.0
-13.798704,-14.0651655,0.9118609,97.0
-15.294996,-14.457262,0.86527354,1.0
-14.060841,-14.739205,1.6450672,31.0
-13.966716,-13.593108,1.4684839,113.0
-15.2277565,-13.393575,0.73450106,1.0
-14.64829,-13.267413,1.3804756,146.0
-13.859982,-14.306658,0.923354,91.0
-15.169189,-14.519958,0.862988,1.0
-14.060756,-14.925968,1.6569287,17.0
-13.865401,-13.665221,1.4666762,81.0
-14.526467,-13.324103,1.3764914,141.0
-14.792058,-15.777184,0.2589545,1.0
-13.920142,-14.550915,0.9349537,71.0
-15.051815,-14.589978,0.8612738,1.0
-13.743959,-13.716906,1.4625679,131.0
-14.430785,-13.4042425,1.3752656,83.0
-14.7279215,-15.907997,0.25990844,1.0
-13.976404,-14.7950325,0.94644684,103.0
-14.050824,-13.7937155,0.8006114,1.0
-13.775391,-13.921885,1.4763718,50.0
-14.286785,-13.43857,1.3689828,132.0
-15.102908,-13.171084,1.2772373,49.0
-15.407945,-15.660271,0.14175004,1.0
-14.036946,-15.047734,0.95847213,86.0
-13.851839,-13.7705765,0.7930881,71.0
-13.8298855,-14.153431,1.4931335,105.0
-14.1587925,-13.486764,1.3643856,90.0
-14.958491,-13.211632,1.2714598,218.0
-15.171148,-15.614902,0.13923027,44.0
-14.127002,-15.2884245,0.971136,95.0
-13.8220825,-13.871039,0.79546887,126.0
-14.062053,-13.521512,1.3608612,112.0
-14.899049,-13.284628,1.2717416,254.0
-15.068246,-15.655989,0.13869576,60.0
-14.213544,-15.577705,0.9856089,84.0
-14.012603,-14.658743,1.5335588,74.0
-13.932573,-13.566427,1.3561108,117.0
-14.7737875,-13.340584,1.2677962,225.0
-14.984749,-15.766287,0.13897574,44.0
-14.325045,-15.899857,1.0023166,175.0
-14.11198,-14.949228,1.5565652,67.0
-15.12053,-13.436468,0.6025079,49.0
-13.821526,-13.62847,1.3533524,90.0
-14.599783,-13.351112,1.2592003,254.0
-14.45029,-16.24343,1.0204077,210.0
-13.990201,-14.578378,0.82518107,1.0
-13.720118,-13.699529,1.3516668,126.0
-14.448211,-13.380295,1.2527183,252.0
-14.682028,-15.841963,0.13704136,1.0
-14.57704,-16.5952,1.0389245,203.0
-14.005624,-14.778989,0.8326091,1.0
-13.722017,-13.874881,1.3613209,57.0
-14.3288965,-13.438093,1.2493364,254.0
-15.11228,-13.168562,1.170444,49.0
-14.12156,-15.08966,0.84717953,68.0
-13.87958,-13.802844,0.7041558,1.0
-15.4629135,-14.270184,0.6322845,1.0
-13.773748,-14.103632,1.3766447,83.0
-14.187707,-13.474337,1.2438408,254.0
-14.99934,-13.236813,1.1678382,177.0
-14.210728,-15.328755,0.85841686,109.0
-13.855233,-13.909193,0.70664877,71.0
-15.448188,-14.391888,0.63491833,1.0
-13.869185,-14.336233,1.3945736,83.0
-14.083691,-13.502428,1.2398952,253.0
-14.868313,-13.24621,1.161845,101.0
-15.040492,-17.733212,1.1009665,9.0
-14.276179,-15.594407,0.8698446,64.0
-13.994276,-13.586487,1.2394724,171.0
-14.869175,-13.415659,1.1692713,239.0
-14.34153,-15.864441,0.8814629,74.0
-14.129456,-14.97835,1.4440695,67.0
-13.878728,-13.644806,1.2365133,113.0
-14.610895,-13.34979,1.1538973,253.0
-14.42402,-16.15824,0.8945096,72.0
-14.183063,-15.226023,1.4607725,91.0
-13.900284,-13.838601,1.2472227,254.0
-15.044891,-13.515555,0.50458163,125.0
-14.596975,-13.506461,1.1601511,254.0
-14.548338,-16.504606,0.9107942,169.0
-14.049,-14.832356,0.7409484,1.0
-14.262429,-15.505803,1.4806935,80.0
-14.417254,-13.509113,1.1516824,254.0
-15.229619,-13.245801,1.0644147,149.0
-14.203682,-15.186176,0.7565938,145.0
-14.0128145,-13.903911,0.58465654,1.0
-13.711315,-13.997943,1.2458136,139.0
-14.323412,-13.591181,1.1509006,254.0
-15.024636,-13.234463,1.0547804,156.0
-14.804747,-17.171556,0.94279194,60.0
-13.92028,-13.942944,0.5832665,116.0
-13.78706,-14.208294,1.2601868,83.0
-15.417478,-14.340433,0.53099984,1.0
-14.210253,-13.611539,1.1464708,254.0
-14.893414,-13.24416,1.0493089,87.0
-13.856418,-14.46013,1.2763919,41.0
-14.591451,-13.742776,0.49886614,1.0
-14.012822,-13.592055,1.1363083,109.0
-14.826239,-13.352156,1.0506173,229.0
