x,y,z,intensity
5.221867,-5.883967,1.7520639,43.0
5.050846,-5.6209373,1.6816443,44.0
5.1426744,-5.650966,1.7006886,143.0
5.148074,-5.6037455,1.6936023,79.0
5.159464,-5.7990074,2.1701164,5.0
5.1405487,-5.525708,1.6794299,133.0
5.1144295,-5.6766443,2.1356854,1.0
5.1389537,-5.4550686,1.6674719,85.0
5.081069,-5.569257,2.1067197,1.0
5.135325,-5.383261,1.6550709,129.0
5.064895,-5.4822493,2.0854053,1.0
5.147305,-5.328505,1.6479847,73.0
5.0504675,-5.3984694,2.065184,1.0
5.1246095,-5.2390494,1.6298262,113.0
5.04803,-5.3453135,2.0537071,1.0
5.042586,-5.0842876,2.390358,1.0
5.127254,-5.1926985,1.62274,93.0
5.2106853,-5.864609,1.7017303,69.0
5.049511,-5.2802095,2.0405905,1.0
5.0421243,-5.020519,2.3749573,1.0
5.1293564,-5.130123,1.6129965,102.0
5.173194,-5.7488184,1.6770985,134.0
5.046347,-5.211164,2.0258343,1.0
5.0491886,-4.964903,2.363407,1.0
5.1350503,-5.071828,1.6045815,97.0
5.1593747,-5.6612234,1.6606773,103.0
5.035763,-5.135519,2.0083456,1.0
5.25503,-5.9474993,2.156519,1.0
5.192032,-5.0409675,2.4160256,1.0
5.133215,-5.006875,1.5939522,89.0
5.1552258,-5.585539,1.6477133,112.0
5.0475388,-5.0833573,2.0001478,1.0
5.1619067,-4.9494257,2.3871496,1.0
5.1293592,-4.940798,1.5828799,98.0
5.1476717,-5.507272,1.6338849,99.0
5.0465474,-5.019076,1.9870312,1.0
5.144715,-4.89373,1.578008,103.0
5.1567407,-5.447805,1.6256744,101.0
5.035785,-4.961581,1.9733682,1.0
5.0760217,-5.2944527,2.3984141,1.0
5.1506395,-4.8534307,1.5726935,103.0
5.1460342,-5.3852262,1.6140066,101.0
5.0627117,-4.92583,1.9717286,1.0
5.0749063,-5.226949,2.3820376,1.0
5.1366515,-4.7799134,1.5589639,88.0
5.143208,-5.3147974,1.602339,109.0
5.0532184,-4.855384,1.9558794,1.0
5.055893,-5.1420255,2.3574731,1.0
5.6046224,-5.9765944,1.3508896,1.0
5.153624,-4.735706,1.5549778,105.0
5.1492414,-5.254408,1.5936964,103.0
5.0710306,-4.8116565,1.9509608,1.0
5.0634747,-4.574234,2.276137,1.0
4.9759154,-4.9968476,2.304565,1.0
5.5973682,-5.8939614,1.3398899,1.0
5.154314,-4.6771035,1.54612,97.0
5.1437473,-5.183034,1.5815965,102.0
5.074416,-4.754784,1.9405768,1.0
5.0580993,-4.5121675,2.2607367,1.0
5.098605,-5.056639,2.3473954,189.0
5.6247463,-5.8487024,1.3375566,1.0
5.1646667,-4.6277614,1.5403625,113.0
5.156886,-5.1312757,1.5755466,100.0
5.0871997,-4.707177,1.9340185,26.0
5.1035643,-5.236142,1.9840561,1.0
5.0834994,-4.477802,2.2594533,1.0
5.132981,-5.0271683,2.3486552,204.0
5.1863194,-4.588779,1.538148,105.0
5.164022,-5.074067,1.5677681,95.0
5.137399,-5.7075577,1.6081098,89.0
5.120702,-4.6935186,1.9383907,75.0
5.0917788,-5.174829,1.9696841,1.0
5.094527,-4.4451094,2.2549615,1.0
5.200533,-4.5578823,1.5359336,110.0
5.1585703,-5.020991,1.5586933,118.0
5.1932583,-5.715052,1.6173123,102.0
5.1415095,-4.6535306,1.9351115,40.0
5.083485,-5.10165,1.9537153,1.0
5.1036506,-4.396995,2.2466195,1.0
5.1140676,-5.571911,2.4146135,1.0
5.21724,-4.5149417,1.5323905,130.0
5.171764,-4.970836,1.5530756,90.0
5.1839075,-5.633497,1.6030903,110.0
5.2123556,-4.6581907,1.9509608,28.0
5.1072464,-5.061444,1.9505216,1.0
5.149982,-4.38074,2.2549615,1.0
5.066426,-4.7924905,2.2787406,3.0
5.0918155,-5.478502,2.3874953,1.0
5.2410455,-4.478284,1.5310618,102.0
5.1718183,-4.9085803,1.5435685,113.0
5.176413,-5.555142,1.5897048,89.0
5.2776766,-4.657068,1.9646238,1.0
5.112841,-5.00356,1.940408,1.0
5.142504,-4.3191624,2.2395608,1.0
5.056319,-4.7228684,2.2604747,1.0
5.208529,-5.5334644,2.4263237,1.0
5.245169,-4.4252133,1.5239755,138.0
5.1727166,-4.8478603,1.5344937,88.0
5.1721787,-5.481362,1.5775741,91.0
5.1566205,-4.9834294,1.9451987,1.0
5.21778,-4.3265224,2.2607367,1.0
5.0747614,-4.680677,2.2554357,1.0
5.1109743,-5.610691,1.999093,1.0
5.011497,-5.258856,2.3178508,1.0
6.5601935,-5.728218,1.4836187,1.0
5.292399,-4.4083395,1.5297331,86.0
