x,y,z,intensity
21.611626,-5.731606,1.8191526,1.0
22.459814,-5.687366,1.0964969,33.0
21.3185,-5.0844803,1.7804282,1.0
22.329325,-5.54263,1.087877,1.0
20.371925,-4.7583227,1.6932111,1.0
22.363708,-5.4022226,1.087877,1.0
21.640343,-5.7672815,1.7080781,1.0
22.424435,-5.267972,1.0893669,1.0
21.691582,-5.635222,1.7093928,1.0
22.607046,-5.1610675,1.0975611,1.0
21.97023,-4.6952467,1.8285722,1.0
22.859402,-5.067575,1.1095864,1.0
22.60811,-4.6826515,1.8829956,40.0
21.554243,-4.677664,2.5530052,18.0
23.309198,-4.6747046,1.943001,20.0
23.826641,-5.0069637,1.1592838,1.0
24.087797,-4.712216,2.010507,12.0
20.520428,-4.8166394,1.5994555,1.0
23.640644,-6.4454236,1.7447231,1.0
23.247889,-4.7765994,2.7577462,1.0
21.791647,-5.7961392,1.5945495,1.0
23.579296,-4.6902127,2.7953022,1.0
21.671244,-5.618709,1.5821372,89.0
21.659706,-5.470757,1.5784595,92.0
21.674284,-5.3298135,1.5769272,57.0
21.663696,-6.206132,1.4535204,1.0
21.511423,-5.14684,1.5614501,40.0
20.556688,-4.8170567,1.484218,138.0
20.06856,-4.9301248,2.1854491,154.0
20.162945,-4.819117,2.1928256,182.0
21.534819,-4.7606826,1.5565464,63.0
22.1123,-4.7422924,1.5996064,46.0
20.830265,-6.1147103,1.279105,72.0
20.654331,-4.6625476,2.2426715,52.0
22.801685,-4.7398643,1.6514009,80.0
20.80303,-5.965068,1.2746751,58.0
21.203623,-4.646203,2.3025763,45.0
20.786272,-5.8192277,1.271027,29.0
21.818134,-4.672634,2.3707516,28.0
24.222368,-4.756719,1.7586678,48.0
20.763382,-4.901687,1.3686904,1.0
20.761492,-5.706977,1.2675092,11.0
22.553587,-4.681458,2.4518912,55.0
21.668604,-4.9727397,1.4321015,1.0
20.773802,-5.570236,1.2659458,1.0
23.41471,-4.706177,2.5473363,27.0
20.037123,-4.8156743,2.0378783,1.0
21.549513,-4.802938,1.4212512,1.0
20.76397,-5.4280343,1.2629491,1.0
23.997969,-4.6662397,2.6108177,1.0
20.159927,-4.7115006,2.0479612,1.0
22.091995,-4.7788396,1.4583114,1.0
20.770582,-5.290593,1.2611251,1.0
20.540113,-4.6648064,2.0859826,1.0
22.783373,-4.7793674,1.5060812,1.0
20.80729,-5.160941,1.2613857,1.0
21.0394,-4.674533,2.137658,1.0
23.413364,-4.797002,1.5499054,14.0
20.8178,-5.059546,1.2604736,1.0
21.597088,-4.6567616,2.1947951,1.0
24.184584,-4.7975345,1.6033117,1.0
20.917171,-4.9446497,1.2650337,1.0
22.258524,-4.653828,2.2630653,1.0
20.06635,-4.9599795,1.9425217,61.0
23.016254,-4.6621923,2.3416288,1.0
20.079702,-4.8296304,1.9407185,99.0
20.71583,-4.6725254,2.7345538,1.0
21.603043,-4.820355,1.3068564,48.0
23.880318,-4.681965,2.4315357,1.0
20.21237,-4.7272897,1.9513369,56.0
21.174677,-4.6359715,2.7940927,1.0
22.259151,-4.8195343,1.3486792,34.0
20.600739,-4.6814313,1.9884008,56.0
22.92194,-4.8118787,1.3908927,90.0
21.096212,-4.6543555,2.0364838,45.0
23.632431,-4.8055844,1.4362333,40.0
21.645168,-4.6680946,2.0907774,57.0
22.305285,-4.663383,2.1556892,38.0
21.347157,-4.929419,1.1671821,1.0
22.983728,-4.6540947,2.2224045,21.0
20.540361,-4.6566124,2.5618527,1.0
21.77308,-4.8842654,1.1913276,1.0
23.787909,-4.6608424,2.3019416,20.0
20.331045,-4.784052,1.8034325,1.0
21.045708,-4.6328254,2.6244318,35.0
22.33969,-4.8646603,1.224037,1.0
20.566433,-4.7034736,1.8230582,40.0
22.947905,-4.8468227,1.2592443,1.0
21.043018,-4.708689,1.866383,75.0
23.797428,-4.909969,1.3095576,1.0
21.5586,-4.6824975,1.91267,45.0
23.333029,-4.717366,2.9136693,1.0
22.199354,-4.676392,1.9708066,24.0
22.895481,-4.673614,2.0341275,36.0
23.606098,-4.6649814,2.0987442,17.0
