x,y,z,intensity
1.9436771,3.9048877,-0.057835277,1.0
1.8970801,3.896456,0.24104519,1.0
1.8631451,3.9107482,-0.058385644,1.0
1.8446028,3.9127626,0.24034746,1.0
1.9733647,3.9088523,-0.082128376,1.0
1.8760767,3.901888,0.09265148,1.0
1.803387,3.8880477,0.23685877,1.0
1.8842523,3.9544349,-0.2028652,1.0
1.8472955,3.904552,0.09211939,1.0
1.9379183,3.9333265,0.22318514,1.0
1.8551667,3.9571228,-0.20271681,1.0
1.4527694,3.7116027,0.87071294,15.0
1.8186606,3.943223,-0.20230134,1.0
1.7336575,3.88679,-0.0597799,1.0
1.4446036,3.7607887,0.8804565,92.0
1.891456,3.929172,-0.08235745,1.0
1.4172972,3.7681296,1.3283614,1.0
1.8858573,3.936461,0.22154184,1.0
1.774625,3.8952138,-0.20138136,1.0
1.5095212,3.714981,0.6647364,1.0
1.4289099,3.7730367,0.8817852,96.0
1.6924008,3.8855257,0.23267235,1.0
1.3793654,3.7377906,1.3142442,1.0
1.7444531,3.893485,-0.20117362,1.0
1.482545,3.7152238,0.66301966,1.0
1.4065152,3.7856035,0.88267094,87.0
1.3533111,3.7392457,1.3116775,1.0
1.4613006,3.72998,0.66404974,110.0
1.8750598,3.9270322,-0.22820854,1.0
1.581093,3.7133508,-0.06381591,1.0
1.3754582,3.7741723,0.87779915,30.0
1.6935612,3.8735857,0.08722414,1.0
1.4265426,3.72757,1.0989311,1.0
1.5609535,3.7077477,0.21383344,1.0
1.3341602,3.7601938,1.3161693,7.0
1.6301587,3.7624722,-0.19871046,1.0
1.4420228,3.7501435,0.6661098,60.0
1.87525,3.9911046,-0.22941226,1.0
1.5523927,3.7102716,-0.06407274,1.0
1.3700588,3.6597526,1.515842,151.0
1.6270856,3.7848613,0.08147754,1.0
1.3964223,3.7184145,1.0934658,1.0
1.5428919,3.7303967,0.21505448,1.0
1.3111211,3.7702947,1.316811,1.0
1.6064863,3.7726402,-0.19871046,76.0
1.4211766,3.7665176,0.6674832,50.0
1.5027697,3.6550856,-0.065356925,1.0
1.974935,3.9600697,-0.098132886,1.0
1.3991077,3.7937121,1.5697302,209.0
1.8227761,3.9717033,0.36990702,10.0
1.586872,3.7390592,0.0783914,1.0
1.3861291,3.7448375,1.0994776,42.0
1.5171173,3.717293,0.2131357,1.0
1.7251374,3.8964102,0.21299663,1.0
1.9486043,3.932586,0.19900833,1.0
1.5749087,3.7469156,-0.19817628,100.0
1.4074768,3.7842739,0.66954327,13.0
1.4935061,3.7381797,0.85647255,30.0
1.5691276,3.744037,0.35658345,23.0
1.3609055,3.762152,1.5527517,242.0
1.5504371,3.7175546,0.07658229,1.0
1.3573943,3.738979,1.0951054,10.0
1.5061728,3.7582543,0.21610108,1.0
1.9255885,3.9483445,0.19931482,1.0
1.543795,3.7382152,-0.19787951,42.0
1.6620556,3.7061627,-0.22218992,1.0
1.517273,3.8109992,-0.062605105,1.0
1.6204244,3.7539544,-0.08581896,1.0
1.4627664,3.729347,0.8521512,16.0
1.9087954,3.9346569,-0.0985996,1.0
1.5470655,3.7575011,0.35706803,85.0
1.4003159,3.9513946,1.6287857,254.0
1.4791882,3.6087027,0.069771506,1.0
1.3491358,3.7910123,1.108222,7.0
1.471006,3.7379212,0.21331014,11.0
1.6070719,3.7586732,0.19869985,1.0
1.4412757,3.7612813,1.3011973,23.0
1.5343819,3.7831218,-0.19844337,33.0
1.6354729,3.7092304,-0.22202389,1.0
1.5409219,3.7562535,0.6522417,36.0
1.5141411,3.8745723,-0.061541066,1.0
1.582583,3.7309935,-0.086277105,1.0
1.4435706,3.7493768,0.854744,120.0
1.8814762,3.9411461,-0.09865344,1.0
1.9960626,3.8828433,-0.12782703,1.0
1.5168105,3.7505498,0.35488737,51.0
1.3796704,3.9724267,1.633953,254.0
1.6645402,3.8054652,0.05999613,1.0
1.5693619,3.7356887,0.19574189,1.0
1.406105,3.7401152,1.2904897,1.0
1.8589581,3.9360878,0.19625005,1.0
1.6193745,3.7359087,-0.22239746,65.0
1.5046062,3.734829,0.6465752,76.0
1.4968365,3.9027145,-0.061174154,1.0
1.5739026,3.7758625,-0.08579351,1.0
1.4269783,3.7766051,0.8590654,96.0
1.5018969,3.782191,0.35779494,128.0
1.3068712,3.838249,1.5741593,210.0
1.5957541,3.724718,0.33290735,1.0
1.4996527,3.796368,0.07945559,10.0
1.6182517,3.7645693,0.057329647,1.0
1.5212294,3.686639,0.19048332,1.0
1.3832434,3.7506537,1.2911196,15.0
1.824209,3.925942,0.19441119,1.0
1.5467108,3.6321993,-0.21982399,140.0
1.4825794,3.747869,0.64724183,84.0
1.5478463,3.7801363,-0.08586986,1.0
1.4004694,3.778186,0.8573368,42.0
1.4752558,3.78414,0.35682574,40.0
1.2751997,3.8234234,1.5645628,32.0
1.5715398,3.7328439,0.3326761,1.0
1.4587457,3.7501342,1.5327269,55.0
1.5014302,3.8728786,0.08328665,1.0
1.5867012,3.7562988,0.056377333,1.0
1.4543264,3.7467527,1.0748999,1.0
1.5321506,3.7790792,0.1978782,19.0
1.3675066,3.7806518,1.2986779,61.0
1.9257549,3.89658,0.16880985,1.0
1.517261,3.9554024,-0.20072848,1.0
1.5699571,3.750441,-0.22227293,26.0
1.4575554,3.753441,0.6465752,56.0
1.5716541,3.906443,-0.08426637,1.0
1.8441569,3.910183,-0.2449052,1.0
1.9198554,3.9144015,-0.1278408,1.0
1.4707658,3.8263254,0.3614294,26.0
1.540818,3.7090862,0.3287449,1.0
1.4370008,3.7465484,1.5283681,86.0
1.4923148,3.9042075,0.0846701,18.0
1.5199771,3.6478097,0.05037775,1.0
1.438749,3.7589552,1.0764967,1.0
1.524817,3.812115,0.20017883,8.0
1.3529071,3.795978,1.3018272,44.0
1.9572968,3.8675368,0.020729437,1.0
1.909139,3.9091887,0.16909167,1.0
1.5522662,3.7577977,-0.22227293,23.0
1.4412806,3.763944,0.64724183,52.0
1.553228,3.913806,-0.08426637,1.0
1.9022685,3.925201,-0.12783621,1.0
1.53572,3.7627463,0.33429483,1.0
1.4407054,3.8268688,1.5581529,219.0
1.5376405,3.755069,0.055425018,19.0
1.4123547,3.7607157,1.0743675,1.0
1.3220439,3.7847264,1.2948987,3.0
1.8670872,3.8852255,0.1662734,1.0
1.5366912,3.9439466,-0.083986394,1.0
1.5053128,3.755759,0.3322136,1.0
1.4460733,3.91436,1.5908436,254.0
1.5389209,3.8256962,0.058567658,14.0
1.4082899,3.8218782,1.089804,1.0
1.9129848,3.9007788,0.021095244,1.0
1.7020205,3.9000664,0.18874137,1.0
1.845223,3.9022787,0.16669615,1.0
1.4883158,3.781747,0.33429483,1.0
1.3834972,3.8201869,1.5479825,254.0
1.5408596,3.9001942,0.06190076,1.0
1.3762779,3.8089335,1.0834166,1.0
1.8682632,3.8714156,0.019412534,1.0
1.5239512,3.8941805,-0.22468038,1.0
1.6449325,3.7089243,-0.2383226,1.0
1.9111379,3.990081,-0.2760269,1.0
1.5947737,3.737186,-0.1013819,1.0
1.3645253,3.842827,1.5537941,254.0
1.5338768,3.9544153,0.06418631,1.0
1.8413041,3.8776736,0.019193051,1.0
1.6192266,3.7136762,-0.23817413,1.0
1.5659119,3.734195,-0.101507545,1.0
1.3807343,3.965516,1.601014,254.0
1.6780808,3.8902357,0.044296402,1.0
1.5595757,3.7634685,0.17479669,16.0
1.5935261,3.7182517,-0.23802564,1.0
1.5491911,3.7606366,-0.10134599,1.0
1.3075857,3.835021,1.5436237,210.0
1.5562809,3.7960322,0.45982194,1.0
1.5926925,3.7550743,0.03750525,1.0
1.5240171,3.743582,0.17234488,1.0
1.7049687,3.8545663,0.15950954,1.0
1.5739661,3.7374232,-0.2382731,1.0
1.6948494,3.7204719,-0.26554257,1.0
1.5277544,3.7758691,-0.10129214,9.0
1.4557251,3.7281873,0.8217126,1.0
1.6360039,3.7309334,-0.12849712,1.0
1.2834803,3.8235052,1.5363592,112.0
1.5592201,3.699097,0.31275508,48.0
1.8101233,3.9622257,0.32145646,1.0
1.5273807,3.7757497,0.45548686,1.0
1.567356,3.744068,0.03664561,1.0
1.5129637,3.7674098,0.17372401,25.0
1.9260706,3.9294858,0.14754602,1.0
1.5555785,3.7429488,-0.23822361,32.0
1.6880777,3.7520635,-0.26635388,1.0
1.5509409,3.8872488,-0.10028692,1.0
1.43606,3.7295198,0.82045776,1.0
1.6200114,3.7422643,-0.12848794,1.0
1.9139384,3.914871,-0.1523358,1.0
1.5502189,3.7437818,0.31700206,106.0
1.5043484,3.7871149,0.45577586,84.0
1.4882468,3.6168115,0.030284276,49.0
1.5102062,3.8307455,0.17816792,1.0
1.4202912,3.7448034,1.2620918,1.0
1.5948442,3.717576,0.14753188,1.0
1.9565022,3.90784,0.00092068047,1.0
1.8858856,3.9090822,0.14520082,1.0
1.5402408,3.773052,-0.23876804,1.0
1.4394699,3.5853465,0.5913136,17.0
1.6497502,3.7297618,-0.26523054,27.0
1.5322492,3.911842,-0.10014332,1.0
1.4228281,3.7659645,0.8267322,1.0
1.5917133,3.7413507,-0.1285155,1.0
1.87814,3.903338,-0.15224934,1.0
1.51927,3.7350006,0.3147668,35.0
1.4691669,3.7669346,0.45115176,22.0
1.3934616,3.7447205,1.2590102,1.0
1.5683177,3.7201855,0.14696822,1.0
1.865524,3.9298887,0.14585227,1.0
1.4676355,3.724998,0.61400014,131.0
1.6295081,3.7473707,-0.26548016,85.0
1.5154353,3.9419641,-0.099945866,1.0
1.3944447,3.761969,0.82380414,11.0
1.5783223,3.7752156,-0.12845582,25.0
1.5015961,3.7592676,0.316555,114.0
1.4608297,3.81683,0.4575099,21.0
1.3768145,3.7560408,1.7233695,176.0
1.5928086,3.6962352,0.0093894405,1.0
1.3679758,3.74803,1.2571611,1.0
1.517095,3.663751,0.14189532,1.0
1.8249104,3.907101,0.14337678,1.0
1.9489892,3.8689334,0.120002605,1.0
1.4442018,3.7341459,0.61400014,161.0
1.6202364,3.7905514,-0.2666035,67.0
1.5645682,3.809059,-0.12839615,1.0
1.3977522,3.8906062,1.7821645,254.0
1.544531,3.7688231,0.4349666,1.0
1.5135666,3.8886113,0.041545555,1.0
1.4347185,3.7403274,1.0387932,1.0
1.5663984,3.6988242,0.009096796,1.0
1.3437674,3.7547565,1.2565448,1.0
1.5115298,3.9135275,-0.24173763,1.0
1.4255495,3.7560918,0.61623687,67.0
1.5807234,3.7638729,-0.26535535,30.0
1.4690362,3.8168654,0.32124904,21.0
1.5618817,3.7279012,0.28826657,1.0
1.3391012,3.8007202,1.736256,254.0
1.5088425,3.7491176,0.43049964,128.0
1.8462056,3.9132848,0.29708394,1.0
1.5010712,3.9298353,0.04300694,32.0
1.4058185,3.7347765,1.0346518,1.0
1.5400187,3.7012274,0.00880415,1.0
1.3331835,3.8008957,1.2694876,1.0
1.5054146,3.7675738,0.14837736,9.0
1.9666731,3.8892028,-0.028980827,1.0
1.9011022,3.8949091,0.12012155,1.0
1.4114352,3.790926,0.62071025,44.0
1.5755628,3.8179886,-0.26685312,1.0
1.4032104,3.764825,1.4930217,118.0
1.5427588,3.7315516,0.28784645,1.0
1.3170357,3.7948608,1.7306181,254.0
1.8244159,3.9147108,0.29628256,1.0
1.9477872,3.8713698,0.2644791,1.0
1.3961567,3.763135,1.040864,1.0
1.8695916,3.876912,0.1183374,1.0
1.4964252,3.769727,0.7966696,1.0
1.3687683,3.7436674,1.4809295,98.0
1.5177672,3.7374935,0.28742632,20.0
1.2960688,3.8117418,1.7346452,254.0
1.4689852,3.7691643,0.43105802,24.0
1.8047075,3.9369736,0.29748464,1.0
1.3679252,3.7591019,1.0372401,1.0
1.5234487,3.7771308,0.011145311,1.0
1.5200427,3.9268882,0.15922771,1.0
1.5665456,3.91659,-0.26959902,1.0
1.5562669,3.7582498,0.58728695,32.0
1.4619011,3.751725,0.79064876,1.0
1.6494997,3.7684944,-0.15152447,1.0
1.3483285,3.7610075,1.484486,129.0
1.5017146,3.765393,0.28952697,10.0
1.3057023,3.9224567,1.7821645,254.0
1.7758888,3.9391453,0.2964829,1.0
1.9051526,3.9080417,0.26577514,1.0
1.5108646,3.8144464,0.01224273,1.0
1.8965434,3.9172158,-0.029130718,1.0
1.5220658,3.742367,0.5830599,104.0
1.4368814,3.7571833,0.78984594,47.0
1.6039118,3.7272344,-0.15133828,1.0
1.3277247,3.7782383,1.4880426,109.0
1.5206115,3.9093864,0.015608149,1.0
1.4227089,3.7620282,1.2285594,1.0
1.6125196,3.8029175,0.1315205,1.0
1.4918387,3.7353654,0.58034253,148.0
1.4202224,3.7844462,0.79385984,12.0
1.5773823,3.7298548,-0.15131167,1.0
1.7749375,3.8728812,-0.1717689,1.0
1.3021604,3.7811947,1.4859086,211.0
1.3932449,3.7125561,1.6721514,128.0
1.3916434,3.7512524,1.2219648,1.0
1.5628059,3.7502096,0.12709068,1.0
1.4698015,3.7483392,0.5809464,53.0
1.5559832,3.727999,-0.15127842,1.0
1.2908318,3.8067946,1.493733,43.0
1.3964083,3.7740998,1.6974779,219.0
1.5588635,3.766863,0.41254142,1.0
1.4584311,3.7157223,0.99803233,12.0
1.3825867,3.7810214,1.2297584,1.0
1.6031761,3.7413967,-0.008605123,1.0
1.539868,3.7445855,0.12617865,1.0
1.458623,3.7717872,0.58366376,66.0
1.540023,3.7562447,-0.15134493,10.0
1.6566314,3.7244246,-0.17030397,1.0
1.3860077,3.8189905,1.7140983,254.0
1.51821,3.7342691,0.406373,1.0
1.4533937,3.7716963,1.0110563,1.0
1.361415,3.796805,1.2321564,1.0
1.568905,3.7255495,-0.009494198,1.0
1.7627093,3.8718417,-0.031578932,1.0
1.5170479,3.756041,0.12630893,27.0
1.6169889,3.6981924,-0.16998552,1.0
1.4281672,3.7484186,1.4538376,12.0
1.3563654,3.8120775,1.7069753,254.0
1.5556668,3.7418127,0.26943624,24.0
1.501973,3.762178,0.40905493,118.0
1.4102361,3.7301404,0.9970305,38.0
1.5062093,3.6390839,-0.012796476,1.0
1.5188439,3.8305583,0.13086905,1.0
1.5988874,3.7130063,0.102755785,1.0
1.5977154,3.7174463,-0.17006512,1.0
1.4105759,3.7730935,1.4601039,69.0
1.3655179,3.9140112,1.7497137,254.0
1.5328689,3.7533593,0.2696366,77.0
1.4754492,3.7641454,0.40798214,39.0
1.3895016,3.7461753,0.99903417,14.0
1.5261952,3.9220142,0.13660176,1.0
1.5637168,3.6954591,0.10097163,1.0
1.5837753,3.7494726,-0.17025621,28.0
1.3874955,3.783639,1.4608002,77.0
1.3463224,3.9381292,1.7568367,254.0
1.5041353,3.7499623,0.2682342,52.0
1.464412,3.8067012,0.4128096,25.0
1.5181592,3.804687,-0.007779553,1.0
1.5946937,3.688303,-0.037474625,1.0
1.512771,3.9614112,0.13868639,1.0
1.5458972,3.7180884,0.10180424,1.0
1.5609614,3.761193,-0.17027213,23.0
1.3752749,3.8239813,1.4733328,66.0
1.2700711,3.7952342,1.6879805,209.0
1.4891824,3.781601,0.27063832,38.0
1.5122217,3.8607721,-0.006191919,1.0
1.5524986,3.6541822,-0.03867375,1.0
1.343904,3.793374,1.4587114,55.0
1.253923,3.8064017,1.6903548,80.0
1.5643913,3.702151,0.23522565,1.0
1.5129975,3.7299516,0.3771813,1.0
1.5174783,3.929507,-0.0040962426,1.0
1.5374086,3.8143249,0.10691881,1.0
1.4791094,3.7096558,0.7458251,1.0
1.3206671,3.8035111,1.4594077,41.0
1.5418721,3.7137425,0.2354108,1.0
1.4984527,3.7614548,0.38023394,15.0
1.5430653,3.7448213,-0.03667521,1.0
1.515644,3.8294673,0.10727564,1.0
1.4578905,3.7243705,0.74697524,90.0
1.5185077,3.723357,0.2354108,8.0
1.5544373,3.839522,-0.03437689,1.0
1.4372398,3.7408006,0.7485087,94.0
1.5250481,3.836233,-0.03472663,1.0
1.4337274,3.7717814,1.1901401,1.0
1.4198556,3.766319,0.7519591,52.0
1.5303577,3.920097,-0.03272809,1.0
1.3941683,3.7376008,1.1761943,1.0
1.3861618,3.7023993,1.6166357,146.0
1.4459698,3.713567,0.9571955,1.0
1.3654698,3.7318826,1.1715457,1.0
1.4266512,3.8684504,1.6876154,254.0
1.428454,3.7203398,0.9571955,79.0
1.3600265,3.7725437,1.1825862,1.0
1.5420091,3.742831,0.719253,17.0
1.3695099,3.7852094,1.6467249,254.0
1.4111253,3.745618,0.9615424,66.0
1.3532667,3.8298187,1.1982752,1.0
1.513235,3.7397132,0.7166915,1.0
1.329282,3.746702,1.625894,254.0
1.3922081,3.7671776,0.9649234,55.0
1.4919137,3.7546182,0.7177893,76.0
1.3718016,3.71466,1.3907052,39.0
1.3170599,3.7881525,1.6405528,254.0
1.3880731,3.83069,0.9794133,29.0
1.4639508,3.7529488,0.7155937,57.0
1.3566463,3.7462478,1.3995163,68.0
1.3008521,3.8190982,1.6505826,254.0
1.4736259,3.7180254,1.594834,66.0
1.423804,3.676459,1.1204644,17.0
1.4389169,3.7584076,0.71486187,51.0
1.3318403,3.7511451,1.3981607,90.0
1.4379907,3.696207,1.5812393,115.0
1.4290118,3.758744,1.1435258,1.0
1.3172094,3.7662761,1.4015497,46.0
1.421229,3.704668,1.5819945,132.0
1.479801,3.7203078,0.91835004,1.0
1.3983127,3.7313547,1.1328388,1.0
1.4131342,3.7533104,1.5993655,202.0
1.4599813,3.738576,0.9206652,1.0
1.3748405,3.740067,1.1328388,16.0
1.4389566,3.893894,1.6567651,254.0
1.437168,3.7494886,0.9211282,21.0
1.3539542,3.7558403,1.1350888,1.0
1.4003928,3.8646226,1.6401495,254.0
1.4149693,3.76208,0.9220543,15.0
1.3374652,3.7841427,1.1412759,1.0
1.4006433,3.7216187,1.3540652,1.0
1.3779689,3.8785713,1.6424152,254.0
1.3913038,3.770896,0.9220543,1.0
1.3891655,3.7621663,1.3659414,61.0
1.373954,3.9447668,1.6673387,254.0
1.3596381,3.7367942,1.3540652,76.0
1.3011129,3.7955565,1.6001208,216.0
1.3444978,3.7683382,1.3626424,46.0
1.2778375,3.8054092,1.600876,138.0
1.2492033,3.7993126,1.594834,43.0
1.2201201,3.7912471,1.5880367,63.0
1.1945792,3.7935479,1.5857708,111.0
1.1801412,3.8310184,1.5986103,100.0
1.1593457,3.827689,1.594834,76.0
1.1363423,3.838444,1.5963445,67.0
1.1148201,3.8543897,1.6001208,56.0
