"event","experiment time","system time","system time text"
"START",0.000000000E0,1682829988.238,"2023-04-30 14:46:28.238 UTC+10:00"
"PAUSE",7.554455909E1,1682830063.783,"2023-04-30 14:47:43.783 UTC+10:00"
