"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.138971979E0,-3.779666268E1,1.449615624E2,5.702768268E1,5.400000215E-1,2.058999939E2,8.576000214E0,1.600000000E1
1.763732968E0,-3.779667658E1,1.449615537E2,5.916275244E1,1.330000043E0,1.958999939E2,9.648000717E0,1.600000000E1
2.771969739E0,-3.779670786E1,1.449615444E2,5.233083914E1,1.399999976E0,1.863000031E2,9.648000717E0,2.400000000E1
3.782773072E0,-3.779673062E1,1.449615385E2,5.141942458E1,1.450000048E0,1.861999969E2,8.576000214E0,1.600000000E1
4.777476873E0,-3.779674911E1,1.449615389E2,5.365337145E1,1.620000005E0,1.891000061E2,6.432000160E0,1.200000000E1
5.769305519E0,-3.779676691E1,1.449615384E2,5.467894341E1,1.679999948E0,1.891000061E2,4.288000107E0,1.200000000E1
6.783296560E0,-3.779678258E1,1.449615362E2,5.435008007E1,1.690000057E0,1.883000031E2,3.216000080E0,8.000000000E0
7.785328695E0,-3.779679755E1,1.449615347E2,5.005093730E1,1.629999995E0,1.883000031E2,3.216000080E0,8.000000000E0
8.778501195E0,-3.779681327E1,1.449615342E2,4.971126807E1,1.490000010E0,1.863999939E2,3.216000080E0,6.000000000E0
9.790144892E0,-3.779682655E1,1.449615323E2,4.866791883E1,1.470000029E0,1.871999969E2,3.216000080E0,6.000000000E0
1.078953161E1,-3.779683993E1,1.449615286E2,4.930938730E1,1.450000048E0,1.900000000E2,3.216000080E0,8.000000000E0
1.178607218E1,-3.779685428E1,1.449615255E2,4.994469348E1,1.559999943E0,1.883999939E2,3.216000080E0,8.000000000E0
1.278297484E1,-3.779686822E1,1.449615205E2,4.935942032E1,1.559999943E0,1.885000000E2,3.216000080E0,8.000000000E0
1.377635166E1,-3.779688195E1,1.449615154E2,5.005149031E1,1.519999981E0,1.885000000E2,3.216000080E0,8.000000000E0
1.479767333E1,-3.779689576E1,1.449615105E2,5.071176109E1,1.679999948E0,1.875000000E2,3.216000080E0,6.000000000E0
1.577762270E1,-3.779691096E1,1.449615067E2,5.109871912E1,1.669999957E0,1.876999969E2,3.216000080E0,6.000000000E0
1.679178650E1,-3.779692778E1,1.449615025E2,5.110262641E1,1.740000010E0,1.838999939E2,3.216000080E0,6.000000000E0
1.778748692E1,-3.779694529E1,1.449615003E2,5.071816613E1,1.769999981E0,1.846999969E2,3.216000080E0,6.000000000E0
1.878664010E1,-3.779696485E1,1.449614985E2,5.039425868E1,2.000000000E0,1.853000031E2,3.216000080E0,6.000000000E0
1.979291947E1,-3.779698199E1,1.449614978E2,5.044460899E1,1.500000000E0,1.931000061E2,3.216000080E0,6.000000000E0
2.078542515E1,-3.779699667E1,1.449614960E2,4.992403041E1,1.500000000E0,1.930000000E2,3.216000080E0,6.000000000E0
2.179287400E1,-3.779701312E1,1.449614937E2,5.112147585E1,1.690000057E0,1.866000061E2,3.216000080E0,6.000000000E0
2.278335515E1,-3.779702956E1,1.449614920E2,5.125397891E1,1.659999967E0,1.878000031E2,3.216000080E0,6.000000000E0
2.379589327E1,-3.779704435E1,1.449614904E2,5.187335381E1,1.480000019E0,1.881000061E2,3.216000080E0,6.000000000E0
2.478887859E1,-3.779705741E1,1.449614891E2,5.153746137E1,1.429999948E0,1.880000000E2,3.216000080E0,6.000000000E0
2.578434832E1,-3.779707131E1,1.449614875E2,5.202981923E1,1.559999943E0,1.908000031E2,3.216000080E0,6.000000000E0
2.679076676E1,-3.779708651E1,1.449614863E2,5.389803528E1,1.539999962E0,1.878999939E2,3.216000080E0,6.000000000E0
2.778343608E1,-3.779710027E1,1.449614833E2,5.523579284E1,1.289999962E0,1.968000031E2,3.216000080E0,6.000000000E0
2.879049535E1,-3.779711534E1,1.449614805E2,5.631812231E1,1.490000010E0,1.961999969E2,4.288000107E0,8.000000000E0
2.980765707E1,-3.779712958E1,1.449614776E2,5.719982671E1,1.210000038E0,1.923999939E2,4.288000107E0,8.000000000E0
3.078579431E1,-3.779714484E1,1.449614738E2,5.726036884E1,1.429999948E0,1.923000031E2,4.288000107E0,8.000000000E0
3.179668645E1,-3.779715795E1,1.449614706E2,5.716996305E1,1.139999986E0,1.923000031E2,5.360000134E0,8.000000000E0
3.277587816E1,-3.779717303E1,1.449614666E2,5.607724582E1,1.320000052E0,2.016999969E2,4.288000107E0,8.000000000E0
3.378148936E1,-3.779719111E1,1.449614618E2,5.648948353E1,1.759999990E0,2.008000031E2,5.360000134E0,8.000000000E0
3.479555400E1,-3.779720791E1,1.449614559E2,5.740922604E1,1.450000048E0,2.018999939E2,4.288000107E0,8.000000000E0
3.578070410E1,-3.779721997E1,1.449614525E2,5.708419803E1,9.200000167E-1,2.008999939E2,4.288000107E0,8.000000000E0
3.679869410E1,-3.779722802E1,1.449614490E2,5.643872243E1,7.300000191E-1,2.013000031E2,4.288000107E0,8.000000000E0
3.777385249E1,-3.779723566E1,1.449614471E2,5.671762027E1,9.599999785E-1,2.015000000E2,5.360000134E0,8.000000000E0
3.879795420E1,-3.779724512E1,1.449614447E2,5.715338523E1,9.200000167E-1,2.015000000E2,5.360000134E0,8.000000000E0
3.978990827E1,-3.779725020E1,1.449614472E2,5.875581492E1,7.699999809E-1,2.016999969E2,5.360000134E0,8.000000000E0
4.077433347E1,-3.779725491E1,1.449614561E2,5.928926294E1,1.110000014E0,2.016999969E2,5.360000134E0,8.000000000E0
4.177940722E1,-3.779725643E1,1.449614687E2,5.982110759E1,1.039999962E0,2.016999969E2,6.432000160E0,8.000000000E0
4.278184519E1,-3.779725635E1,1.449614804E2,5.985038492E1,8.999999762E-1,2.016999969E2,6.432000160E0,8.000000000E0
4.377901191E1,-3.779725403E1,1.449614888E2,6.169374738E1,8.199999928E-1,2.018999939E2,6.432000160E0,8.000000000E0
4.478177613E1,-3.779725510E1,1.449615037E2,6.130493245E1,1.399999976E0,9.659999847E1,6.432000160E0,8.000000000E0
4.580158061E1,-3.779725722E1,1.449615204E2,6.205710923E1,1.009999990E0,9.950000000E1,7.504000187E0,8.000000000E0
4.678579446E1,-3.779726043E1,1.449615375E2,6.196706467E1,1.190000057E0,1.060000000E2,6.432000160E0,1.200000000E1
4.778938514E1,-3.779726405E1,1.449615565E2,6.268787062E1,1.159999967E0,1.110999985E2,6.432000160E0,1.200000000E1
4.877809556E1,-3.779726812E1,1.449615730E2,6.357170698E1,1.059999943E0,1.130000000E2,6.432000160E0,1.200000000E1
4.978141878E1,-3.779727425E1,1.449615856E2,6.245964579E1,8.600000143E-1,1.260000000E2,6.432000160E0,1.200000000E1
5.077830540E1,-3.779728249E1,1.449615972E2,6.185723678E1,1.049999952E0,1.343999939E2,7.504000187E0,1.200000000E1
5.180222618E1,-3.779729269E1,1.449616108E2,6.093769234E1,1.139999986E0,1.368999939E2,7.504000187E0,1.200000000E1
5.278200857E1,-3.779729932E1,1.449616269E2,6.138666221E1,1.169999957E0,1.184000015E2,7.504000187E0,1.200000000E1
5.379005248E1,-3.779730344E1,1.449616470E2,6.068571496E1,1.230000019E0,1.058000031E2,7.504000187E0,1.200000000E1
5.477830685E1,-3.779730760E1,1.449616652E2,5.986459277E1,8.399999738E-1,1.478999939E2,7.504000187E0,1.200000000E1
5.578233638E1,-3.779731369E1,1.449616833E2,5.984090137E1,1.210000038E0,1.483999939E2,7.504000187E0,1.200000000E1
5.678484852E1,-3.779732072E1,1.449617046E2,5.995130198E1,1.360000014E0,1.478999939E2,8.576000214E0,1.200000000E1
5.778227144E1,-3.779732692E1,1.449617266E2,5.954045866E1,1.360000014E0,1.476999969E2,8.576000214E0,1.200000000E1
5.877821456E1,-3.779733116E1,1.449617498E2,5.984939426E1,1.269999981E0,1.475000000E2,8.576000214E0,1.200000000E1
5.978213675E1,-3.779733282E1,1.449617731E2,6.093029408E1,1.139999986E0,1.143000031E2,7.504000187E0,1.200000000E1
6.078546737E1,-3.779733475E1,1.449617918E2,5.932962275E1,9.100000262E-1,1.315000000E2,7.504000187E0,1.200000000E1
6.178181321E1,-3.779733938E1,1.449618057E2,5.873610917E1,8.899999857E-1,1.468999939E2,6.432000160E0,1.200000000E1
6.279459617E1,-3.779734207E1,1.449618129E2,5.915138940E1,4.499999881E-1,1.468000031E2,1.179199982E1,1.200000000E1
6.378136586E1,-3.779734660E1,1.449618260E2,5.949391216E1,1.110000014E0,1.538000031E2,1.179199982E1,1.200000000E1
6.477133201E1,-3.779735140E1,1.449618406E2,5.985486574E1,6.999999881E-1,1.465000000E2,1.072000027E1,1.200000000E1
6.578130419E1,-3.779735491E1,1.449618562E2,5.944384089E1,8.199999928E-1,1.350000000E2,1.072000027E1,8.000000000E0
6.678549508E1,-3.779736074E1,1.449618779E2,5.859018663E1,1.370000005E0,1.315000000E2,1.072000027E1,8.000000000E0
6.777901331E1,-3.779736513E1,1.449619015E2,5.761652942E1,1.019999981E0,1.134000015E2,1.072000027E1,1.200000000E1
6.881103091E1,-3.779736685E1,1.449619261E2,5.704813539E1,1.250000000E0,9.900000000E1,1.072000027E1,1.200000000E1
6.980006409E1,-3.779736735E1,1.449619510E2,5.758892854E1,1.159999967E0,8.990000153E1,1.179199982E1,8.000000000E0
