"event","experiment time","system time","system time text"
"START",0.000000000E0,1682232304.263,"2023-04-23 16:45:04.263 UTC+10:00"
"PAUSE",2.565826489E1,1682232329.921,"2023-04-23 16:45:29.921 UTC+10:00"
