"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.476973900E-2,-2.943115234E-1,1.191619873E0,9.985244751E0
1.147697390E-1,1.435852051E-2,1.294509888E0,1.078684998E1
1.647697390E-1,-2.823486328E-1,1.383056641E0,9.978073120E0
2.147697390E-1,1.363983154E-1,9.906311035E-1,9.604797363E0
2.647697390E-1,2.416687012E-1,8.542327881E-1,1.007139587E1
3.147697390E-1,4.067840576E-1,7.752685547E-1,9.343978882E0
3.647697390E-1,6.747741699E-1,5.647125244E-1,9.600006104E0
4.147697390E-1,-1.866455078E-1,1.423736572E0,9.602401733E0
4.647697390E-1,-1.507415771E-1,1.244262695E0,8.810379028E0
5.147697390E-1,-2.153472900E-1,1.186843872E0,1.096870422E1
5.647697390E-1,2.368927002E-1,9.284210205E-1,9.999603271E0
6.147697390E-1,-2.847442627E-1,1.031311035E0,9.779464722E0
6.647697390E-1,-1.627044678E-1,1.052841187E0,1.013121033E1
7.147697390E-1,-5.958099365E-1,6.388854980E-1,1.044227600E1
7.647697390E-1,-4.642028809E-1,1.215560913E0,1.004028320E1
8.147697390E-1,-6.388854980E-1,1.406982422E0,9.942184448E0
8.647697390E-1,-6.077728271E-1,1.478759766E0,1.007617188E1
9.147697390E-1,-8.159484863E-1,1.670196533E0,9.444473267E0
9.647697390E-1,-3.134613037E-1,1.713256836E0,1.015274048E1
1.014769739E0,-3.780670166E-1,1.701293945E0,1.014796448E1
1.064769739E0,4.067993164E-2,2.057830811E0,1.010249329E1
1.114769739E0,-4.881286621E-1,1.533798218E0,9.463607788E0
1.164769739E0,-2.560272217E-1,2.041076660E0,1.073898315E1
1.214769739E0,-5.910339355E-1,1.849655151E0,1.061695862E1
1.264769739E0,-7.177734375E-2,1.622329712E0,1.046620178E1
1.314769739E0,-1.004943848E-1,9.427795410E-1,1.060499573E1
1.364769739E0,6.006011963E-1,8.877410889E-1,1.160997009E1
1.414769739E0,-3.302154541E-1,5.886383057E-1,9.533004761E0
1.464769739E0,-5.001068115E-1,6.843414307E-1,8.925231934E0
1.514769739E0,1.746826172E-1,8.566284180E-1,9.253051758E0
1.564769739E0,-8.709869385E-1,9.427795410E-1,9.410964966E0
1.614769739E0,-5.479583740E-1,1.143768311E0,8.688339233E0
1.664769739E0,-5.886383057E-1,1.615158081E0,9.533004761E0
1.714769739E0,-1.986083984E-1,1.782653809E0,1.032502747E1
1.764769739E0,-5.886383057E-1,2.105682373E0,1.062413025E1
1.814769739E0,-5.168457031E-1,2.158325195E0,1.100698853E1
1.864769739E0,-6.867370605E-1,1.160522461E0,1.215075684E1
1.914769739E0,-1.203582764E0,1.557723999E0,1.073181152E1
1.964769739E0,-1.189239502E0,8.422698975E-1,1.236370850E1
2.014769739E0,-6.628112793E-1,1.914215088E-1,8.420349121E0
2.064769739E0,-1.016952515E0,1.021728516E0,8.417953491E0
2.114769739E0,-5.599212646E-1,8.566284180E-1,8.104492188E0
2.164769739E0,-9.140625000E-1,1.064804077E0,8.109283447E0
2.214769739E0,-5.240325928E-1,1.646255493E0,8.992233276E0
2.264769739E0,-6.843414307E-1,2.172683716E0,9.509078979E0
2.314769739E0,-1.064804077E0,2.112869263E0,1.048535156E1
2.364769739E0,-3.349914551E-1,1.856826782E0,1.072224426E1
2.414769739E0,-8.231353760E-1,1.339981079E0,1.188037109E1
2.464769739E0,-1.110275269E0,1.744369507E0,1.036331177E1
2.514769739E0,-5.216369629E-1,1.208374023E0,1.146162415E1
2.564769739E0,-7.202453613E-1,4.259185791E-1,1.011924744E1
2.614769739E0,-3.110656738E-1,6.915283203E-1,8.295913696E0
2.664769739E0,-4.235229492E-1,1.138977051E0,9.410964966E0
2.714769739E0,-1.055236816E0,1.473983765E0,7.350753784E0
2.764769739E0,-8.398742676E-1,1.627120972E0,8.013565063E0
2.814769739E0,-2.943115234E-1,2.163116455E0,9.391830444E0
2.864769739E0,-5.455627441E-1,2.098510742E0,1.079641724E1
2.914769739E0,-5.623168945E-1,1.983642578E0,1.304806519E1
2.964769739E0,-1.217941284E0,1.926223755E0,1.176550293E1
3.014769739E0,-6.101684570E-1,7.346038818E-1,1.350030518E1
3.064769739E0,-1.296905518E0,7.537384033E-1,9.200408936E0
3.114769739E0,-6.843414307E-1,9.595184326E-1,9.315261841E0
3.164769739E0,-6.125640869E-1,9.595184326E-1,7.726425171E0
3.214769739E0,-1.280166626E0,1.466796875E0,7.439285278E0
3.264769739E0,-1.162918091E0,1.524230957E0,8.116455078E0
3.314769739E0,-8.877410889E-1,1.957336426E0,9.322433472E0
3.364769739E0,-1.069595337E0,1.897506714E0,1.039920044E1
3.414769739E0,-2.847442627E-1,1.354339600E0,1.208375549E1
3.464769739E0,-7.298126221E-1,1.440475464E0,1.226321411E1
3.514769739E0,6.245269775E-1,1.129409790E0,1.085862732E1
3.564769739E0,-9.595184326E-1,6.700134277E-2,1.111227417E1
3.614769739E0,6.628112793E-1,3.325958252E-1,8.523239136E0
3.664769739E0,-1.007385254E0,8.614196777E-1,9.643081665E0
3.714769739E0,-7.824554443E-1,1.363906860E0,7.609176636E0
3.764769739E0,-9.547424316E-1,1.847259521E0,8.408386230E0
3.814769739E0,-3.637084961E-1,1.995620728E0,9.470794678E0
3.864769739E0,-2.344970703E-1,1.954940796E0,1.119601440E1
3.914769739E0,-3.900299072E-1,1.289733887E0,1.305284119E1
3.964769739E0,-1.265808105E0,1.938186646E0,1.121516418E1
4.014769739E0,-4.355010986E-1,1.158126831E0,1.119361877E1
4.064769739E0,-7.824554443E-1,2.416687012E-1,1.108355713E1
4.114769739E0,-9.044799805E-1,5.647125244E-1,7.752746582E0
4.164769739E0,-9.164581299E-1,1.091125488E0,8.267196655E0
4.214769739E0,-8.255310059E-1,1.526626587E0,7.398605347E0
4.264769739E0,-1.442871094E0,1.514663696E0,8.200210571E0
4.314769739E0,-6.604156494E-1,2.337783813E0,1.030349731E1
4.364769739E0,-6.915283203E-1,1.545761108E0,1.051644897E1
4.414769739E0,-7.585296631E-1,1.038482666E0,1.269392395E1
4.464769739E0,-4.905242920E-1,1.162918091E0,1.119123840E1
4.514769739E0,-6.915283203E-1,7.106628418E-1,1.262692261E1
4.564769739E0,-3.613128662E-1,-3.828430176E-2,9.832107544E0
4.614769739E0,-2.010040283E-1,5.934143066E-1,7.630706787E0
4.664769739E0,-6.604156494E-1,8.661956787E-1,8.669189453E0
4.714769739E0,-4.235229492E-1,1.423736572E0,6.783645630E0
4.764769739E0,-6.125640869E-1,1.562515259E0,8.585449219E0
4.814769739E0,7.800598145E-1,2.007583618E0,9.817749023E0
4.864769739E0,-6.604156494E-1,1.593612671E0,1.219381714E1
4.914769739E0,3.110656738E-1,1.864013672E0,1.208135986E1
4.964769739E0,-1.471588135E0,1.907073975E0,1.153579712E1
5.014769739E0,-6.412811279E-1,6.101684570E-1,1.226800537E1
5.064769739E0,-1.414154053E0,5.240325928E-1,9.159729004E0
5.114769739E0,3.302154541E-1,4.953155518E-1,8.243270874E0
5.164769739E0,-7.250213623E-1,8.829498291E-1,8.401199341E0
5.214769739E0,-8.829498291E-1,8.614196777E-1,6.903289795E0
5.264769739E0,-7.346038818E-1,1.445266724E0,7.676177979E0
5.314769739E0,-1.507415771E-1,1.718048096E0,9.841674805E0
5.364769739E0,-4.402770996E-1,1.308868408E0,1.174636841E1
