"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.379231851E0,-3.779897790E1,1.449632644E2,4.132163883E1,0.000000000E0,0.000000000E0,1.604199982E1,2.535451889E0
2.008244895E0,-3.779899650E1,1.449632660E2,3.394569400E1,3.300000131E-1,3.126000061E2,1.929600143E1,3.200000000E1
3.024513957E0,-3.779900696E1,1.449632570E2,3.473932224E1,9.499999881E-1,2.687000122E2,1.286400032E1,3.200000000E1
4.018121561E0,-3.779900929E1,1.449632465E2,3.437405172E1,1.279999971E0,2.832000122E2,1.072000027E1,2.400000000E1
5.023064425E0,-3.779900920E1,1.449632355E2,3.310740695E1,1.259999990E0,2.796000061E2,9.648000717E0,2.400000000E1
6.005616091E0,-3.779901121E1,1.449632255E2,3.461414392E1,1.320000052E0,2.677000122E2,7.504000187E0,2.400000000E1
7.004521195E0,-3.779901381E1,1.449632214E2,3.331819960E1,1.100000024E0,2.488999939E2,7.504000187E0,1.600000000E1
7.997133903E0,-3.779902108E1,1.449632164E2,3.386004081E1,1.419999957E0,2.273999939E2,6.432000160E0,1.600000000E1
9.004938903E0,-3.779902862E1,1.449632061E2,3.491971390E1,1.299999952E0,2.286000061E2,6.432000160E0,1.200000000E1
1.001326239E1,-3.779903028E1,1.449631925E2,3.399872127E1,1.600000024E0,2.436000061E2,6.432000160E0,1.200000000E1
1.100305166E1,-3.779903112E1,1.449631768E2,3.650454803E1,1.419999957E0,2.548000031E2,6.432000160E0,1.200000000E1
1.199544474E1,-3.779903174E1,1.449631604E2,3.911151067E1,1.320000052E0,2.560000000E2,6.432000160E0,1.200000000E1
1.300473937E1,-3.779903515E1,1.449631486E2,4.048825027E1,1.179999948E0,2.400000000E2,6.432000160E0,1.200000000E1
1.399809817E1,-3.779905008E1,1.449631418E2,4.104385252E1,2.130000114E0,2.106000061E2,5.360000134E0,1.200000000E1
1.499803947E1,-3.779907469E1,1.449631403E2,4.124779313E1,2.319999933E0,1.910000000E2,5.360000134E0,8.000000000E0
1.600916296E1,-3.779909838E1,1.449631440E2,4.011609010E1,1.799999952E0,1.838999939E2,4.288000107E0,8.000000000E0
1.701846682E1,-3.779911886E1,1.449631477E2,4.075891247E1,1.470000029E0,1.856000061E2,4.288000107E0,8.000000000E0
1.801470301E1,-3.779913837E1,1.449631496E2,4.128680549E1,1.450000048E0,1.903000031E2,4.288000107E0,8.000000000E0
1.901731452E1,-3.779915826E1,1.449631499E2,4.446747322E1,1.389999986E0,1.911000061E2,4.288000107E0,8.000000000E0
2.000955260E1,-3.779917941E1,1.449631496E2,4.746894699E1,1.620000005E0,1.911999969E2,4.288000107E0,6.000000000E0
2.100970046E1,-3.779920004E1,1.449631481E2,4.872951529E1,1.570000052E0,1.903999939E2,3.216000080E0,6.000000000E0
2.199734478E1,-3.779921638E1,1.449631445E2,4.920723603E1,1.210000038E0,1.893999939E2,3.216000080E0,6.000000000E0
2.302614010E1,-3.779922931E1,1.449631414E2,4.827417805E1,1.070000052E0,1.871999969E2,4.288000107E0,8.000000000E0
2.399846265E1,-3.779923440E1,1.449631404E2,4.976284387E1,2.399999946E-1,1.776000061E2,5.360000134E0,8.000000000E0
2.502183640E1,-3.779923515E1,1.449631458E2,5.033900947E1,7.500000000E-1,1.298999939E2,6.432000160E0,1.200000000E1
2.602173421E1,-3.779923506E1,1.449631550E2,5.101166234E1,5.400000215E-1,8.390000153E1,7.504000187E0,1.200000000E1
2.701865749E1,-3.779923429E1,1.449631639E2,5.148594949E1,5.400000215E-1,1.039000015E2,7.504000187E0,1.200000000E1
2.800339176E1,-3.779923843E1,1.449631706E2,5.195744861E1,7.400000095E-1,1.468000031E2,9.648000717E0,1.200000000E1
2.901132426E1,-3.779924729E1,1.449631725E2,5.048091213E1,1.009999990E0,1.751000061E2,1.072000027E1,1.200000000E1
3.002214119E1,-3.779925254E1,1.449631745E2,4.967105050E1,0.000000000E0,0.000000000E0,9.648000717E0,1.200000000E1
3.101517035E1,-3.779926133E1,1.449631732E2,4.899517817E1,9.900000095E-1,1.966999969E2,8.576000214E0,1.200000000E1
3.202023014E1,-3.779927604E1,1.449631699E2,4.855663332E1,1.200000048E0,1.960000000E2,8.576000214E0,1.200000000E1
3.301254978E1,-3.779929272E1,1.449631650E2,4.875054389E1,1.440000057E0,1.931000061E2,8.576000214E0,1.200000000E1
3.399521884E1,-3.779931256E1,1.449631612E2,4.826337168E1,1.679999948E0,1.846000061E2,7.504000187E0,1.200000000E1
3.501463582E1,-3.779933056E1,1.449631594E2,4.734290153E1,8.199999928E-1,1.845000000E2,7.504000187E0,1.200000000E1
3.599938473E1,-3.779934703E1,1.449631602E2,4.765667489E1,1.279999971E0,1.828999939E2,7.504000187E0,1.200000000E1
3.700429509E1,-3.779936716E1,1.449631620E2,4.823730457E1,1.500000000E0,1.836999969E2,7.504000187E0,1.200000000E1
3.800992525E1,-3.779938817E1,1.449631627E2,4.804572191E1,1.629999995E0,1.773999939E2,8.576000214E0,1.200000000E1
3.901453493E1,-3.779940934E1,1.449631665E2,4.798169829E1,1.679999948E0,1.688999939E2,9.648000717E0,1.200000000E1
4.000937790E1,-3.779942784E1,1.449631730E2,4.729540807E1,1.340000033E0,1.593999939E2,7.504000187E0,1.200000000E1
4.101808780E1,-3.779944185E1,1.449631812E2,4.720193474E1,1.340000033E0,1.440000000E2,7.504000187E0,1.200000000E1
4.201764347E1,-3.779945082E1,1.449631956E2,4.669016072E1,1.539999962E0,1.228000031E2,6.432000160E0,8.000000000E0
4.301557936E1,-3.779945983E1,1.449632145E2,4.720492975E1,1.539999962E0,1.089000015E2,5.360000134E0,8.000000000E0
4.399668514E1,-3.779946664E1,1.449632342E2,4.726510043E1,1.620000005E0,1.021999969E2,4.288000107E0,8.000000000E0
4.500966837E1,-3.779947332E1,1.449632541E2,4.766419847E1,1.629999995E0,1.021999969E2,4.288000107E0,8.000000000E0
4.600907274E1,-3.779947781E1,1.449632724E2,4.689282091E1,1.590000033E0,1.029000015E2,4.288000107E0,8.000000000E0
4.700710988E1,-3.779948112E1,1.449632882E2,4.667240776E1,1.509999990E0,1.005000000E2,5.360000134E0,8.000000000E0
4.800707733E1,-3.779948436E1,1.449633058E2,4.620321233E1,1.519999981E0,9.640000153E1,6.432000160E0,8.000000000E0
4.901474170E1,-3.779948513E1,1.449633227E2,4.654168804E1,1.480000019E0,9.159999847E1,7.504000187E0,8.000000000E0
5.002087800E1,-3.779948238E1,1.449633364E2,4.731527701E1,1.259999990E0,8.390000153E1,9.648000717E0,1.200000000E1
5.101522347E1,-3.779948108E1,1.449633483E2,4.975031175E1,1.129999995E0,7.790000153E1,8.576000214E0,1.200000000E1
5.200387576E1,-3.779948043E1,1.449633587E2,5.221629602E1,8.999999762E-1,7.169999695E1,8.576000214E0,1.200000000E1
5.301046238E1,-3.779947845E1,1.449633680E2,5.222567355E1,1.110000014E0,7.290000153E1,8.576000214E0,1.200000000E1
5.400786477E1,-3.779947283E1,1.449633805E2,4.989049063E1,1.240000010E0,7.080000305E1,8.576000214E0,8.000000000E0
5.501859300E1,-3.779946406E1,1.449633918E2,4.965576294E1,1.269999981E0,6.459999847E1,7.504000187E0,8.000000000E0
5.600078316E1,-3.779945512E1,1.449634044E2,4.984510509E1,1.429999948E0,4.840000153E1,7.504000187E0,1.200000000E1
5.703545008E1,-3.779944603E1,1.449634171E2,4.969606746E1,1.580000043E0,3.170000076E1,8.576000214E0,1.200000000E1
5.801472503E1,-3.779943546E1,1.449634257E2,4.848825498E1,1.480000019E0,1.200000048E0,8.576000214E0,1.200000000E1
5.901262925E1,-3.779942241E1,1.449634292E2,4.816594070E1,1.919999957E0,1.000000000E0,8.576000214E0,1.200000000E1
5.999758743E1,-3.779940759E1,1.449634291E2,4.749822868E1,1.730000019E0,3.517000122E2,8.576000214E0,1.200000000E1
6.100564607E1,-3.779939621E1,1.449634299E2,4.724983782E1,1.409999967E0,3.515000000E2,9.648000717E0,1.600000000E1
6.202681237E1,-3.779938354E1,1.449634324E2,4.703433808E1,1.590000033E0,2.700000048E0,9.648000717E0,1.600000000E1
6.299876617E1,-3.779937170E1,1.449634355E2,4.643889612E1,1.590000033E0,4.300000191E0,1.286400032E1,1.600000000E1
6.400522419E1,-3.779935665E1,1.449634360E2,4.666980297E1,1.809999943E0,3.550000000E2,1.393600082E1,1.600000000E1
6.502959820E1,-3.779934219E1,1.449634372E2,4.745362789E1,1.490000010E0,3.526000061E2,1.393600082E1,1.600000000E1
6.601510998E1,-3.779932869E1,1.449634383E2,4.718954367E1,1.450000048E0,3.565000000E2,1.393600082E1,1.600000000E1
6.702773206E1,-3.779931654E1,1.449634428E2,4.634898130E1,1.440000057E0,6.300000191E0,1.393600082E1,1.600000000E1
6.802404409E1,-3.779930230E1,1.449634502E2,4.625486719E1,1.659999967E0,1.019999981E1,1.500800037E1,1.600000000E1
6.902226190E1,-3.779928667E1,1.449634570E2,4.586796385E1,1.690000057E0,1.050000000E1,1.393600082E1,1.600000000E1
7.001879591E1,-3.779927166E1,1.449634648E2,4.529038718E1,1.559999943E0,1.089999962E1,1.393600082E1,1.600000000E1
7.105633435E1,-3.779925779E1,1.449634693E2,4.645238244E1,1.360000014E0,5.500000000E0,1.393600082E1,1.600000000E1
7.202570779E1,-3.779924504E1,1.449634730E2,4.600702198E1,1.490000010E0,2.299999952E0,1.393600082E1,1.600000000E1
7.302891403E1,-3.779923078E1,1.449634752E2,4.522169323E1,1.659999967E0,6.999999881E-1,1.286400032E1,1.600000000E1
7.401605101E1,-3.779921369E1,1.449634777E2,4.468226528E1,1.690000057E0,6.999999881E-1,9.648000717E0,1.600000000E1
7.501990148E1,-3.779919521E1,1.449634821E2,4.540076438E1,1.649999976E0,8.000000119E-1,9.648000717E0,1.600000000E1
7.601723721E1,-3.779918071E1,1.449634849E2,4.657527267E1,1.110000014E0,8.000000119E-1,8.576000214E0,1.600000000E1
7.702395320E1,-3.779917095E1,1.449634812E2,4.714525404E1,1.090000033E0,8.000000119E-1,8.576000214E0,1.600000000E1
7.800590570E1,-3.779916287E1,1.449634729E2,4.811624935E1,1.190000057E0,8.000000119E-1,9.648000717E0,1.600000000E1
7.902233096E1,-3.779914972E1,1.449634652E2,4.704108451E1,1.629999995E0,3.526000061E2,8.576000214E0,1.600000000E1
8.002695257E1,-3.779913229E1,1.449634607E2,4.670241169E1,1.759999990E0,3.527000122E2,8.576000214E0,1.600000000E1
8.100969122E1,-3.779911546E1,1.449634603E2,4.606350206E1,1.450000048E0,3.527000122E2,8.576000214E0,1.600000000E1
8.201039841E1,-3.779909884E1,1.449634620E2,4.495944082E1,1.620000005E0,3.543999939E2,8.576000214E0,1.600000000E1
8.300582669E1,-3.779908016E1,1.449634605E2,4.630893026E1,1.850000024E0,3.513999939E2,9.648000717E0,1.600000000E1
8.401022408E1,-3.779905883E1,1.449634590E2,4.679842576E1,1.870000005E0,3.525000000E2,9.648000717E0,1.600000000E1
8.501862007E1,-3.779904107E1,1.449634556E2,4.586484026E1,1.250000000E0,3.222000122E2,1.072000027E1,1.600000000E1
8.602008226E1,-3.779902557E1,1.449634518E2,4.593126277E1,1.210000038E0,3.227999878E2,1.072000027E1,2.400000000E1
8.701439471E1,-3.779901043E1,1.449634478E2,4.556329971E1,1.230000019E0,3.232000122E2,1.286400032E1,2.400000000E1
8.801495184E1,-3.779899657E1,1.449634499E2,4.621992808E1,5.400000215E-1,3.242000122E2,1.286400032E1,2.400000000E1
8.902728444E1,-3.779898491E1,1.449634515E2,4.639536315E1,9.200000167E-1,3.241000061E2,1.179199982E1,2.400000000E1
9.001562580E1,-3.779897377E1,1.449634488E2,4.588391757E1,8.899999857E-1,3.238999939E2,1.072000027E1,2.400000000E1
9.101271726E1,-3.779897086E1,1.449634430E2,4.462299209E1,0.000000000E0,0.000000000E0,9.648000717E0,2.400000000E1
