"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.476973900E-2,-2.075042725E-1,-4.501342773E-1,4.205322266E-2
1.147697390E-1,-4.457397461E-1,-2.320404053E-1,1.281738281E-1
1.647697390E-1,-1.262512207E-1,-2.540435791E-1,1.410064697E-1
2.147697390E-1,-1.164703369E-1,-1.049957275E-1,2.375183105E-1
2.647697390E-1,-1.378631592E-1,-1.532440186E-1,1.477355957E-1
3.147697390E-1,-1.696319580E-1,-7.749938965E-2,1.715545654E-1
3.647697390E-1,-4.089355469E-3,8.619689941E-2,-1.436462402E-1
4.147697390E-1,1.730651855E-1,1.020812988E-1,-1.613616943E-1
4.647697390E-1,-1.445770264E-1,1.168823242E-2,1.457214355E-2
5.147697390E-1,-2.178802490E-1,2.755737305E-2,-4.652404785E-2
5.647697390E-1,2.340698242E-2,1.595001221E-1,-1.094360352E-1
6.147697390E-1,-3.950500488E-2,3.367614746E-2,3.837585449E-2
6.647697390E-1,1.972961426E-2,-5.340576172E-4,-1.375427246E-1
7.147697390E-1,-1.445770264E-1,-4.806518555E-3,1.516723633E-2
7.647697390E-1,1.162567139E-1,1.008605957E-1,1.823425293E-2
8.147697390E-1,-1.653442383E-1,2.267456055E-2,-1.937866211E-3
8.647697390E-1,-4.928588867E-2,-1.074371338E-1,1.516723633E-2
9.147697390E-1,4.783630371E-2,1.657104492E-2,-1.198272705E-1
9.647697390E-1,5.027770996E-2,-1.245422363E-1,-2.085876465E-2
1.014769739E0,-9.999084473E-2,-1.263580322E-1,3.776550293E-2
1.064769739E0,2.624511719E-3,7.398986816E-2,-1.125030518E-1
1.114769739E0,1.240539551E-2,-1.092529297E-1,-2.047424316E-1
1.164769739E0,-3.479003906E-3,4.588317871E-2,3.288269043E-2
1.214769739E0,6.494140625E-2,4.557800293E-1,-1.780700684E-2
1.264769739E0,2.555236816E-1,8.253479004E-2,1.697235107E-1
1.314769739E0,2.420959473E-1,-3.535461426E-2,1.019134521E-1
1.364769739E0,2.523803711E-2,-4.061431885E-1,-2.914886475E-1
1.414769739E0,1.529083252E-1,5.883483887E-1,-1.912994385E-1
1.464769739E0,9.730529785E-2,1.143035889E-1,-7.339477539E-2
1.514769739E0,5.271911621E-2,-2.894744873E-1,-1.063842773E-1
1.564769739E0,-1.366424561E-1,-9.689331055E-3,-1.002807617E-1
1.614769739E0,-4.989624023E-2,3.226013184E-1,6.159973145E-2
1.664769739E0,-1.965026855E-1,-3.352355957E-2,1.330718994E-1
1.714769739E0,4.844665527E-2,3.916931152E-2,1.849822998E-1
1.764769739E0,1.089324951E-1,2.883911133E-1,3.487091064E-1
1.814769739E0,3.392181396E-1,7.704162598E-2,3.114318848E-1
1.864769739E0,2.866973877E-1,1.840209961E-2,2.583007812E-1
1.914769739E0,1.022033691E-1,7.361602783E-1,5.337982178E-1
1.964769739E0,1.687927246E-1,-5.594787598E-1,1.892700195E-1
2.014769739E0,3.899230957E-1,1.790618896E-1,4.611053467E-1
2.064769739E0,-2.771301270E-1,2.529754639E-1,2.656250000E-1
2.114769739E0,3.073120117E-2,-1.691284180E-1,1.287841797E-1
2.164769739E0,-3.157043457E-2,4.588317871E-2,1.489562988E-1
2.214769739E0,7.104492188E-2,-3.065795898E-1,2.130889893E-1
