"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.177870580E-1,1.603851318E1,1.373291016E0,4.846649170E1
1.677138150E-1,1.631011963E1,3.417968750E-1,4.816894531E1
2.153212370E-1,1.831512451E1,1.296997070E0,4.905548096E1
3.180128880E-1,2.127685547E1,-5.429077148E0,5.438537598E1
4.177138150E-1,2.370605469E1,-5.651855469E0,5.304260254E1
4.676405730E-1,2.056427002E1,-4.119873047E0,5.260620117E1
5.676161590E-1,2.189178467E1,-5.259704590E0,5.393829346E1
6.678969210E-1,2.234649658E1,-5.397033691E0,5.304565430E1
7.176100560E-1,2.100524902E1,-4.698181152E0,5.186157227E1
8.175551240E-1,2.098236084E1,-4.986572266E0,5.661773682E1
9.175307100E-1,2.203216553E1,-5.702209473E0,5.364074707E1
9.675490200E-1,2.071075439E1,-4.260253906E0,5.319976807E1
1.067494089E0,2.154235840E1,-6.758117676E0,5.304718018E1
1.167469675E0,2.148742676E1,-3.793334961E0,5.245666504E1
1.217487985E0,2.251739502E1,-4.797363281E0,5.319519043E1
1.317433054E0,1.993713379E1,-4.730224609E0,5.305328369E1
1.417408640E0,2.107086182E1,-2.769470215E0,5.008239746E1
1.467487985E0,1.943359375E1,-1.632690430E0,5.068054199E1
1.567433054E0,1.709289551E1,1.109313965E0,4.876098633E1
1.667347604E0,1.728210449E1,2.153015137E0,4.786987305E1
1.717640573E0,1.508941650E1,1.541137695E-1,4.787292480E1
1.817463571E0,1.755828857E1,1.269531250E0,4.682922363E1
1.917317087E0,1.726837158E1,1.860046387E0,4.935455322E1
1.967274362E0,1.588897705E1,1.519775391E0,4.935760498E1
2.067585642E0,1.510162354E1,7.537841797E-1,5.039978027E1
2.167408640E0,1.387329102E1,2.670288086E-1,4.876861572E1
2.217213327E0,1.528320312E1,1.649475098E0,4.995422363E1
2.317188913E0,1.617431641E1,7.827758789E-1,4.786987305E1
2.417561228E0,1.471405029E1,2.818298340E0,4.936370850E1
2.467152292E0,1.740417480E1,1.417541504E0,4.950408936E1
2.567127878E0,1.633911133E1,1.383972168E0,4.950714111E1
2.667103464E0,1.557006836E1,1.063537598E0,4.921112061E1
2.717121774E0,1.774597168E1,2.464294434E0,4.816741943E1
2.817066843E0,1.652069092E1,2.127075195E0,4.727783203E1
2.917042429E0,1.741790771E1,1.713562012E0,4.816741943E1
2.967030222E0,1.756744385E1,1.568603516E0,4.757232666E1
3.067005808E0,1.918334961E1,1.403808594E-1,5.098266602E1
3.166981394E0,1.759033203E1,-2.287292480E0,4.994201660E1
3.217274362E0,1.862487793E1,-2.990722656E0,5.246582031E1
3.317036325E0,1.957092285E1,-2.073669434E0,5.038299561E1
3.416918045E0,1.805267334E1,-1.971435547E0,5.098266602E1
3.466905838E0,1.836547852E1,-1.664733887E0,5.098114014E1
3.567247635E0,1.833801270E1,-2.557373047E0,5.068206787E1
3.666887528E0,1.531982422E1,-1.911926270E0,5.009765625E1
3.716844803E0,2.010650635E1,-4.283142090E0,5.097198486E1
3.816820389E0,1.857604980E1,-4.627990723E0,5.097656250E1
3.917223221E0,1.938323975E1,-3.268432617E0,5.023345947E1
3.966783768E0,1.521301270E1,-7.308959961E-1,4.772186279E1
4.066759354E0,1.418609619E1,5.752563477E-1,4.951019287E1
4.166734940E0,1.485137939E1,-2.372741699E0,4.920654297E1
4.216753250E0,1.392364502E1,-2.996826172E0,4.831542969E1
4.316698319E0,1.313934326E1,-3.613281250E0,4.980316162E1
4.416704422E0,1.641845703E1,-8.377075195E-1,5.009613037E1
4.466661698E0,1.550750732E1,-1.017761230E0,4.846343994E1
4.566637284E0,1.571350098E1,-3.828430176E0,5.038909912E1
4.666612870E0,1.489410400E1,-5.633544922E0,5.157928467E1
4.716722733E0,1.372222900E1,-4.487609863E0,4.846191406E1
4.816576249E0,1.430969238E1,-5.061340332E0,4.875793457E1
4.916551834E0,1.403808594E1,-4.029846191E0,4.920501709E1
4.966875321E0,1.446838379E1,-4.908752441E0,4.905395508E1
5.066728836E0,1.338195801E1,-5.686950684E0,4.786529541E1
5.166521317E0,1.382598877E1,-5.967712402E0,4.934997559E1
5.216478592E0,1.484832764E1,-7.270812988E0,4.934539795E1
5.316454178E0,1.470184326E1,-7.127380371E0,4.845428467E1
5.416612870E0,1.900787354E1,-5.661010742E0,4.740600586E1
5.466417557E0,1.929168701E1,-6.243896484E0,4.814758301E1
5.566454178E0,1.853485107E1,-6.269836426E0,4.666442871E1
5.666368729E0,1.842346191E1,-9.684753418E0,4.769744873E1
5.716356522E0,1.796264648E1,-9.846496582E0,4.784545898E1
5.816362625E0,1.815032959E1,-8.654785156E0,4.814758301E1
5.916307694E0,1.739959717E1,-8.381652832E0,4.814910889E1
5.966295487E0,1.789855957E1,-7.028198242E0,4.815063477E1
6.066271073E0,1.772460938E1,-7.778930664E0,4.681243896E1
6.166246659E0,1.871643066E1,-1.012268066E1,4.650726318E1
6.216264969E0,1.803131104E1,-1.236724854E1,4.813995361E1
6.316210038E0,1.869049072E1,-1.086425781E1,4.754638672E1
6.416216141E0,1.921691895E1,-8.621215820E0,4.814453125E1
6.466509110E0,1.922760010E1,-8.323669434E0,4.769744873E1
6.566179520E0,2.039794922E1,-9.773254395E0,4.724578857E1
6.666155106E0,2.024078369E1,-9.924316406E0,4.769287109E1
6.716142899E0,1.976470947E1,-1.053466797E1,4.783935547E1
6.816515213E0,1.804046631E1,-1.207122803E1,4.814147949E1
6.916124588E0,1.716613770E1,-1.091003418E1,4.829406738E1
6.966051346E0,1.697692871E1,-1.180114746E1,5.096740723E1
7.066026932E0,1.577301025E1,-1.154632568E1,4.978179932E1
7.166338211E0,1.479949951E1,-1.350555420E1,4.918518066E1
7.215990311E0,1.472015381E1,-1.588134766E1,5.066833496E1
7.315965897E0,1.421813965E1,-1.263122559E1,5.008087158E1
7.415941483E0,1.485137939E1,-1.187133789E1,4.918823242E1
7.465929276E0,1.545257568E1,-1.199798584E1,5.037536621E1
7.565935379E0,1.296539307E1,-1.386108398E1,4.874420166E1
7.665880448E0,1.291046143E1,-1.549377441E1,4.948425293E1
7.715868241E0,1.583404541E1,-1.896209717E1,5.155181885E1
7.815904862E0,1.669158936E1,-1.596527100E1,5.185089111E1
7.915819413E0,1.309814453E1,-1.445007324E1,4.859466553E1
7.966020829E0,1.358642578E1,-1.339569092E1,4.978332520E1
8.065813309E0,1.445312500E1,-1.485290527E1,4.873962402E1
8.165758377E0,1.347045898E1,-1.711120605E1,4.903411865E1
8.215746170E0,1.270294189E1,-1.712951660E1,5.111694336E1
8.315935379E0,1.443176270E1,-1.544647217E1,4.948120117E1
8.415788895E0,1.441955566E1,-1.589355469E1,4.873809814E1
8.465685135E0,1.280975342E1,-1.401367188E1,4.904327393E1
8.565660721E0,1.304473877E1,-1.608428955E1,4.933319092E1
8.665880448E0,1.268768311E1,-1.772766113E1,4.978027344E1
8.715654618E0,1.113281250E1,-1.866302490E1,5.141601562E1
8.815599686E0,1.153717041E1,-1.553344727E1,5.142059326E1
8.915575272E0,1.062927246E1,-1.541442871E1,5.112457275E1
8.965563065E0,1.152801514E1,-1.598205566E1,4.948883057E1
9.065538651E0,8.316040039E0,-1.637725830E1,5.172424316E1
9.165514237E0,6.309509277E0,-1.732788086E1,5.187530518E1
9.215502030E0,8.885192871E0,-1.739196777E1,5.395050049E1
